[00:00.000] 我需要一下您的行驶本跟驾照，我帮您登个记。
[00:05.790] 直赔手续，我看保险员那边还是让我们取车时候跟您核实一下，这才能直接放给您车。
[00:13.530] 当时什么？
[00:14.660] 直赔手续。
[00:16.260] 他那边应该还没齐。
[00:19.160] 手续不齐的话，我们这边是没法直接给您车的。
[00:22.940] 我先跟他联系，别到我。
[00:25.520] 别到时候耽误您取车，对。没错，您可以先跟那边联系一下。
[00:33.980] 他啥时候这样我这不太清楚差了，但是他照写的是差的。
[00:39.020] 他的手机他那边还没走，对。
[00:41.850] 我赶紧问他了，我进口完了他没有了。
[00:45.670] 问他保险公司行吗？
[00:48.380] 您可以问对方也可以问，公司都没问题。
[00:54.190] 到了
[00:55.180] 谁知
[00:58.450] 他也是前面那个吗？
[01:00.840] 咱们是右前受损是吧？
[01:02.920] 马海在那奔驰里边，
[01:04.680] 结果这边咱们这车费不晓得吗？
[01:07.840] 高波先生。
[01:09.450] 谁知
[01:12.260] 那就行，您到咱们店里停水了，还是在。
[01:15.600] 电话我跟您核对一下，18511348716。
[01:19.610] 对，我还有他保险公司的员工大概什么到我们保险公司催着我来定损。
[01:25.980] 我因为咱这写的取车核实一下分配，应该他那边是不是还没办齐呢？
[01:31.360] 反正还提醒您一下，他就是半期之前咱才能方便咱们去说。
[01:36.800] 没着火了，完了当然咱就真说好了，他那边手一直放了，我还麻烦还取不走车。
[01:42.130] 好了给你打电话了，咱们车牌号京N4S617，
[01:51.650] 数据、
[01:54.610] 数据、
[02:01.830] 你好
[02:03.480] 了。
[02:07.670] 了
[02:09.020] 了
[02:12.560] 了
[02:16.050] 吗？
[02:19.840] 你稍等。
[02:21.640] 愿意。
[02:22.980] 号。
[02:25.070] 你好。
[02:28.070] 为。
[02:29.820] 树全办完了吗？
[02:34.660] 我们这儿没有系统，我得让保险不看系统，我这没有系统，我让步查一下，因为
[02:40.960] 因为刚刚办的时候定损员是杨黎薇。
[02:45.640] 不是人保，对没错，平安的。
[02:51.140] 行，您通知一下阳立威我好跟他确认一下好吗？
[02:54.960] 因为我们这没有系统。
[02:56.680] 好勒没问题。
[02:59.370] 没问题。
[03:02.640] 行行好勒。
[03:04.630] 来
[03:05.810] 号
[03:10.060] 一
[03:12.750] 数据
[04:17.430] 会10新元，
[04:19.390] 我现在没时间还说石榴庄
[04:34.630] 证件您说好。
[04:43.540] 的
[04:58.130] 走。
[05:22.990] 高兴您就开车。
[05:24.930] 车上就不用了，一会你再看也不需要收拾的。
[05:28.040] 在这搁着没事吧？没问题，您坐这儿吧。
[05:37.830] 帮您拿着座套。
[05:59.800] 景色是吧？
[06:13.200] 有钱是吧？咱们这块。
[06:15.680] 行，我先帮您把头发噗一下。
[07:05.400] 现在是91,587公里，
[07:08.280] 还有1/4的游乐，
[07:10.350] 提示您家防冻液了，亏了已经
[07:14.640] 农业我的车后有，到时您要是能放得再加上了，我们家不了这边机修开单子就是2块7是吧？一个咱们的优先对吧？一个前杠对。
[07:23.930] 对。
[07:24.690] 钢圈上面我看有没有新蹭出来的伤也没有，方向也没有。
[07:36.280] 反光镜这有点蹭伤。
[07:38.440] 肯定是那次疼的。
[07:39.720] 是这回的，他也给您订上了。
[07:43.240] 我不知道，我没看他这块肯定是这次新测。
[07:48.140] 还有咱们后车门这块，前车门中间的有点蹭伤，我
[07:55.910] 都有点小磕伤吖，叶子你这儿。
[07:58.500] 差不多了。
[08:01.050] 钢枪也有一点点，
[08:03.320] 我们在缓解一下右后叶子板，
[08:14.980] 是小商事有点多。
[08:20.840] 门上有一些小的磕伤划痕什么的就先给您标上了。
[08:25.220] 咱们这次相信就是把散光镜右前门右前叶子板
[08:30.600] 给您到时候处理好就OK了。
[08:33.320] 这是列了吗？
[08:35.800] 也有点。
[08:47.800] 肯定上着您不用上您桌上了。
[09:01.120] 车上没有什么贵重品了吧？
[09:02.930] 没了行了，把车门给您锁了。
[09:06.290] 呵呵。
[09:10.860] 来咱进办公室。
[09:22.280] 反光镜这块我得看着换个壳，因为灯条跟壳一体的，
[09:26.760] 换一个壳换一夏丐。
[09:28.700] 2块7，
[09:30.180] 再加上咱们的
[09:31.700] 又防性
[09:33.910] 场
[09:35.360] 的
[09:36.700] 的
[09:43.270] 林太有些老化的痕迹了。
[09:45.540] 到时您注意一下，因为夏天了吗？
[09:47.920] 离开我都看完了。
[09:50.960] 我看后边有些交互这些纹路有点距离基本路了，已经换了香港后面对，后来我看后面已经有些纹路了都已经。
[09:59.470] 到时您注意一下就行了，那个没事。
[10:04.190] 您夏天的话可能摩擦起来可能温度会升高什么的，到时留意一下就行。
[10:35.880] 明天一早我就会把车派到车间，让我们的拆解报价员帮您把这损失报给平安保公司，
[10:42.800] 联保公司进行审核，审核通过之后我们开始动工维修，
[10:46.530] 预计审核得需要个一一天的时间，
[10:50.780] 完了我们再去喷漆的话，得在下周一二左右给您撤了。
[10:55.750] 这么长时间了，对，明天周三周四要能通知我干活，怎么着得注意了。
[11:16.210] 我给打电话。
[11:18.960] 今天
[11:34.890] 重庆
[11:39.000] 前面2块7好确定，关键就是反光镜那块，我得让D钱给
[11:43.760] 看一下。
[11:45.310] 来，王林。
[11:48.920] 不是我接着。
[11:51.120] 不我接着别的车那来了是吗？
[11:55.350] 行没事，我等会好勒，OK北京。
[12:00.960] 你再给我发一下。
[12:02.180] 你账号
[12:05.990] 原件交。
[12:08.290] 非常
[12:15.860] 这张照片人家好
[12:17.640] 好好把握，剩下交给我没问题，有这张照片就全都解决问题了。
[12:23.090] 他知道咱们拆解报价员给您去报这个东西了，对这肯定是。
[12:27.750] 可是当时找到了，明白，到时候应该中间轴应该没事，怎么看的原地吗？就是咱们外壳被剐蹭了，对。
[12:43.800] 对，现在什么情况，现在非常健康。
[12:49.900] 车玻璃。
[12:54.800] 您就直接到咱们店里进行修车就行了。
[12:58.720] 了。
[12:59.500] 知道
[13:00.450] 后来
[13:01.760] 来坐下，屏幕上您帮我签个字来。
