[00:00.000] 是投保了是吗？
[00:01.650] 还是维修接到信息了，
[00:06.860] 看着说我这车什么好发电。
[00:11.920] 因为啥？那疙瘩。
[00:14.750] 不是疙瘩，我现在每周至少100公里。
[00:19.720] 有。加装什么东西吗？
[00:22.570] 加装了，我这车我跟你说已经等于是去年9月份已经修过一回了，已经给我开的。
[00:30.690] 车库那儿了，没电了，一点都不行了。
[00:33.960] 怎么回事？
[00:37.390] 一般这个东西都是加装的漏电。
[00:40.590] 对，一般都是加装漏电。
[00:43.250] 这种情况是他已经修了还没修好吗？还是您家装的东西得找精品部门，我们是只负责圆场东西。
[00:52.980] 你以我们的东西一是。
[00:55.690] 一家你为了这多卖钱多赚钱，
[00:59.230] 原产的没有。
[01:00.860] 您那个车是我看一下行驶本啥的有吗？
[01:05.820] 我扫一下。
[01:07.040] 对。
[01:09.670] 我得扫一下做登记。
[01:15.030] 哪装的是？
[01:15.890] 的。
[01:17.260] 后边精品不买是吧？
[01:19.250] 点。
[01:23.270] 装点
[01:26.830] 来。
[01:34.900] 因为原车我们都基本上
[01:38.820] 等于没遇过说有漏电什么的现象，
[01:42.370] 你既然能不能加装的话，你还不好。
[01:48.750] 这个东西您得问精品部门或者卖您车的销售，我们
[01:54.030] 从来不建议客户做任何的嫁妆，不就有卖您车的
[02:01.790] 对，您要说你想加什么我们都不聊，您就直接找精品或者销售聊。
[02:07.500] 这东西我想喷漆，确保本身这个东西
[02:13.530] 很大的隐患，比如说漏电隐患，安全隐患本身就有。
[02:18.440] 我转一下，我想找一下售后那个章了。
[02:22.980] 您好。
[02:24.950] 您说。
[02:29.650] 我接着现在记得告诉对方。
[02:33.970] 机油三滤是吗？
[02:37.260] 机油三滤您不行，空调也差个600来块钱，就少于600来块钱。
[02:42.130] 店。
[02:44.140] 对。
[02:51.120] 4。
[02:55.500] 这车没有套餐，机油三滤就3000来块钱那车。
[03:01.060] 2500块钱。
[03:06.520] 您看的是套餐价吗？
[03:09.750] 这个车不带套餐，所以他只有原价。
[03:14.790] 您看看套餐假机油三率应该在2000块钱，
[03:18.140] 但是这车没有套餐，原价是3000块钱。
[03:21.460] 高。
[03:22.430] 最后
[03:25.260] 行没问题，好。
[03:27.620] 没问题
[03:29.150] 没问题。
[03:30.310] 吃了。
[03:32.290] 好没问题好勒。
[03:39.310] 卖车的时候，实际上家家利多越好，肯定人家说什么弄完了以后也。
[03:46.970] 爱找麻烦怎么办？
[03:49.340] 我大概跟您说要流程，你要搁我这边长，我就给您减，一是检测电瓶，二是检测漏电。
[03:56.790] 以目前的情况，车间的情况是排队三天，然后给您做检测，然后检查出结果，比如说告诉您外加装导致的，然后再交给您，或者我们交给精品部门，由他们来后续的来做处理。
[04:10.610] 对，您要说您觉得他的问题，你就可以现在直接找精品部门让他们做处理，减少中间这三天的等待时间，我哪知道对那就
[04:21.710] 对我们肯定检测，但是以我们的经验来判断，
[04:25.720] 90%以上都只有外加装才会导致这种情况符合Y家装基本不会导致。
[04:33.820] 就可以让他过去，对，直接让他们看看也疼。
[04:38.120] 因为我上次去年9月10号已经干过过这事了是吧？完了再这等于是不到一年来，您从我这检测我肯定是要车间技师来做一检查，告诉我漏电还是什么情况。
[04:53.760] 三天才能排上队检测需要。
[04:57.100] 一天差不多。
[04:58.330] 多，对，完了他再。
[05:01.030] 在看他们的情况了，前述调查。
