[00:18.960] 坏数据。
[00:27.800] 坏
[00:38.800] 的
[00:39.610] 三
[00:45.120] 你是电话给你核实一下，13910936343。
[00:55.360] 三。
[00:56.840] 你好
[00:58.760] A。
[00:59.320] A
[01:02.520] 81那个是吧姐？
[01:04.290] 没问题，我就玩就完了，我把那个车重新再给你刷下去。
[01:10.890] 得勒好勒好勒拜拜。
[01:20.030] 稍等一下，我看咱这召回是什么？召回205
[01:24.790] 14号。
[01:27.120] 1L165
[01:29.760] 590
[01:32.190] 场。
[01:34.380] 远
[01:37.400] 数据
[01:38.290] 数据
[01:41.970] 店。
[01:43.640] 召回。
[01:46.510] 约到时候跟您说了取数据。
[01:53.890] 明天信号。
[01:54.770] 后天聚
[01:56.960] 进行问题，
[01:59.560] 我跟你一块咱去看车去走，
[02:02.430] 把
[02:04.130] 点。
[02:12.410] 座套。
[02:28.990] 你这为什么不用他知道车人家自己的圈。
[02:33.080] 谁也不用停车点接送。
[02:35.170] 行了，车里的贵重东西您收一下。
[02:39.090] 没人看。
[02:43.850] 这边蹭。
[02:45.090] 掉漆了是吗？
[02:50.180] 像您钱包手机什么的您看。
[03:05.590] 要是能
[03:37.880] 帮我先不用管它。
[03:39.820] 保养先蒙总好勒。
[03:44.650] 现在跑了16,481，万6480，
[03:56.920] 有表3/4。
[04:09.790] 车上伤挺多的，这边也被蹭了。
[04:14.250] 了这个能弄下去。
[04:24.560] 抛光应该差不多。
[04:27.590] 抛光应该差不多。
[04:30.560] 这儿下不去了。
[04:33.200] 修了，
[04:34.630] 是吧？这一代。
[04:37.700] 从前到后
[04:49.120] 前杠也蹭了点了。
[05:09.080] 这边也蹭了。
[05:15.900] 最近这一年当中要准备修车的打算吗？
[05:19.710] 先不管他。
[05:21.030] 这边。
[05:22.860] 谁知
[05:24.980] 反正不影响开。
[05:26.510] 完了之后如果说你要打算修的话，反正
[05:29.070] 现在有这么一个险，就是修车的话，只要反正走保险肯定得修车对吧？修车的话才能返你2500。
[05:37.610] 就是修车返现金直接打卡里。
[05:41.950] 你要不修的话还能
[05:44.260] 就无所谓了，你要修的话就是你
[05:46.520] 凸显了，对，因为你只要这个险的话，你不出反正都得
[05:50.790] 你只要想修车肯定都得出险。
[05:53.140] 但现在额外上这么一险的话，
[05:56.350] 上只要出险修车，
[05:58.680] 或者别人碰了你了，准备修车，只要来这修就给你2500。
[06:03.920] 这是怎么写？这叫一个代步车补偿险。
[06:08.220] 那里边想了，
[06:10.950] 说今年怎么这一星期签哪个店日都不好过，
[06:15.760] 所以说奔驰中国和保险公司
[06:19.320] 那边
[06:20.830] 合作的。
[06:22.510] 我不那。
[06:24.860] 明年费用就增加了。
[06:27.520] 但是你要不你的车要如果这钱你要不打算修。
[06:32.730] 就无所谓了，但是你要等它修的时候肯定还是上市一点合适。
[06:39.060] 就第一次。
[06:40.340] 修的话赔你2500，第二次还能陪你，下一年最多赔你两次。
[06:44.680] 要。
[06:47.700] 或者说这一年当中，比如说别人把你管了走别人保险。
[06:51.080] 也能陪你，只要来这修就能陪你，对
[06:54.330] 的。
[07:03.270] 而且好多客户之前已经拿到手，
[07:07.470] 场、场、
[07:13.030] 场
[07:13.760] 数据
[07:16.060] 数据
[07:20.310] 数据
[07:24.040] 的
[07:29.410] 场。
[07:40.030] 东西中国往里搭钱。
[07:43.650] 的
[07:46.700] 的
[07:49.610] 数据
[07:54.170] 坏数据，
[07:58.110] 的
[07:59.220] 一
[08:01.490] 数据
[08:06.530] 的。
[08:09.520] 句。
[08:10.640] 远
[08:15.730] 现在
[08:18.740] 来
[08:21.030] 过。
[08:25.610] 完毕不起来。
[08:32.690] 所以
[08:44.430] 您看然后您帮我签个就换一下减震器，其余的让他开什么的，正常给你做成检测。
[08:51.440] 你帮我签字手写。
[08:58.950] 要
[09:02.140] 的。
[09:13.710] 的
[09:15.190] 二。
[09:18.880] 5点。
[09:20.030] 上午去还是下午去？
[09:23.550] 数据。
[09:26.490] 有人。
[09:27.950] 中午不休息。
[09:29.290] 号
[09:40.610] 单子我给您一份。
[09:42.290] 我这手续办完了。
[09:44.210] 然后你给拍照回头考虑。
[09:46.360] 行。
[09:47.430] 行。
[09:49.170] 因为这个是怎么基本上
[09:51.650] 运行期间，
[09:52.960] 而且这是。
[09:56.560] 开业两。
[09:57.810] 这东西现实都会没准什么时候
[10:00.040] 就没了，而且有效期一年。
[10:02.030] 这一年当中没准谁要剐了蹭了什么的，比如别人管理，比如我开车把你管了走我保险给你修车，
[10:07.440] 你只要来人修也行，你的车
[10:09.810] 拿你银行卡身份证，然后直接骑完车直接钱直接打给你了。
[10:14.680] 了。
[10:16.880] 行了。
[10:17.830] 对我这就完事了，好了之后给你打电话好吧？行了。
[10:21.460] 后来拿单子吗？
[10:23.040] 对，到时候你拿着刚才给您那张单子，拿着单子出来找我就行。
[10:27.480] 好勒好 man。
[10:33.500] 您看了没有？
[10:40.020] 有一个还凄凉的不是不错了，我应该是仔细一下，我看着第一次假的刚才
[10:47.210] 1391093，
[10:49.730] 你看一下U68736，
[10:52.200] C68734.0。
[10:57.300] 对应该是两非常。
[11:02.870] 没多少，对，你看看因为我这张
[11:06.080] 你就可以了。
[11:10.390] 有80的。
