[00:00.000] 哎哟这好像保险到期了以后要看要不要什么保修到期了是吧？
[00:09.870] 车买了快到三年了，
[00:17.130] 车。
[00:19.210] 号
[00:20.970] 开。
[00:23.600] 有换车的计划吗您？
[00:26.590] 您可以考虑一下购买延保，延长质保期。
[00:31.780] 车牌号多少？667ppi。
[00:41.280] 687
[00:49.110] 完成
[00:52.200] 上
[00:53.970] 坏数据。
[00:56.430] 数据。
[01:02.510] 花
[01:03.860] 的。
[01:20.360] 0893. 
[01:31.740] 您的手机号18610540983。
[01:35.410] 三
[01:56.240] 4
[01:58.190] 不要你给我跟成员外观和公里数。
[02:10.330] 你看去吧。
[02:11.600] 人家还有要拿下这东西吗？
[02:13.440] 你那等会还是下雨？
[02:17.050] 没有了，然后还是没影响的。
[02:19.440] 谁知
[03:23.680] 基本面的一个更跟随考验，所以实际上七八月份虽然在7月初大家看到市场上涨的速度比较快，但是到了七八月份中报密集披露的时候，那么很多个股又会出现一个分化，这是一方面。第二方面
[03:38.230] 确实未来的一个解禁潮，特别像科创板一周年之后，有很多个股要面临解禁，所以这当中是否会对成长股带来一些考验，这也是一个时间点。那么所以短期来看，
[03:51.110] 反正目前短线市场还有在资金推动的情况下
[04:16.360] 做保养是吗？
[05:52.050] 的
[06:00.920] 公里数是20,951，
[06:04.140] 还有1/2。
[06:05.620] 然后车的左右。
[06:07.450] 两侧。
[06:08.870] 那是一块弄的吗？是过了限宽的给蹭了是吧？对。
[06:13.010] 谁知
[06:18.290] 然后还有保险杠的诱惑。
[06:20.650] 用后的位置有一个雷达进去了，
[06:25.700] 寄雷达
[06:27.440] 了一下，但是周围没有什么伤的痕迹传感器。
[06:33.710] 等于捅进去了点。
[06:35.410] 有人跟着手机的这样的。
[06:38.670] 但是您从外边还没法给他弄出来，你还得把广告拆了，从里往外装。
[06:42.830] 能不能先这样
[06:48.550] 的？
[06:52.870] 637
[07:06.710] 花。
[07:13.640] 的
[07:23.010] 的
[07:29.640] 的
[07:33.370] 的
[07:34.380] 的
[07:36.080] 的
[07:48.090] 快A
[07:50.000] 现在不用了。
[07:54.150] 的
[08:02.240] 在这一块。
[08:10.420] 您的车大概是还有2000多3000公里左右，
[08:14.140] 就该做保养了。
[08:15.340] 然后现在是包办保养卡有活动您考虑办一个吗？
[08:19.020] 刚才和。
[08:20.990] AB保，咱们保险分，A保和B保吗？一块买。
[08:25.000] 一块买便宜点，
[08:26.700] 一下买4次的。
[08:35.930] 然后还送两把菜刀。
[08:41.160] 场。
[08:48.020] 还有。
[08:49.290] 是去年的。
[08:51.360] 1万14,000公里做的保养，两现在21,000公里就是2000，还有3000公里。
[08:57.000] 可以。
[09:01.410] 远
[09:03.720] 的。
[09:11.690] 数据。
[09:22.170] 可以看看。
[09:28.730] 说
[09:32.060] 我当时跟你说有点东西要娇贵，
[09:49.200] 了
[10:10.680] 场
[10:12.040] 数据、
[10:23.240] 的
[10:26.700] 可以吗。
[10:34.680] 您考虑一下。
[10:35.870] 这些项目。
[10:39.240] 隔比如说您。
[10:40.630] 一个保养卡是A宝两次，B保两次，
[10:43.290] 空调滤芯两次，火花塞是更换一次。
[10:47.440] 了。
[10:48.040] 清洗水箱是两次，
[10:49.470] 空调的风道杀菌除异味是两次，你把这些价格都停在一起，
[10:55.100] 就等于交是交这么多钱，他比他便宜。
[10:58.890] 的
[11:04.950] 远
[11:06.350] 五
[11:17.540] 基本上这点谁知
[11:20.800] 未来。
[11:26.320] 的
[11:30.590] 场、
[11:33.070] 花
[11:34.470] 场
[11:36.220] 来
[11:39.280] 的。
[11:42.280] 号。
[11:44.570] 两
[11:46.560] 花花。
[11:50.700] 数据、
[11:52.030] 数据
[11:53.090] 的
[11:55.990] 场
[11:59.860] 坏。
[12:05.990] 然后还给。
[12:08.510] 谁知。
[12:10.040] 双立人的才到。
[12:12.260] 能给多少？
[12:17.770] 您加点反正不少应该1000块钱。
[12:39.690] 回头你要不饭店一直都在咱们这一个店助。
[12:42.660] 就考虑。
[12:44.240] 电话
[12:51.200] 然后咱今儿检测大概两个小时左右，你要是没别的事，您再等会就行，就冯走了。
[12:56.580] 的
[12:58.190] 坏。
[13:02.840] 五
[13:04.310] 五
[13:09.880] 场
[13:10.640] 五
[13:12.830] 场。
[13:14.370] 场
[13:16.710] 的。
[13:22.340] 场。
[13:26.080] 数据。
[13:27.150] 场
[13:28.610] 数据
[13:33.990] 这个卡就给您列出来的，就是咱们平时常规的保养的一些项目，比如它不包括什么刹车片什么那些都是额外的，因为不是固定的，这些都是每年或者每1万公里的固定的项目。
[13:44.170] 这个有手机吗？
[13:46.360] 有效期是10年的。
[13:47.960] 因为它是按照工程的。
[13:50.760] 一年的话也就8。
[13:53.410] 有有效期是10年，就是说您比如说咱们未来两三年，每天基本上也就是两年到3年左右应该就能给他吃完了。
[14:06.670] 空调滤芯儿。
[14:12.410] 咱这不是一共4次保养，您隔一次换一次，平均两次换一次空调滤芯。
[14:19.600] 场
[14:24.200] 五。
[14:35.690] 清洗水箱，就是您比如春天挑杨树，毛毛完了后把土和毛毛会把水箱堵住，
[14:42.650] 它会影响到散热，那个是清洗水箱。
[14:46.420] 空调的，比如您开空调有酸味，有一位的。
[15:03.430] 您留着。
[15:06.360] 谁知
[15:10.510] 取车的单子。
[15:16.230] 的
[15:18.720] 坏。
[15:23.200] 的
[15:28.610] 您车外观两头不打算修了吗？
[15:32.930] 我要想我今天保险买。
[15:37.080] 不是肯定您就甭管说买不买保险，第二年的保费肯定是上调一家，您甭管是今年修，还是您明年修年后年的保费会
[15:45.970] 上调一点。
[15:47.190] 不要跟你算两次。
[15:50.160] 您要是能找到现场。
