[00:34.830] 这么着聊吗？
[00:36.200] 行没事，我就简单对一下信息就行了。
[00:39.280] 然后一会你还放回车里，
[00:41.700] 我直接
[00:46.280] 都可以都改成移动的。
[00:48.400] 不能。
[00:49.340] 我一会回电脑了，
[00:51.920] 直接一个平板就全搞定了。
[00:54.870] 好勒没问题。
[00:56.800] 行我先找点。
[00:58.950] 等一下。
[01:04.200] 电话132的手机号是吧？尾号是5843。
[01:08.700] 证件是
[01:13.020] 行行没问题，我就看看小一点。
[01:26.240] 6652776，好勒没问题，证件钱我还给您放回来。
[01:29.940] 是身份证您尴尬吗？
[01:31.530] 省着用吗？我不用我都用了，对我都用。
[01:36.350] 好勒。
[01:39.230] 之前
[01:42.070] 首先是
[01:46.470] 之前是走过一次保险理赔，
[01:51.410] 换了一个有钱的，
[01:53.470] 咱们这次是首次保养，
[01:57.210] 公里数超
[02:00.950] 超100 100 189。
[02:04.490] 我已经买了，没事。
[02:08.870] 一共100 170多，
[02:11.560] 现在10,174。
[02:14.480] 没关系，他稍微超点还行。
[02:18.840] 到了还有车子，
[02:21.190] 这就是现在最新的没太沟通一样系统，
[02:24.960] 他会
[02:26.060] 计算车辆的保养周期，然后
[02:28.910] 到时候就汇报，除了这本也汇报。
[02:31.810] 没事办完就没。
[02:34.510] 别的应该开着都没啥事可平时。
[02:37.120] 没事行，我看一下ge。
[02:41.040] 然后您看看车里还是用贵重物品要拿吗？
[02:43.530] 没有好勒。
[02:56.840] 大概首保的话，
[02:59.620] 现在11点
[03:09.360] 打了好吧？
[03:18.120] OTI别照，
[03:22.000] 我没接过帐台，
[03:28.230] 它相当于4次卡券，我不是
[03:32.150] 应该接案子。
[03:33.650] 就相当于客户买了4个法院，
[03:36.020] 应该是减。
[03:38.650] 对，我昨天是因为人家销售送了一次也不好，我先用人家时间短。
[03:47.810] 对，我们客户相当于存着4回。
[03:51.610] 您要不然问徐哥他们。
[03:57.700] 别的都行，都没啥都是。
[04:00.770] 水箱有点
[04:02.630] 毛，
[04:03.440] D前面水箱4.9，
[04:05.750] 而且有点稍微一点放松，
[04:07.840] 稍微稍远不算很壮。
[04:12.060] 上次是放在这边打东西。
[04:13.720] 对。
[04:14.930] 没法。
[04:17.350] 对，那帮着尼。
[04:18.970] 到时候洗车就不要去。
[04:21.620] 轮胎也都喜欢刹车，应该没啥。
[04:24.840] 没问题，就整车物流给您填个单子包包。
[04:29.240] 保养有空的吗？
[04:31.670] 买车时候没送，
[04:33.200] 因为这款车好像就不错了。
[04:35.310] 你不知道吗？不是说买这款了，
[04:44.710] 店里稍坐，我给您说一下。
[04:55.170] 涉及到结账。
[04:59.360] 我觉得应该相当于世界卡券。
[05:04.960] A钥匙你留给我了。
[05:09.440] 手做一下。
[05:11.360] 时间差不多，完事儿估计可能得1点多2点。
[05:15.380] 1:00 1:00来钟。
[05:20.180] 也没准快点，因为好像现在今天上午来的保险并不是特别多，不用排队，所以首保其实相对来说也
[05:27.490] 也简单。
[05:29.080] 然后
[05:32.380] 您在店里等会儿。
[05:36.150] 还是
[05:38.830] 行，反正差不多至少应该就加上洗车什么的，估计得一个多小时俩小时。
[05:45.720] 谁知
[05:48.250] 最终了。
[05:50.180] 然后咱们中午这边也提供套餐，然后如果在电脑哪儿的话，一会给您发个餐具。
[05:56.120] 你们可以考虑在店里边。
[05:59.450] 吃个午餐。
[06:01.220] 餐，然后就差不太多了应该。
[06:10.670] 数据
[06:12.000] 场
[06:13.020] 的
[06:20.640] 数据
[06:23.480] 数据。
[06:24.720] 一
[06:29.670] 二
[06:32.700] 数据
[06:33.720] 场、场、
[06:40.990] 剧场
[06:47.010] 花
[06:49.860] 场、
[06:52.670] 数据
[06:57.870] 30万
[06:59.060] 三号等等这样。
[07:02.120] 结完账以后自动生成44 400点，不是那么冲是吧？
[07:05.770] 您好，办什么业务在这？
[07:10.090] C2604驱有预约单的。
[07:13.730] 行。
[07:14.850] 行，跟您简单介绍一下咱们保养这块，
[07:19.690] 这个月电力有一个优惠活动，叫保养少花钱。
[07:23.810] 他的意思就是类似于比如说咱们去什么理发店办个什么储值。
[07:28.110] 存几次几次这种。
[07:30.320] 然后保养也一样，它是
[07:32.730] 两个A宝两个必保，因为咱们车从首保开始A。
[07:36.170] 袄，然后就是臂膀上A保B榜这么循环作业。
[07:39.470] 少花钱，他是相当于您
[07:42.150] 一次性可以办一个4次的处置。
[07:44.840] 价格方面的话是
[07:47.240] 4017处置会有一个什么优惠，就是在享受全国统一套餐价的基础上，还能再
[07:54.370] 我们店在帮您做一个工时85折优惠，
[07:57.220] 等于折上。
[07:58.600] 所以说对于就是说每次因为这个基础AB表示你怎么样必做的一个项目就换机油吗？
[08:04.420] 可以，您车不一定老在北京用是吗？
[08:08.550] 还回东北那边时候就算了，因为折扣只能在我店行，因为您能享受到的说白了全国统一价，这个是哪个4S店都仰望黑龙江的还是千零？
[08:23.950] 海南南南沟北头都一样，只要是4S店就可以。
[08:28.120] 如果您有。
[08:29.230] 就是说咱们这是用车有这个情况的话可能不太适用了，因为有可能车到时就不回北京是吧？
[08:39.030] 那就是黑牌照的在北京开确实。
[08:43.710] 这精英战士个问题，
[08:46.040] 你们要有精彩的就还合算一点。
[08:50.210] 那就得您单做。
[08:52.080] 咱就一回收一回了得了。
[08:54.050] 好吗？
[08:55.950] 因为他。
[08:59.410] 别的也没啥事，我刚给您报一下保养就行了。
[09:02.520] 了，因为正常比如说咱们这次A保享受套餐价，它原价是1720，其实厂家打完折是933。
[09:08.840] 等于他自身享受全国套餐就还行，后来。
[09:13.840] 你们正常也走这么多吗？
[09:16.160] 1700多。
[09:17.820] 打完折930万，
[09:20.550] 别听原价是杀人的，
[09:24.530] 到黑龙江那边再看了看。
[09:26.600] 因为有的时候可能地区有竞争差异，保养不一样。
[09:32.390] 我知道在北京都是用套餐价。
[09:35.450] 有一个套餐的价格，
[09:38.620] 我觉得系统流的正常一些事情，
[09:42.740] 上面有17开头的打了一片，谁知
[09:50.710] 江苏
[09:53.990] 没事别害怕保养，打完折确实挺不打折确实挺贵，打折就便宜。
[10:02.480] 要不然不可能4次保养才4000块钱和1000块钱，
[10:06.040] 懂吧？你要好价1700，迦嗣徽保养就分了6000 7000了。
[10:11.570] 对。
[10:13.440] 有点恐怖。
[10:17.230] 的。
[10:20.420] 别的应该我看前面水箱稍微有点脏。
[10:28.960] 建议是做一个清洁，就是散热这一块，
[10:32.080] 大概一个300块钱左右的费用好吗？因为。
[10:38.420] 这个东西其实要是说什么，就怕他日积月累，
[10:42.560] 你知道吧？日积月累就
[10:44.870] 谁知积月垒就麻烦了。
[10:49.260] 老婆说你们家I什么你们什么情况喜好。
