[00:00.720] 怎么钞您桂香姓王。
[00:02.390] 王先生，
[00:03.670] 您电话多少？1331331111110682806828。
[00:12.520] 行，来主要是您开吗这款车？
[00:15.940] 现在也没确定好要SUV还是要校准，对，有大的预算是想要什么价位的，最低能到多少对。
[00:24.510] 最近咱们目前在售的都是76的75，一直没有车，没有这种行为都没有车。
[00:31.030] 二十七九的话可能对价格稍微贵1.75，要是那个病的话知道
[00:38.220] T5。
[00:39.690] 反正我钱昨天查的就是我现在一个是
[00:43.520] 对有量的。
[00:46.850] 你想几月份运行的，我倒不着急，就是替我们原来优惠。
[00:51.660] 多少？
[00:52.290] 屁股优惠4。
[00:54.180] 优惠完了是多少钱？
[00:56.180] 弄完了你要不要起来？
[00:58.200] 说不算这样的话用百分18万出头，
[01:04.050] 68他五坐后头，整个就是第二排的位置跟那一样吗？
[01:10.090] 一样一模一样。
[01:11.510] 期待上课的动物，但是一毛一样。
[01:15.370] 可以
[01:17.410] 欺负。
[01:19.380] 贵一点，但对多少更高，对1万。
[01:25.270] 烟酒7差不多，我们还有别的东西不一样是吧？
[01:29.680] 主要
[01:31.300] 其他的东西
[01:36.040] 花
[01:42.490] 凡是有现成指标还是这块我是实话实说。
[01:47.630] 28的也是速度比较四驱的，
[01:58.330] 但是T5非常
[02:00.630] 都特贵吗？还好什么的规模没有级别，奔驰的奔驰跟路虎的保费是最高的。
[02:08.700] 沃尔沃的话不算高也不低，一年1万公里保养一次，像这款车90，
[02:14.710] 然后这款车的一次小保养的话是一千三四，
[02:19.790] 大保养大，不然的话每次必保的项目都不一样，看你的保养的项目。
[02:25.670] 你小保养是一年一次，对。
[02:28.460] 这个级别都是AP宝宝。
[02:30.600] 但是每次必保的话，根据
[02:35.160] 具体要光换的东西，所以说每次必保的项目不一样，我比可能会便宜一点。
[02:39.940] 奥迪也不便宜，奥迪跟差不多基本上
[02:46.200] 这个级别宝马相对来说便宜个百八十的，
[02:50.350] 但也就这点，
[02:52.230] 看你换什么东西，
[02:56.800] 而且每个品牌它可能换的东西不一样，机油的说白了机油都不一样，
[03:02.240] 但是我觉得这个东西跟叉C60，我觉得叉C60空间紧张，
[03:07.140] 340后边那块比较多，我觉得这个空间不大。
[03:13.910] 空间大的话还是叫这空间大，
[03:16.440] 这是中尺寸的SUV。
[03:18.320] 是我知道，因为我有一个同事开的，
[03:21.220] 当时我就觉得空间真挺大的。
[03:24.550] 没想到当时咖啡也能做这么大。
[03:31.800] 是家用还是说？
[03:34.350] 主要是家用其他的空间？
[03:37.070] 29现在
[03:40.990] 打击了他在做都是
[03:43.210] 其次的话也没有车，
[03:44.920] 也不生产也不正常，对。
[03:47.520] 后来知道
[03:49.580] 他技术的标准，
[03:52.550] 这是140
[03:54.780] 第五。
[03:55.870] 第五的话像这款话是250，
[04:01.700] 对。
[04:12.850] 这款是
[04:14.240] 之一的运动款，
[04:18.130] 这个就是第五里头最便宜的是多少钱？
[04:22.210] 像这款的话这款就是最便宜的，这款算算原价是402,900，现在这款车优惠完了的话得分的
[04:33.080] 30差不多。
[04:36.950] 20. 
[04:37.970] 98,900。
[04:40.040] 这也是这样吗？
[04:41.530] 能试驾有能量，对，你可以实现，我现在给个实价，因为一会儿就出去了，对行了，能实战还得走行路世界。
[04:53.520] 所有苹果产品设计都是一样的，那都一样的，然后T都是一样的，对您拿驾驶本了吗？
[05:01.290] 您打开微信扫一扫。
[05:17.480] 还是
[05:21.910] 登录一下
[05:23.810] 了。
[05:28.210] 您微信跟手机号还不是同一。
[05:32.280] 公众号。
[05:34.640] 要吗？
[05:35.750] 正查进去，它不要埋在书，让你输密码。
[05:45.290] 看一下。
[05:46.160] 拍照片。
[05:49.130] 我给你拿着。
[06:33.310] 私下协议。
[06:39.160] 手机签名，
[06:40.360] 左下角手机清明。
[06:42.500] 听到这儿。
[06:44.480] 好。
[06:47.330] 平常咱们有什么兴趣爱好吗？喜欢。
[06:49.790] 这个加油吗？
[06:51.600] 首先。
[06:53.970] 跟你孩子就得这么宽一些吗？
[06:58.110] 如果说出喜欢出去玩的话，他不是有这个沃尔沃有
[07:03.380] 130公里以内的一个高度服务驾驶，跑高速跑环路的话非常好的。
[07:07.960] 就岗位就OK了，对。
[07:10.430] 您就车什么车？
[07:13.150] 红萍哪年的？
[07:15.530] 哪年的蒙掉？
[07:17.870] 12年12年12年过5了。
[07:21.800] 咱们这块有补贴现在
[07:23.770] 纠纷的话有一个
[07:27.190] 你们这三小时
[07:29.030] 所有的店三都是三小时的，对。
[07:31.970] 我们有时
[07:45.610] OK咱们在这边
[07:49.610] 咱生下的话先启动做支架，我带您一块。
[07:54.940] 如果等到下个电话主要的话还是目标轿车在
[07:58.810] 在尽快
[08:02.990] 主要是价的话真正才能
[08:05.520] 靠谱。
[08:19.150] 驾车的话是
[08:20.280] 装配
[08:24.070] 发放通知业务发动机，
[08:27.610] 这个不用。
[08:29.350] 谁知
[08:31.520] S90目前没有提交，
[08:36.310] 儿子有联系。
[08:37.950] 刚进国内的时候要提交时期就完了。
[08:43.710] 那时候等这四第五第六都有是吗？限量款后来
[08:48.800] 都变成
[08:50.740] T5发动机了。
[08:54.690] 明白。
[08:55.920] 这个节目函数都是您的驾驶模式调节在这儿用，不能驾驶中这条手刹到后头动车，
[09:02.520] 然后显示在这块。
[09:23.600] 能流感
[09:24.810] 拆到
[09:27.470] 您买的2.0T的盟友吗？2.0的
[09:30.960] 聆听低功率的
[09:46.650] 你们T4为啥不长？没什么。
[09:49.670] 性价比不高，为啥也便宜不了多少，他也没跟T5差不多都1差1万多块钱，对他里边东西应该差的太多了。
[10:00.440] 降价。
[10:02.320] 因为产的少，买的人少，产得少，那些厂家的对厂家的
[10:07.910] 说白了厂家的返利就少，
[10:09.920] 你优惠的就少。
[10:12.320] 这个就没什么人买，那也就是二十六七二十七八万倍。
[10:24.290] 那么多一点。
[10:35.410] 因为实际上油门刹车
[10:45.280] 这是几个档，
[10:46.640] 白体还行，基本这样也是目前世界上最稳定的大树车，特别
[11:10.600] 如果说平常跑高速跑和录用的话，
[11:13.250] 一键切换到宇航辅助模式，就是现在的故事。
[11:16.230] 否则清醒大点，他可以按照你设的速度，或者说是跟假如前方有车的话，他可以跟车跑，
[11:24.340] 包括因为它包含了临床辅助，
[11:26.680] 它包含了这SC自动巡航的功能，
[11:28.940] 他就是除了比AC自动巡航还多什么多了比SCAC的安排，墙壁的引导车辆对吧？
[11:37.120] 而且你在打着方向盘对吧？
[11:39.790] 他基本上他这个的话，如果说这有连续的清晰目标线的话，它可以自动行驶，
[11:49.630] 你手册今天搭的饭卡上面就行。
[11:54.660] 而且ACC的话，千万比喻引导车辆才可以，
[11:58.820] 没有引导车辆它不是平平行。
[12:01.390] 如果说事前银行服务的话，她前方没有引导车辆，它可以沿着科技
[12:08.810] 所有的这些功能你才产生都是自动取消。
