[00:02.210] 你今天数据，
[00:04.780] 待会。
[00:06.000] 场
[00:10.230] 想
[00:12.790] 数据
[00:18.090] 行查车等等。
[00:24.880] 车在哪？茶叶。
[00:27.140] 然后您方便的话您加微信把开票的信息发给我，然后我待会再留一个行驶本照片就行。
[00:33.180] 没有。
[00:35.720] 照片。
[00:36.820] 两次保养是吧？
[00:40.420] 还是连四200 200，您过来汽车200到咱们没错这是吧？您过来取车。
[00:48.570] 好的百得利奔驰。
[00:52.120] 当时情况人力奔驰了，
[00:58.330] 液晶。
[01:01.520] 感冒了，不好意思马上。
[01:07.200] 粮食的你把你的
[01:13.210] 你现在是在他们你看现在每个人
[01:20.070] 枪
[01:21.440] 1498疫苗疫苗要疫苗，
[01:27.010] 这两个方向经尤其访的是相亲的。
[01:32.990] 好的，谢谢，不是我说那么多，我是不14年了，你这一年就200多万。
[01:38.830] 您的划痕险它是交了1万还是2万的？
[01:41.860] 还记得吗？
[01:43.270] 2万的应该
[01:44.580] 就说拿到钱。
[01:45.670] 王良帮他们
[01:49.280] 忘了也在这浇。
[01:51.580] 两如果说是2万块钱，您这车上找五一找5个位置。
[01:55.530] 还有吗？
[01:57.090] 等薄一点，对有这是按一次修就走划痕险一次show。
[02:03.690] 大概就相当于你一年修两次给你5000块钱发给你，再扣掉你的1500，你还能赚3500 3500。
[02:12.100] 200多少钱？
[02:14.340] 你都看有没有
[02:16.280] 在高尚一点的精装交了，谁知。
[02:20.480] 我说找找小姐。
[02:22.240] 你吃饭
[02:25.940] 上
[02:27.000] 反正你要当时一年内修修开始休息这种花色
[02:35.690] 还是15将之后讲的。
[02:41.470] 15天。
[02:43.130] 等5~15年以后才能再show，对。
[02:45.990] 但是15天以后再。
[02:48.060] 15年以后再报案，完了再修车。
[02:50.250] 等等。
[02:51.100] 保险的合同先生。
[02:52.990] 是我只要等待期，
[02:54.550] 是吧？而且不光是全责还是屋子。
[03:00.310] 你转眼间徐先生可以取车了。
[03:06.480] 好了，谁知。
[03:09.100] 快车在此情况下，下次再去网络，
[03:15.830] 万。
[03:18.190] 可以找一个便宜车的保险走别人的保险修您的车，
[03:23.930] 这样自己的保费既不上调，
[03:26.740] 完了还得选不到。
[03:28.110] 我拿个多泡点那个点。
[03:31.240] 满足了
[03:33.890] 场
[03:40.320] 远。
[03:49.050] 花。
[05:37.220] 查
[05:38.120] 了。
[05:41.470] 双眼玻璃封了点，
[05:43.760] 有一小点，
[05:47.140] 夏天回头自个洗车的时候，让玻璃山的划痕的车上，
[05:52.440] 查理他是这个时候
[05:55.010] 前杠右门
[05:57.160] 后边
[06:02.410] 后旺桥是得单独车损换亮条的。
[06:06.840] 咱这些是分期。
[06:09.840] 我强调的那边这边有点
[06:13.100] 然后您这轮胎再开1万公里或两公里也差不多了，话本快生。
[06:19.590] 在有1万或者2万元
[06:24.800] 1块1000-2，
[06:28.980] 按块算一块算，
[06:31.720] 平均一块棋定损的金额得3300~3500左右，
[06:35.740] 也就是1万块钱，也就3块5万块钱应该是两块，不是5块。
[06:40.000] 像刚才你说他是
[06:43.180] 得修了5块，不是就按一次出险，人愿意修多少修，只要划痕险，
[06:49.770] 金额允许的情况下就行，别超支了，那肯定是。
[06:56.690] 钱到回头洗干净头发，你找反正要说2万块钱还钱就给两个梅花，
[07:02.320] 第一次做花肥，第二次你可以走车损险，
[07:06.000] 随便找
[07:07.310] 小东西这条件给。
[07:09.630] 反正这两次就相当于存交了1500，返了5000块钱，赚了3500，
[07:15.050] 赚了3500，比如第二年保费上调那么一点点，
[07:19.230] 多少他低点？
[07:21.960] 你说一共交多少年保险期8000？
[07:26.360] 再加上去年在这交的是
[07:33.800] 前一年出险了吗？
[07:38.060] 一1000来块钱。
[07:40.660] 咱这一串事都不管了，变形的。
[07:43.880] 雨刮片多少？
[07:45.280] 多少钱？
[07:46.900] 自个投保买根应该人家55的关系，
[07:50.910] 我投买跟十几二十块钱，从这换得100多万，
[07:56.420] 平时一般是后边这也使得少，前面刚才我喷了一下，问题不大，花的也差不多，
[08:06.080] 总体来说明显点位就去俩
[08:08.330] 罚块钱你可以先留着，你比如一共2万块钱的额度对吧？比如刷信用卡是的，
[08:13.560] 先刷两块，
[08:15.440] 刷完了别的先留也行，没必要说非得就咳那个。
[08:19.320] 有路人刷爆
[08:26.930] 了，然后在发动机的机舱里边进手动了，那个知道吗？
[08:30.440] 你给我打了一个菜。
[08:32.710] 你们都是爪子印。
[08:40.280] 应该都是冬天的时候进来。
[08:45.680] 如果没有技巧，没上班咋个月？
[08:49.170] 看一下。
[08:51.310] 正常的附属是这样的，有型胡适这样的就是被扒过来的，
[08:59.230] 中年之前可以做一个发动机机舱的清洗，夏天没事，冬天这种
[09:04.130] 夏天的烫，
[09:09.020] 只要这个仪表上
[09:17.130] 下面一块可以忽略不计了。
[09:19.980] 因为咱们这样就是说总行个人只能让车主
[09:25.440] 对吧？就是低于1万块钱你可以不要，
[09:28.130] 但是咱坐车走的话是换差那两划痕的话就管不了他了，
[09:33.960] 这个就得换配件了，那东西没法修。
[09:36.570] 依次亮条贴了一层亮。
[09:46.860] 说白了，
[09:48.680] 这个套路。
[09:52.970] 你们跟保险公司之间协商的是，因为现在车少没有修车的了。
[09:58.250] 正常走保险修车给作案就是说
[10:00.890] 赚钱。
[10:02.020] 是属于，因为送车辆上你们跟保险公司这说白了协调的对吧？
[10:07.550] 这样你们也有转到责任，也不是客户也不是有赚头，对吧？
[10:13.950] 保险公司那边可不信没问题，这人我既然有这政策，他那边可以没问题。
[10:20.280] 还有您不是确实应该是奔驰跟宝马公司的，他们还是有人说要倒退给他们，他们在改就。
[10:29.510] 因为我们朋友圈一看就发那个活动，
[10:33.540] 甭管不是也好，旅行也好。
[10:35.750] 当时咱们第一节出来了要提交的资料，
[10:41.070] 因已经导致了经济萎缩。
[10:45.400] 多给点优惠，您看您后补。
[10:47.680] 这还深一点情景能有多少已经？
[10:50.110] 这两两块钱公里就小了。
[10:52.000] 也
[10:52.920] 到1万块，我这倒是那些能买东西还搜索还没换掉，生活量，你看他AA跟我商议到前面开。
[11:04.760] 这一对比前面是浅了点。
[11:09.710] 行，我先拍单位你们做完。
[11:11.180] 完了保险您再考虑考虑。
[11:13.640] 然后要交的话，待会我直接在您后边定损那递交。
[11:19.740] 对了，您中午1点吃饭呢。
[11:22.120] 您要加一些联系电话。
[11:24.030] 快11点。
[11:26.270] 行。
[11:27.990] 那里边多少给您拿微信给您发个村？
[11:31.850] 刘不是问题。
[11:34.920] 他原来车间
[11:36.920] 我这多多
[11:39.610] 多少了？
[11:40.930] 我可以说你已经老了是12年了，一年我14年来的。
[11:49.850] 没赶上那拨。
[11:54.000] 上
[11:55.970] 我说。
[11:56.580] 来
[11:57.430] 古董。
[12:01.350] 行。
[12:08.870] 拿公众号加一个百得利集团的公众号。
[12:11.660] 有。
[12:13.560] 我直接给发三卷。
[12:15.210] 过来。
[12:20.240] 数据
[12:27.450] 到了。
[12:30.760] 每天都没登陆了，登陆去。
[12:38.650] 话。
[12:44.060] 不行了。
[12:45.620] 得先登录。
[12:47.730] 数据。
[12:48.540] 你还有一个号，
[12:51.870] 131的注册。
[12:56.430] 还有别的号码。
[12:58.110] 数据不行。
[13:04.600] 华为的
[13:08.680] 上
[13:13.660] 需要这个东西太好了，对。
[13:17.760] 这不成，这您还给我发个信息都填上了，不能修改。
[13:21.790] I那行了。
[13:22.960] 专票模板开开沾上了这小。
[13:26.880] 你还要票。
[13:27.800] 这我就收钱就行。
[13:29.920] 让你
[13:35.810] 的
[13:39.740] 场。
[13:46.990] 谁知
[13:48.520] 谁知
[13:50.040] 一。
[14:04.360] 你预留是不是到见了？
[14:05.910] 对中国没货都不能。
[14:08.480] 那就到了。
[14:10.550] 预留就到了。
[14:17.160] 加班。
[14:23.280] 自己报表总结。
[14:28.390] 你扫一下我微信，把发票模板我发过来，
[14:32.550] 然后拿。
[14:33.950] 访问可以。
[14:36.290] 看。
[14:37.830] 2166. 
[14:40.170] 七
[14:46.900] 数据
[14:48.480] 场
[14:51.160] 坏
[14:53.530] 场。
[14:55.930] 坏。
[14:57.050] 数据
[15:00.370] 的
[15:01.820] 数据
[15:02.960] 的
[15:07.070] 场。
[15:11.340] 还有一个A6，
[15:13.060] NEL。
[15:16.060] 三
[15:20.320] 对现行日本在车上。
[15:22.400] 待会照片。
[15:29.840] 方面
[15:36.940] 做
[15:48.380] 咱就差餐卷了。
[15:50.520] 然后。
[15:57.600] 场。
[16:02.240] 数据
[16:05.290] 场。
[16:10.010] 场
[16:12.150] 场
[16:19.060] 场
[16:22.000] 场
[16:26.820] 的。
[16:27.920] 场
[16:29.130] 的。
[16:37.040] 远远
[16:41.660] 坏。
[16:44.800] 五
[16:47.790] 五
[16:49.900] 花、
[16:52.130] 场。
[16:53.000] 花
[16:55.650] 场
[16:57.790] 场
[17:00.760] 花。
[17:08.700] 的
[17:11.240] 的
[17:14.320] 远远
[17:19.360] 坏数据
[17:24.710] 数据。
[17:26.530] 数据
[17:28.550] 数据。
[17:29.890] 回头打。
[17:36.290] 数据
[17:43.450] 五
[17:49.500] 号。
[18:05.890] 号。
