[00:00.000] 买一个大夫车险，
[00:01.870] 然后修的时候就走代步车检，就走过一点就完了。
[00:05.870] 没修玻璃吗？曲波你看看。
[00:09.040] 玻璃是你走你自己的保险代步车点事，他会额外补偿你。
[00:13.910] 更严重吗？
[00:16.020] 这会。
[00:17.680] 会越来越长。
[00:19.120] 现在可能还好点，就是过两天温度高的时候，冷热温差一大，你里边一凉外面一热有可能会裂，
[00:33.110] 有玻璃心。
[00:34.280] 有玻璃险是吧？
[00:35.900] 咱都没问题，怎么着去现在是这样，你买一个代步车显摆不足，
[00:41.930] 代步车保险我们店里这个月
[00:45.310] 刚推多少钱？1500，然后你换玻璃赔你2500块钱。
[00:50.070] 现金就是说白了你只要在这走保险修车，
[00:53.750] 修一次还你2500修两次，咱5000最多一年返两次。
[00:58.020] 所以这食堂不是你这玻璃还给你洗，洗完了你过两天你又就直接换就
[01:04.630] 多少钱能走保险，走保险是这样，你买一大夫车险，你过15天再来换，因为大夫车险有15天等待期，
[01:12.420] 你不用钱，
[01:14.370] 换你换玻璃没有玻璃险吗？
[01:17.220] 走你保险不用你花钱，保险公司花钱给你换玻璃，然后你额外买那代步车检会返你2500的一个现金，我这个关键是我这个出险
[01:26.520] 能给保吗？
[01:28.900] 能往前打电话是吗？对，你什么时候修车什么时候来报保险，直接给平安打电话，你就直接到我们保险部那边。
[01:35.930] 不用到这我不知道怎么弄去那定损，对，你就跟他说我这个玻璃碎了，来你要换车我要走保险换玻璃就行了。
[01:44.520] 这个上面实在坑的也算都一样，你只要上玻璃，甭管是石头还算玻璃就走保险就行。
[01:51.240] 对，你又多了一个收益资产2500，所以是1500 2500，对，这是个什么逻辑？就是第一次你挣1000块钱，
[01:59.640] 然后第二次你要再修车挣2500修车吗？修理对不对？他前提是你得走保险在那修毛钱，其实他那是保险公司额外返给你的一个。
[02:10.110] 五常不挺合适的，对，因为现在只要有修车意愿的客户来了都先上，要不然车了直接什么买一个买个拿行驶本和你的什么过15天是吧？对他身份证没带，
[02:22.350] 但我有电子的行行。
[02:24.220] 行驶本带着的吗？
[02:25.580] 驾照停这边打上去吗？这样不是得要行驶本，他得看你车架号。
[02:32.320] 这么。
[02:33.440] 那就直接换玻璃转就行，划拨了咱别去了，还在这了。
[02:38.600] 这么坏了。
[02:40.560] 我也刚发现
[02:42.200] 不知道哪天被狮子磕了一下，这两天又跑高速吗？
[02:45.780] 再找找小路上跑高速，这两天跑高速了是吧？
[02:50.800] 待会电子保单得让保险那边看一下电子保单
[02:56.320] 用药。
[02:58.170] 他就不用
[03:01.420] 就是说第二次只有一年最多两次，
[03:03.660] 他就保险最多一天平均两次，它为什么要这个险是什么意思？一就是说你修车车不得留着吗？
[03:10.430] 他赔你这个钱，意思是让你去打车，对打车都多用。
[03:14.830] 二一个是什么？有好多客户说我一出险，明年保费就会上涨，
[03:19.160] 这个就弥补你们之间宝贝上场了，
[03:21.860] 我这个数字保费不高的。
[03:24.430] 今天说一下。
[03:25.800] 去年好像
[03:26.910] 我这了。
[03:28.040] 肯定希望培养多少，但是差不多，因为我去年就上了，到现在
[03:33.520] 他是看你上一年的时间这种。
[03:36.360] 多少年？
[03:37.730] 你今年上半年应该是11月份生10月双眼3月你上保险的时候，
[03:43.360] 他就会查，比如现在你
[03:45.580] 放一块玻璃，
[03:47.430] 你到时上保险的时候就会有一个上浮。
[03:50.400] 芸草摩女对华夏玻璃了多久了？
[03:53.480] 两天。
[03:55.450] 因为他这打胶他死之后打胶了，然后一周不能洗车。
[04:00.860] 对它一下雨我看下雨没事，他就是因为怕你他用电自动洗车机把它大管子
[04:08.810] 售卖D
[04:10.920] 有时候上次说了1500，对。
[04:16.790] 信号，但是明年保费肯定会有一个上调，
[04:21.650] 但是多于少的事儿。
[04:24.060] 你上条你也得休我是吧？
[04:28.370] 送过来行。
[04:30.600] 坐着。
[04:31.460] 客户他
[04:33.550] 玻璃
[04:34.420] 吃点包了学生打。
[04:35.730] 对，然后电子保单您看一下有多一点，如果没问题上衣带不少钱。
[04:41.760] 然后收费在show，对，这不是咱家上的保险应该15天，对。
[04:47.150] 过15天过15。
[04:48.980] 5天的day2。
[04:49.960] 25号了是吧？26号对吗？
[04:52.790] 20号。
[04:53.660] 5月1号以后就行了。
[04:55.800] 月底了，不过是下月初。
[04:58.080] 月底3月底能来说是吧？
[05:00.680] 然后您想着把年检标给领了给。
[05:04.530] 到了09年时。
[05:06.110] 1月到期的您。
[05:07.210] 变了吗？
[05:08.120] 对，你别忘了我领过了，定完了这是环保的。
[05:12.320] 不是环保。
[05:13.100] 检车去哪里呢？
[05:15.180] 去交警大队。
[05:17.880] 拿着钱基本就能领取8，对。
[05:20.910] 把每张要清一下。
[05:23.490] 您减掉现在不就没事吧。
[05:25.680] 在没到期的。
[05:26.920] 来修车的时候得用得。
[05:28.950] 学生时候的那时候。
[05:30.270] 包括历险的时候，我们得要一个2021年有效的，您这不是19年11月的。
[05:36.790] 对。
[05:37.490] 他现在都是电子了，直接发到手机上了是。
[05:39.800] 对，他。
[05:41.070] 我就不是我本人。
[05:42.740] 不是本人能申请吗？
[05:44.960] 也能。
[05:46.370] 您下一个12123的APP是不是在那上面就能对从网上看到有网上你得让。
[05:52.490] 车主给您授过权他才能到。
[05:57.040] 我不知道。
[05:59.320] 但我也有我绑定过这个看看没问题吧？
[06:04.000] 没有，以前有进口的。
[06:06.000] 那边
[06:08.930] 然后把信息给我吗？
[06:11.250] 后车主身份证是电子的。
[06:13.200] 行，你就跟这儿办。
[06:15.670] 然后他这边上完保险15天以后，你别忘了领标，
[06:20.370] 这水膘来说。
[06:22.470] 两三盘。
[06:23.590] 16年11月份
[06:24.540] 怎么领是自己，如果我要是
[06:28.720] 我去教你们赶紧。
[06:30.520] 留也行，在交管12123上边办也可以。
[06:34.720] 交警队申请纸质的是吗？
[06:36.400] 对。
[06:36.880] 他给您一个也是跟相后边这一样，当然日期不一样。
[06:41.480] 这个会换吗？
[06:43.390] 这也不会。
[06:44.880] 给你一个新的标签了，对。
[06:47.360] 你得领一下，要不然你不领的话，后期保险不生效。
[06:51.240] 走保险。
[06:52.450] 的时候有点用。
[06:55.090] 别忘了这是重点的，行，到时你看现在今天上班吗？
[07:00.770] 我的身份证我们在这边拿出来拿的，
[07:06.310] 我先回去，而且着我一路怎么讲？
[07:30.680] 可以。
[07:57.350] 车里没有贵重物品。
[07:59.140] 好勒。
[08:53.920] 你看计算机算一下，
[08:56.200] 大概是大数基本上
[08:59.560] 900
[09:07.660] 谁知
[09:09.900] 非常
[09:12.890] 1381
[09:15.680] 三
[09:17.890] 3.5。
[09:20.950] 地方
[09:22.510] 350万。
[09:24.860] 143。
[09:29.040] 压力
[09:32.990] 有安全的3300，那么今天还有对关键这么没了，正常了这里面包含了的，这个是你的
[09:43.390] 5:30时间找两个一样，现在都是谁知
[09:49.050] 照的话也就是
[09:53.250] 咱们最全的说，对，这一共刚才这边说了这种一共是
[10:00.370] 让我给你再给他换。
[10:04.060] 要不你下午到
[10:06.310] 直接。
