[00:02.110] 一方面
[00:03.380] 谁知
[00:04.810] 谁知
[00:08.040] 这对。
[00:12.960] 意思就是
[00:17.130] 应该是
[00:20.370] 18年
[00:22.000] 18年的时候
[00:23.630] 就出现了问题了，
[00:25.200] 当时弄了一次，
[00:26.720] 了一次，然后管一块。
[00:30.960] 没有别管他。
[00:39.650] 还有关键。
[00:45.840] 不是关上了门关上完了，他现在是啥？
[00:49.170] 应该是
[00:50.870] 啥也知道。
[00:54.190] 马上
[00:55.340] 看您说。
[00:56.780] 他开始不是在保修之内吗？
[01:12.670] 你接受吗？
[01:13.880] 我只负责您把您分期。
[01:19.410] 就这门跟叶子这有。
[01:24.020] 有门市吗？
[01:26.530] 有门两块板这块。
[01:28.900] 走不？
[01:30.530] 童。
[01:55.480] 自己走两头。
[01:57.410] 他写一个优厚，我得跟他保险这边再核实一下，他刚才拍照片了，我看他刚才说
[02:04.670] 就是这两块。
[02:06.290] 哪家公司您这边？
[02:09.150] 平安的照片。
[02:13.000] 车里边有没有什么贵重的首要需要用的？
[02:24.070] 这个就放车里了。
[02:26.830] 这些都不懂。
[02:28.320] 看有没有易燃的，没有。
[02:33.030] 可以了是吧？
[02:34.180] 没有，咱还没做交接。
[03:26.510] 怎么称呼？
[03:27.660] 张
[03:29.210] 张政委。
[03:33.410] 13811013859是您电话是吧？
[04:44.400] 气着说。
[04:45.440] 你等一下，
[04:47.100] 等什么？
[04:49.780] 上次朋友说上面都拍完之后那个东西
[04:54.900] 小解决，
[04:56.320] 客户
[04:57.810] 小点的
[05:00.310] 我打蜡了，后来回去。
[05:02.550] 是吗？
[06:16.780] 这还要我不用了不能。
[06:19.210] 那不用了。
[08:39.480] 马上。
[08:42.250] 后箱盖看着怎么像是这坑似的，
[08:45.970] 拿来
[08:49.070] 这就是看着像有两个坑似的，
[08:52.230] 还有
[08:54.720] 在这一块
[08:56.230] 跟着一块。
[08:57.400] 等一下。
[08:59.630] 从侧面看。
[09:06.600] 没看出来。
[09:12.000] 这是崩掉漆了。
[09:13.280] 这是一坑一软坑。
[09:15.640] 要是
[09:17.210] 车里边有没有什么贵重的所得需要用的？没了。
[09:22.250] 钥匙应该在你身上。
[09:24.350] 在车里在偷懒
[09:26.570] 的
[09:28.460] 点。
[09:32.010] 你这好像又还这么多。
[09:36.180] 我现在得这边一个那边一个增加7。
[09:41.430] 加班了。
[10:10.490] 现在是37,208 37,208。
[10:35.610] 您说天窗是不是就是这顶层部分可扯着队？
[10:42.230] 当时我跟听陈亮说一声，不是天窗有问题，
[10:47.420] 这不有问题，你看看你过来我上那头。
[11:02.760] 就这里卡。
[11:07.300] 就让你看，
[11:08.420] 他说这是咋回事，
[11:10.520] 要是让他掰着的话，可能
[11:13.240] 能不能
[11:15.050] 就一点，
[11:16.760] 就这个点，因为不知道为
[11:19.670] 可能调一下就行了，估计。
[11:24.350] 就回来的时候没事，回来没事。
[11:27.790] 就往回退，
[11:29.850] 然后就这么一点，
[11:34.440] 问题不大。
[11:36.200] 对，问题不大。
[11:38.760] 我觉得问题不大，就得让张相看看。
[11:46.250] 因为我就回答
[11:48.970] 因为我们这边是负责钣金喷漆，
[11:52.440] 这方面我比他懂一些。
[12:06.550] 咱商务里边做个交接给汽车站，
[12:11.080] 账务里边做个交接，给你一个取车单，
[12:18.580] 你这啥时候能修好？
[12:20.940] 大概得奔这周四。
[12:22.830] 不行，时间太长了，都是啥时候？
[12:27.320] 周四大概可能上午左右，因为春问一下我跟谁说的，他们说我
[12:34.470] 订的是周三，然后周三刚好三号这一天，然后只能是说你周四上午就照顾过来，我给你取完之后我的
[12:44.830] 过户去，完了过户完之后我制约
[12:54.020] 我是给他约了完后上午10点
[12:58.560] 是我的车牌，然后就跟更改。
[13:02.720] 变更。
[13:06.950] 你看周四上午能来福州5月份周四上午应该没事。
[13:12.770] 周四上午应该没问题。
[13:19.420] 在你们配件说把日韩里能给他给你调一下，弄一下我这不管条。
[13:25.330] 那得转给陈亮条是吧？
[13:28.240] 你跟他说一下，他明天不来上班了。
[13:31.520] 我说
[15:30.520] 签两个字，
[15:35.680] 您有一个特别要嘱咐您车保险这边差公章，
[15:44.590] 拿到
[15:46.720] 都写着保险不是签公章给您带着材料吗？
[15:51.790] 我取证时候把这东西先给发过去。
[15:55.030] 您要我可能没说明白，我在你上面取车单上面写了一个欠公章，就是说您在桥取车的就是周四一早去找他，叫董一凡把盖章材料交给他，
[16:10.550] 然后让他在这签一个字，你收手续齐，然后您到我这来取车
[16:17.270] 还行。
[16:19.440] 是这么一个过程，我说明白了吗？
[16:24.090] 就是说您直接到我这来，您这欠工商取不了车吗？
[16:28.980] 来这个给我，今天给他。
[16:32.330] 今天给他他比较犯懒，一定让他在上面签字，我比较熟悉的就是对您放心，对他不放心。
[16:41.520] 他不是咋了，反正走没事给我操他都受不了什么，我们不知道他就追着他找他遮了P我还得问他试试您，咱们是非常简单的事儿，有认为对给他了就让他在上面签字隔离慢点0。
[16:57.150] 有个信封吗？
[17:00.830] 那算了。
[17:06.040] 大。
[17:07.300] 没有，现在牛皮纸了，
[17:09.440] 这是我们的工单带着不能
[17:16.490] 句
[18:18.310] 另外一点，
