[00:05.440] 京N28738。
[00:12.970] 你照个影传车旁边。
[00:23.110] 怎么称呼？
[00:24.280] 我心凉凉。
[00:47.000] 说我这车上还没有登记您的信息，您驾照或者身份证又不行，
[00:52.900] 所以要盯着。
[00:56.120] 这是什么？
[00:57.320] 我录入您的信息，然后好跟您联系。
[01:06.040] 就是要用修理信息完成这样对。
[01:08.700] 录音能不能这些新路修信息，因为我得跟人家跟老板汇报一下这个情况，老板同不同意换门什么的。
[01:15.510] 也得反正然后驾照我刚才没找上，我觉得比较轻松。
[01:20.730] 对着你看这个不耽误。
[01:25.230] 凉糕元，
[01:26.780] 主要
[01:34.960] 一会儿咱们有时间的电话多少？
[01:37.780] 186186118811884788。
[01:43.090] 4788。
[01:47.000] 车里边有没有什么贵重的手段需要用的？
[01:50.650] 应该没有了。
[02:22.390] 我抄一下公里数，一会把钥匙给您。
[02:51.570] 他现在是83,415，
[02:56.000] 游一半。
[03:03.430] 345。
[03:09.910] 这么说了，
[03:14.090] 他的工作基本上都做完了，
[03:20.610] 因为他那边也得等您的。
[03:25.690] 因为这东西怎么说这个事儿
[03:28.430] 我们像您这种损伤，
[03:31.120] 损伤这种东西，因为你门跟叶子板受损都那么厉害，
[03:38.190] 怎么着也得换一个照片，修复的过程，还有一个保证。
[03:43.340] 也不知道。
[03:46.410] 要不然的话他后边门的叶子板这两个药都show它肯定不平，肯定
[03:52.680] 他原来修不到原来那个状态。
[03:55.790] 我就是一次把门钥匙都玩一下。
[03:58.180] 原来第一页的肯定修，要去俩都修的话他俩都是WiFi。
[04:03.850] 您大概的情况维修是宦门修理后叶子板虽然说后叶子板什么比较
[04:11.040] 变形量比门还要大，
[04:13.000] 但是门这夜晚肯定凶，因为叶子板如果要换的话，得车从车上锯下来。
[04:19.630] 这个肯定是我们不想就肯定不因为这个说完了，
[04:24.630] 一个时间长，二一个费用高，另外主要是什么？对这车的贬值会有很大的什么才会造成事故车。
[04:32.440] 您这个车我们建议换这个门，然后用这个门把新门然后找着后叶子板把它修平，
