[00:00.000] 测一下二次，是不是张女士？二次对吧？
[00:05.760] 收费吗？
[00:07.270] 媒介类的。
[00:08.520] 正常接收。
[00:13.480] 你打电话。
[00:24.080] 你好张女士。
[00:25.340] 你好。
[00:26.640] 自己过来的。
[00:28.860] 这是260放的2。
[00:30.540] 250。
[00:31.820] 200的话，咱们那边展车在二楼在您看看。
[00:37.340] 我想近几天把它定下来是吧？
[00:41.890] 忙完了那边情况，我记得上次给你打电话时候练车，
[00:45.190] 对面怎么样？
[00:46.910] 还好。
[00:50.140] 正好你来的还挺支持我们。
[00:52.360] 今天在搞活动，
[00:56.690] 老和尚
[00:57.620] 优惠干啥？一会我给你算。
[01:05.480] 上次是你接待的吗？说话？
[01:09.380] 一直给你打电话也不好。
[01:14.730] 在二楼的那次吗？
[01:17.060] 没有现车是吗现在？
[01:19.350] 现在有现车。
[01:24.000] 谁知
[01:28.630] 别的店都没现车了，对，因为咱们电大，所以说咱们这个车多，车现在有现车。
[01:35.650] 但你们的价格有点弱，高位，不过价格太高，
[01:40.610] 他们都报
[01:42.550] 7万。
[01:43.610] 就优惠7万，你就直接65,000。
[01:46.680] 有我7万的没车的，8万多万给您报，
[01:50.560] 但是人家那也就一个月就算押一个月他给不了新车。
[01:55.110] 前两天我给客户也是
[01:57.000] 他还7万多定到最后又过来买，
[02:00.090] 帮他订完了之后没车一直拖着他。
[02:04.540] 为什么咱家有车我们变大，
[02:08.440] 公车你卖的有多少人给他睡多？
[02:21.560] 我上次我说出一产品，
[02:25.390] 也是260了。
[02:27.510] 应该昨天这摆了一台应该是卖了，我再给您查一下，咱们做这边。
[02:44.890] 这屋里就摆了一辆，
[03:06.270] 之前好像给你发微信，让你给我报一下，
[03:09.090] 你估计是忙的又忘了，有可能。
[03:12.150] 你敢装周六不是特别忙
[03:15.710] 的快乐。
[03:22.490] 再聊。
[03:23.360] 看。
[03:59.710] 咱们说那个。
[04:00.540] 检查有点问题。
[04:08.920] 说一下。
[04:10.550] 总共不到
[04:13.230] 了。
[04:15.070] 烧了他喜欢的。
[04:35.510] 行，什么颜色的？
[04:37.000] 白色。
[04:41.810] 颜色比较
[04:44.670] 没有了以后跟我吃饭，我
[04:46.770] 这办完事我就过去。
