[00:00.000] 明天的电话都打出来吗？
[00:01.880] 可以我们店，但是中台业务你得个人在外边做。
[00:07.620] 你好郑女士是吧？
[00:10.090] 我是北京百得利奔驰下线的，您车从网站关注这样C这款车对吗？
[00:15.210] 好谢谢。
[00:16.780] 帮您查一下店里现在展车试驾车都有，我们等他在西四环，如果开车试驾临近了这个位置。
[00:23.360] 远吗？
[00:25.290] 西四环海淀五路居百得利之星。
[00:27.890] 当路过M记授权。
[00:30.640] 今天进了。
[00:32.710] 兑现车和试驾车都有，咱们家是西区的总店旗舰店，所以说展车和试驾车都比较多，车型的配置颜色也都比较齐全，如果您看车的话，咱们家展厅里边除了奔驰，
[00:43.170] 然后旁边还有沃尔沃、奥迪，然后保时捷都在咱们园区里边。
[00:51.410] 好。
[00:52.880] 假如C吗？您看到260还是300女士？
[00:55.340] 但是。
[00:57.380] 都行是吧？黑白色包括彩色系基础色系，现在都是前车，主要是看您选好车型颜色，我们这边来找销售顾问来给分包价。
[01:06.510] 样彩色的。
[01:07.520] 尤其是一般的。
[01:08.900] 彩色的现在我们目前帮您看一下稍等。
[01:12.670] 黑白红都不要石墨灰tmd今年新出的这是2831挺好看的，哑光色。
[01:20.230] 这车是限车，对这事是现车，然后看一下还有什么事儿。
[01:26.710] 有什么不一样？
[01:28.200] 是吧？
[01:29.330] 有些红宝石黑，然后都是现车这几个车，
[01:32.520] 然后这个是260的豪华，然后300的话现在店里边也是石墨灰比较多一点，然后其它就是黑白色你又不喜欢。
[01:40.610] 主要考虑石墨灰春，因为它是今年LC260 800家050配置的新配色，
[01:47.030] 可以的，只有这个是今年的事儿。
[01:49.370] 我给您发个短信，有些担心涨停，谁知见一下。
[01:53.810] 下这刹车这4个车不太一样，260动感豪华300的动感和豪华，价格差不多都在40万左右，四五十万。
[02:01.920] 主要是取决于您看您是北京上牌是不是需要做置换，打算分期全款，分期的话首付比例跟还款中还款年限又影响您的利率，
[02:12.260] 利率是0.99起，咱们坐奔驰金融，如果您要不想坐奔驰金融，您做其他银行的也可以，我们会给您出多套方案，
