[00:00.880] 7月3号董志客户评估接待
[00:04.040] 一一一门专业一门专业，稍后我也可以分享一下，有一天去看，
[00:14.350] 很小心。
[00:19.990] 您好先生，评估师卢保您好，这是我的名片。
[00:25.290] 请输一下您车的行驶本车钥匙。
[00:29.280] 您车里没有贵重物品的，
[00:35.300] 跟您介绍一下咱这边的评估流程，咱这边会有一个静态评估和动态评估。
[00:40.580] 今天的消费您做一个静态评估，时间大概20分钟左右，
[00:45.850] 到时候会给您一个报价，
[00:47.690] 这个报价三个工作日有效。
[00:50.710] 到时候如果说您觉得车况价格没有问题，
[00:55.160] 外交车的时候，咱这边会对您车进行试驾，
[01:00.240] 您看我再您车进行试驾的时候有什么需要注意的？
[01:10.320] 有个问题跟您验证一下，您这车维修保养都是在4S店。
[02:46.730] 然后拿复印件。
[03:27.600] 这边拿过来
[03:30.030] 了，用不完。
[03:32.060] 明天早晨吗？
[03:35.100] 不是咱们去咱们也去干这事，在对面对面。
[03:41.010] 不是这个方面投票吗？
[03:43.460] 我这边。
[03:54.490] 你到哪来？
[03:58.690] 拿到手续了吗？
[04:02.670] 那俩出漂亮。
[04:05.740] 拿着证号身份证发过来。
[04:10.730] 号。
[04:14.910] 马上到店。
[04:16.740] 南门
[04:18.010] 开始了
[05:05.730] 销售。
[05:07.080] 先来因为说话的怎么操作？
[05:09.750] 宝贝说在考虑的情况。
[05:16.910] 就很难做了，
[05:20.000] 好
[05:22.180] 刚才
[05:23.240] 他就会放松，今天已经背下来。
[05:28.770] 您这边给您把的消耗。
[05:34.040] 安排交换。
[05:41.450] 后来完了。
[05:45.140] 总之客户评估接待完毕。
