[00:06.420] 燕化您说一下。
[00:07.360] 133. 
[00:08.250] 133. 
[00:08.660] 01. 
[00:10.020] 0三个1。
[00:11.060] 89148914好勒。
[00:14.010] 有您信息。
[00:16.440] 应该我来写都是多少会。
[00:24.360] 一
[00:28.120] 159531164
[00:32.450] 1420OK，
[00:39.570] 33这个证件我给。
[00:59.320] 有货。
[01:01.270] 昨天下班的时候刚到了一批。
[01:04.000] 你这是前排乘客气囊。
[01:07.520] 等于说副驾的气囊有货。
[01:09.880] 刚到了一批有差不多50多个，
[01:12.710] 你要换的话也能给你换，但是换的话今天就取不走了。
[01:17.480] 我这段时间我报警，我想看看保险从那边您看我问一下。
[01:23.710] 您说。
[01:24.520] 我不那个。
[01:25.980] 机油。
[01:27.220] 我过去就是保养过两年应该有两年的时间了，其实在家里给我剩了多半桶，我在家里弄吗？
[01:37.230] 这都几年前了。
[01:39.200] 有待过两年。
[01:40.430] 那就甭屎了，你要是自行车上什么告点油什么你就用。
[01:44.440] 往发动机里边家里不用，两年开过两年就不用了。
[01:47.680] 对。
[01:49.600] 开口两年就不用了。
[01:50.540] 我看了对吧？他说
[01:52.510] 让我过去诉讼我送你过去，下次再用我用下。
[01:58.810] 行。
[01:59.720] 两年了就不用了，你要说你要是一年左右，
[02:03.220] 能不能使这没问题，你这一层一层机油没多少钱，100块钱你别回头再好你再会了。
[02:09.530] 对吧？
[02:11.510] 4点我看看好像内容看看。
[02:15.060] 您看一下。
[02:15.970] 又开始
[02:16.840] 现在好了到底刚刚不到10万，实际上。
[02:21.270] 你9万的时候没在没
[02:24.150] 开店做生意。
[02:25.350] 没有。
[02:26.670] 你在外头做的，
[02:29.780] 您平时现在
[02:32.510] 在市里跑是吗？
[02:34.120] 我跑可操作，
[02:37.480] 现在有一套餐挺合适的，我看你这车还能买到。
[02:42.360] 几年了？
[02:43.760] 保养车还有什么好看？
[02:46.190] 套餐的话就是两个微。
[02:48.510] 两个be形成E套餐套餐的话要比单做要优惠点，
[02:57.910] 等于4次保养，
[03:04.430] 3661. 
[03:05.720] 说你3000多3600 3000什么内容？就是机油机滤空气滤芯，
[03:11.090] 就基础保养。
[03:12.340] 就普通的基础保养，你要说灯泡坏了，然后刹车片薄了，那单说了就是普通的基础保障，
[03:18.280] 要空调一会洗个空调什么的，咱说。
[03:20.260] 了我记不住你我刚才写的技术发展，
[03:23.750] 我发现我看我也不知道什么内容。
[03:27.990] 写什么？
[03:28.840] 报表内容。
[03:30.210] 宝宝。
[03:31.370] 保障内容这次。
[03:32.420] 我也不敢我以前咱保养的时候都是不一样，
[03:40.910] 的。
[03:46.580] 不是，我的意思就是你今天先不做，先把项目给你写一下是吗？
[03:50.430] 行，我先看看我今天保养不问我正在来计划的发展。
[03:58.190] 话。
[03:58.700] 行。
[04:04.350] 场
[04:07.160] 场
[04:14.220] 五
[04:56.560] 数据
[04:57.490] 数据
[05:00.330] 的。
[05:01.550] 对
[05:34.400] 说
[05:36.360] 接到了
[05:40.250] 怎么不让你走？
