[00:00.000] 结束开始结束。
[00:05.530] 您车牌号多少？
[00:07.930] 家电您电话是18630一个423
[00:14.510] 506CS。
[00:27.270] 先查一下是什么？
[00:31.470] 我直接把灯泡给你拆下来。
[00:33.390] 灯泡灯丝断了，那不就是灯泡不行了吗？
[00:36.680] 你带走了吗？
[00:43.940] 要
[00:46.080] 二
[01:09.580] 的。
[01:10.540] 为什么
[01:15.480] 的
[01:19.070] 的
[01:25.170] 发微信，
[01:28.620] 我先走了。
[01:31.710] 5月
[01:33.180] 二
[01:35.800] 了
[01:39.030] 的
[01:41.450] 可能
[01:42.530] 慢慢
[01:48.290] 然后
[01:51.350] 到时我把它们拆了给你看一眼好吧？
[01:54.960] 坏。
[02:02.420] 首先我帮你拆了看，我看两个灯泡，
[02:05.850] 因为一个灯带就他俩吗？
[02:09.120] 一个反正工资费是不会变的，工费是65块钱，然后灯泡看那几个。
[02:15.600] 好吧？
[02:25.600] 先生您这里还有一个B万能花钱。
[02:30.280] 多亮怎么样？
[02:31.250] 如果基础地方的话都是在羊的是吗？
[02:34.930] 你要拆装的话肯定有工时费，
[02:37.750] 但是你应该上次检查的时候就应该发现了这个问题，他没有报警吗？
[02:44.870] 为什么我上次答应从你刚才灯泡的损坏咱是没法预知的。
[02:52.660] 不可能。
[02:55.870] 我觉得应该是你不应该如果灯泡没放松不被应该是
[03:03.690] 上次好像是我刚走的时候发现在那停车的时候就发生，但是我当时没太注意，因为它一把火以后它就没了，现在是杂活以后它就还朋友，
[03:15.330] 所以上次如果我不走的话，你就不应该收。
[03:19.690] 差了看看，然后我照的第一个故障照片就是当天发生的，就是我取车一个账户什么，我先帮您查看这个费用咱们这都好说好吧？
[03:31.360] 我先把座套铺上，
[03:55.270] 让我这卡
[03:59.090] 也快了，这就直接上去。
[04:01.490] 行。
[06:24.090] 您这几个单大家做
[06:25.680] 场。
[06:36.650] 坏数据
[06:40.080] 的。
[06:41.200] 一会给我打电话。
[06:49.310] 你打电话。
[06:53.950] 数据
[06:54.840] 数据
[07:00.390] 两
[07:03.780] 花。
[07:13.160] 后
[07:14.200] 两
[07:15.990] 就是一灯泡工作就算了。
[07:19.970] 公司看今年河北在这儿银行账户选择，如果这些所有的项目两需要的项目，最终
[07:35.390] 我们的这种方案
[07:41.090] OK谢谢。
[07:50.970] 如果因为任何问题您
