[00:04.770] 京N
[00:07.230] 88。
[00:12.510] 没有约是吧？
[00:16.220] 他给我打电话给你打电话了是吧？
[00:28.890] 可能得明天取车了，没问题，我得下来让
[00:33.400] 出差是吧？对好行。
[00:35.990] 您这车除了减震召回，应该还有一个软件升级。
[00:43.520] 看一下。
[00:45.730] 顿挫感是吗？
[00:49.950] 应该不是那什么。
[00:51.960] 看看是关于什么系统的。
[00:55.640] 发动机动力总成控制单元，
[01:03.760] 我变速箱顿挫感不是有一个免费亲情吗？
[01:06.920] 是不是像顿挫感？
[01:08.410] 没听说有升级，您听说吗？
[01:12.590] 4S店听说过对吧？
[01:14.350] 顿挫感升级，
[01:17.460] 你顿挫感是得先让技师试车看看
[01:21.520] 几档升级档，
[01:24.320] 你能听吗？
[01:27.320] 他不是说
[01:29.320] 得事先检查有没有这个现象，然后明显不明显，
[01:34.690] 几档升级涨，
[01:36.310] 所有党都是不行，这就是特明显所有党校
[01:41.840] 能不能细分一起回来是吧？
[01:46.320] 对。
[01:47.490] 您证件带了吗？
[01:50.560] 我有幸。
[01:52.610] 您这边等一下。
[01:59.480] 16年4年了。
[02:06.770] 这边留您的电话是13811011145对吧？
[02:17.820] 给您
[02:21.590] 保养做吗？
[02:25.440] 没在这做是吧？
[02:30.170] 不是在4S店做的，不是。
[02:34.280] 您这车变速箱油换过吗？文化大意思大网吗？
[02:40.450] 6万妈在外边画的是吧？对打。
[02:43.310] 你在外边话吗？随便更不能瞎给您升级了。
[02:47.750] 什么我说在外边换个
[02:51.000] 不能轻易给您做升级。
[02:53.310] 为什么？
[02:59.280] 一是得先让技师是看看顿挫感是不是正常的，
[03:04.330] 你要是所有党都有这么做的，我觉得这应该不太可能，
[03:11.450] 还得看看是不是急加速，新买车的时候就得吵架。
[03:16.320] 你要不急加速有时尚感，应该是他强制降挡你要正常。
[03:24.350] 比如2~3店三档一定
[03:26.690] 很明显，
[03:27.860] 有快乐多一点。
[03:31.770] 因为调到运动模式还好点，
[03:36.650] 不是急加油的时候，
[03:38.160] 是不是？
[03:39.950] 简直
[03:43.160] 要不就到时候让我们师傅上路上试一下。
[03:46.000] 可以。
[03:52.950] 车里有什么这种东西吗？分没有？
[03:56.610] 行驶本和家门在。
[03:58.600] 没事不用。
[04:00.620] 信息都给您核对。
[04:07.510] 生长的时候会有顿挫是吧？
[04:10.560] 孩子
[04:13.370] 正常行驶，
[04:15.400] 主要是这样。
[04:22.400] 反正系统没有提示您这车有别的升级，
[04:29.840] 您说的那些所谓的升级试一试的，
[04:32.940] 有相关的故障，然后还得有最新的版本，
[04:36.910] 不一定升完级就会。
[04:41.080] 好。
[04:43.560] 而且有的像顿挫感不明显的，升完级反而倒不行，
[04:48.390] 是吧？
[04:49.830] 所以这回减震器生召回什么意思？是有安全隐患，是换新的还是新婚的？
[04:56.360] 俩。
[04:58.280] 那边前两两前面的是吧？给您换两根新剪的。
[05:13.400] 保险是在这上的吗？
[05:18.060] 有点小划范围。
[05:20.500] 玻璃边有点
[05:22.080] 装win。
[05:22.940] 处理得很好。
[05:23.880] 狮子峰这样
[05:26.020] 了，
[05:26.840] 没列着10:00 10:00应该跑高速，
[05:32.330] 划的比较明显。
[05:34.140] 这知道是老丈人。
[05:36.120] 考虑要修吗？
[05:37.640] 要考虑修的话，现在有一个代步车险，你可以上一个
[05:41.300] 修一次反你2500现金就非常合适。
[05:44.800] 然后还要掏钱吗？还是走保险，你走保险只要你正常走保险价格，修车修一次两天，我收两次就5000，一年最多赔两次。
[05:55.300] 咱们怎么他是这样，
[05:57.900] 我们现在
[05:59.280] 跟保险公司奔驰跟保险公司有一个合作叫代步车险，我们管它叫其实就是一个版权专享的保险，
[06:07.030] 你投完保以后过15天早就生效了，它是一年有效期，
[06:12.210] 只要一年之内你来我们店修车，修一次反2500的现金，
[06:16.370] 不管你修我还得再上一险。
[06:18.640] 对，提前你得先头一个代步车保险。
[06:22.520] 我现在的险费也能修这个吗？
[06:24.560] 您现在的险是修车用那个险是赔您钱吗？
[06:27.600] 那得多少钱？1500一千四百九八。
[06:30.550] 也就是说你修一次那钱就肯定回来挣1000块钱。
[06:34.270] 答案现金返现金打进银行卡里，对，因为我们现在好多客户车上有伤都买一个15天以后再来。
[06:41.860] 我今天您搁这儿先买，完了15天以后你来修车，
[06:48.830] 或者是不着急，一年之内一年都有效。
[06:51.810] 还有是一个什么情况？比如说因为你走你自己保险，难免明天可能保费会稍微放小点，
[06:57.960] 如果比如说别人把你车碰
[07:00.700] 最高
[07:01.620] 走保险过来给你修车也赔，直接返你2500，你就是我的意思，比如说我这1500上完了，
[07:07.510] 现在就搁这连带的一个人，不他这保险得等15天以后，因为年以后才能再写，对，因为你不能说上完保险就修车，
[07:14.690] 保险公司他会查，
[07:16.560] 他有一个15天的等待期，
[07:18.710] 所以就好多不影响说正常是不是那种大巴1500返2500和这还挣1000对。
[07:24.870] 1500是每年都得上了吗？不是，目前只有这个月，你上完就管一年。
[07:30.640] 明年肯定没有了，就因为现在一停了，
[07:33.340] 跟保险公司谈一个合作，
[07:36.100] 有的客户说我把车留着了，我这没车用了，给你这钱去打车去。
[07:43.770] 不是那钱什么时候返？
[07:45.590] 修车了，修完车以后就烦你了。
[07:47.850] 传给我一个账号，给了一账号，对你给他银行卡，他当时也会给你做一登记。
[07:53.440] 对，所以你
[07:55.350] 垫资保险是在这上的吗？是？
[07:57.980] 上商业险了。
[07:59.750] 然后拿着你的行驶本和身份证，待会带你过去办一个。
[08:04.270] 后盖有点小伤，其实你不用都修，你就修一块就行。
[08:08.440] 或者这两份
[08:10.680] 这一块。
[08:12.750] 对，你可以，因为你要这边那就出两次险了，没必要你就先修一次，
[08:17.140] 然后你过一段时间再修一次，等于就能还你5000块钱那边
[08:20.600] 曝光就行，就主要这边漏气了，看你修哪都行，反正只要你
[08:25.910] 修就行。
[08:27.670] 还得出两次险。
[08:29.160] 不是，你要是两边都修肯定是你这还有保险吗？
[08:33.460] 什么险？划痕险。
[08:35.760] 划痕。
[08:36.660] 我也忘好像没了，不用怀疑有还是没有，你要没有房产险就只能出两次，因为你不能左右都碰了是吧？你要想两边都修的话，你要是就修这边那就出一次险就够
[08:49.450] 了，你就先到时候可以先把这修了。
[08:51.770] 然后刘一次等这万一要别人把你车蹭了吗？
[08:55.700] 是吧？或者要是没什么事，等到年底时候你在修那个不就完了吗？
[08:59.920] 这东西就是你有我要是修的话得几个工作日，
[09:04.040] 一份7差不多两天。
[09:06.080] 两三天也就这样。
[09:08.990] 有时间
[09:11.220] 看看下午多多给姐打电话。
[09:13.530] 1000多块钱也不贵，你就踏踏实实买一个真的绝对合适你还。
[09:18.230] 对，他主要是你不是白花这钱，何必挣什么钱，我们不是挣您这修车钱。
[09:23.930] 保险公司赔给这修车钱。
[09:27.130] 反正你不也要修吗？
[09:31.190] 是作为
[09:32.350] 对是S4508徐总。
[09:35.590] 徐总说的那车是吧？
[09:37.670] 是你跟陈哥说的是吗？我跟说张尧跟董哥说，峰哥让我弄了
[09:44.260] 这车是干嘛的，这车是挂咱们公司的一名，然后是客户自己的车来做保养，
[09:50.970] 找着徐总说首保就给他免费了，这个是客户，对，但是我看那行驶本上面是北京的执行咱们店的名，这可能是用了咱们的指标，
[10:02.150] 什么代步车谁都知道。
[10:05.140] 也就是说这张瑶让我问问说这车是谁，弄到时候你不用拍，我拍一个
[10:12.470] 施工
[10:13.680] 照片我发给张霞了都谁知行了，然后给2500。
[10:18.830] 对旅游。
[10:20.290] 你还要什么手续对那
[10:22.900] 客户人的
[10:25.190] 电话营销还等你，那上班有客户信息我都给他发过去，对，徐总知道徐总跟孙莹说的，
[10:31.390] 我觉得合适那不行，你再跟张扬说，我跟他说了我给他发微信了，
[10:36.950] 所以他才会让你办这事了，让我问问我都问你有什么让他找我去玩，
[10:42.250] 给多少我就收你一张口就OK了，他签字了。
[10:45.790] 看到。
[10:48.730] 对，那就是说这儿
[10:50.960] 这礼拜但是召回百
[10:53.520] 钱钱什么来着？减震给换了，召回人家可能有安全隐患，然后你稍微那险15天之后才能来show，对。
[11:02.220] 等等15天你知道吧？
[11:04.490] 是吧？我觉得挺合适的，但是要是超1500返2500，那不是
[11:09.970] 还给钱吗？这是第一个能挣1000，第二回正2500，
[11:13.450] 一年赔两次。
[11:15.080] 第一回人家说了我这不是讲完了吗？咱右侧是一场，那块没法很快以前弄的，
[11:21.150] 是吧还记得吧？
[11:22.620] 我来两次的话，一回反正1500，
[11:25.590] 一咱俩每次都是2500，只不过你不是交了1500第一个和尚，然后我香港还得来两趟，
[11:32.490] 第一次是一个，第二次再来一趟，又跟那
[11:36.470] 又唤起了又反我2000得一年内能
[11:42.000] 谁知
[11:43.670] 然后
[11:45.260] 弄了明天再上保险的时候会不会加钱？肯定会上浮，但是你上火他不能上我5000块钱，你丢两块钱。
[11:53.130] 差不多，
[11:55.350] 你只要出保险，他们应该都会上调到1500，这是住家家教什么钱？
[12:00.020] 我们管它叫外部车险代步车显示，
[12:03.310] 其实就是给你钱去打车捡出来，
[12:05.990] 或者是你把这钱当明年保费上调也行，
[12:11.960] 肯定合适。
[12:13.060] 返现金是吧？选项您直接打你卡里银行卡里。
[12:16.730] 直接打到银行，我知道。
[12:21.950] 好了。
[12:24.350] 在上班拿行驶本和身份证。
[12:29.020] 我的身份证我行了，到时打你卡里没办法打卡里。
[12:35.840] 行驶本待会你就拿走。
[12:37.660] 行，然后车里有什么贵重东西吗？我这先把什么给你填了？
[12:43.450] 看一下您看看。
[12:45.440] 大概那包要不拿走，你没动，你看看有什么值钱的你可能收一下。
[12:52.730] 没什么值钱。
[12:54.750] 驾驶本搁你没事吧？没事，我们不用你要用你拿走你
[12:58.470] 用。
[12:59.400] 大概是下周几你们
[13:04.230] 礼拜一限行。
[13:05.400] 礼拜二。
[13:07.020] 礼拜二的话你这么着，待会我给你留一电话，
[13:10.750] 你来之前你给我打个电话，我再给你洗车去，因为你要放在他估计又脏了到时候。
[13:20.540] 这不靠谱。
[13:23.850] 这个问题全会不是
[13:25.880] 一说给点优惠都感觉是有什么更大的漏隐患在里边，他们还我2000块钱，
[13:33.800] 他这个钱是该烦你烦你没有问题，你唯一考虑的顾虑就是像你刚才说的，明年上保险，明年上保险可能会涨点钱，这是你的目标是多少？
[13:43.560] 这个根据你出险的金额，还有你两张出钱里面大多数人1块7 3000来块钱，
[13:51.600] 二期3000
[13:53.040] 3000多，然后你主要是你
[13:55.220] 去年之前都出过险没出过钱。
[13:59.130] 一直没出过钱是吧？待会这么着。
[14:02.670] 上保险这边让他大概给你算了算，但是5毛钱我要是修这两块地花多少钱？
[14:07.730] 如果你要修2块7，大概在6000 7000块钱。
[14:12.380] 6000块钱上保险涨多少？上保险它是按比例涨，你今年上保险花多少钱？商业险？
[14:19.570] 几千块钱。
[14:20.640] 刚上班没事，但是保险那都能查着。
[14:26.120] 你放心他再怎么涨，它不能给你涨5000呢。
[14:30.180] 长个
[14:31.490] 估计涨个一两千了不定。
[14:35.880] 但是他也得看你。
[14:39.620] 这件事我上午刚上完，他跟我推过这个，我就没当回事，因为
[14:46.550] 因为是什么？你只要是考虑这一年你确实要修，
[14:50.960] 你没这个钱你不
[14:52.830] 该长也得长是吧？他有了这个不就额外减少你的损失吗？
[15:00.730] 这个没有。
[15:02.960] 只有这个月你下个月来或者是再晚点估计未准都有了，因为
[15:09.650] 前两天保险合算，然后让他对我算一下，如果要修这两张之后，明年打多少，
[15:18.210] 看看有没有。
[15:23.510] 因为刚出的时候，电力员工包括领导就是有奔驰了，全都买了个遍，
[15:30.080] 保险那边
[15:31.860] 每天
[15:33.040] 因为
[15:34.200] 我们这院里边好几家店的，每天他那出单大概得到200左右，有时候
[15:40.130] 得200多赶上周末。
[15:42.230] 所以保险公司感觉赔的太多了，估计可能很快就要叫停。
[15:49.450] 因为它一年你即便说咱现在不着急修，是不是？万一真赶上哪天，
[15:56.100] 有别人不是没长眼的时候把咱给蹭了，那不是更合适吗？让他走他保险给你启动两次，
[16:02.130] 他最多只能赔你两次，
[16:05.390] 还有一个估计你也遇不上，
[16:09.020] 如果定损金额达到10万了，
[16:11.860] 就一次性赔你1万块钱，
[16:13.650] 那就是相当于出事故。
[16:27.930] 我这边一个减震召回，一个是发动机动力软件升级，
[16:39.700] 然后您说换挡顿挫感，我让技师给您试试车，他要觉得没什么大问题，你就先用着。
[16:47.810] 然后她说时候
[16:50.950] 您后来我一哥们懂车自己开修车厂，
[16:55.170] 开车告诉了，
[16:57.530] 让你升级了。
[16:58.920] 以往常维修的经验，不是说
[17:05.290] 跟手机软件是的，只要更新到最新版本就怎么好，其实不是那么回事儿。
[17:11.710] 奔驰车是只要没有问题就坚决不能升级，升完级反而到不好，因为
[17:17.650] 变速箱他的电脑汇主要记录你驾驶习惯，
[17:21.300] 你要是老是你开可能还会稳定一点，你要谁都开。
[17:25.530] 他可能就会像你说出现这种情况，说有时候顿什么的，
[17:30.660] 一直开就这毛病，后来
[17:33.910] 我以为是正常的。
[17:36.160] 你要是特别明显，这都能感觉到肯定是需要调试或者是升级之类的。
[17:42.070] 我怀疑我这不是20人P的，所以我给他们1.4T
[17:46.680] 还不会
[17:48.240] 那种也不怎么样，还非得调整运动。
[17:52.040] 因为默认是C吗？
[17:53.740] 对C是苏轼模式，
[17:57.930] 一是节油模式，S是运动模式，节油就更别提了，开始跟夏利似的。
[18:04.440] 要市区才走走停停的。
[18:06.770] 不行就是升档顿挫是吧？
[18:10.840] 检查行驶中生长有顿挫感，这个是免费的，哪个检测不收费。
[18:17.920] 对，检测这样就帮您安排免费检测就完了。
[18:22.250] 因为正常来说是需要收费
[18:30.680] 的。
[18:35.630] 坏数据。
[18:38.160] 你好。
[18:47.970] 是换电瓶取车是吧？
[18:50.740] 您您好。
[19:07.510] 再说。
[19:09.040] 没问题，我那天跟您说的行车记录仪您先别用了，因为现在给您断开了，你也用不了。
[19:17.020] 然后您使用一段时间看看，如果没有问题，然后您行车记录仪是建议您call，到时候考虑一下是不是要重新装一个或者换一个。
[19:27.250] 这是一方面，您说
[19:32.630] 我说主要是这个问题，行车记录仪，然后别的暂时没有问题，如果要是您开一段时间还出现这种
[19:40.010] 不好着车的现象来，就是这么一个结论，
[19:43.760] 应该理论上开始出现，
[19:45.950] 拿着你就尽量这两天多开，你别长时间行了，四五天我一星期不开。
[19:53.300] 每天对能开多开个背车不怕开，就怕您放了。
[20:03.990] 对有问题。
[20:07.090] 有问题一下，再有问题再找我们。
[20:10.210] 还有
[20:27.640] 自动挂到N档是在低速的时候，
[20:31.190] 首先是跟电瓶电量有关系，然后还有有可能是您行车记录仪，他当时耗电量比较大，
[20:40.640] 会导致这种情况。
[20:43.490] 冬天在这个方案，谁知
[20:47.180] 这个都帮你检查了，之前前两天也有两个车跟您反映的故障现象差不多，低速的时候直接
[20:54.810] 就停了。
[20:56.110] 然后上面显示什么变速箱故障，其实是电瓶的问题，是电瓶没电，
[21:02.230] 电量低。
[21:06.040] 对，然后还得跟您说一下，因为这次不是走保修换的电瓶，但是
[21:12.160] 从这次换完电瓶的保修期是按照您上次自费换电瓶的保修期的一年时间为准，也就是说电瓶目前的保修应该
[21:22.560] 可能只有几个月，跟您上次换电瓶我不知道大概是什么时间换的，你那个时间一年为准。
[21:28.770] 9月好吧？然后您需要送车，
[21:35.560] 送车的话给您留个地址。
[21:41.250] 是什么时间给他签完了？
[21:45.770] 不用。
[21:47.890] 对。
[21:58.400] 稍等我先记下您电话。
[22:00.600] 1581042
[22:03.170] 26143，您这样您10分钟之后给您打过去行吗？因为我现在没交那气氛。
[22:12.320] 行，我10分钟10分钟以后我给您打个电话行吧？
[22:16.650] 没事好再见。
[22:30.570] 五
[22:35.430] 取消
[22:39.890] 坏数据
[22:46.270] 要
[22:52.040] 的话举手了，提前联系。
[23:00.970] 然后如果有问题我再联系一下，没什么问题我就等你电话取车了好吧？
[23:06.470] 保险在我带你过去，在后边一个基础保养后就拿着你的行驶本就行了，车里没有拿东西了。
[23:15.020] 好勒。
[23:21.320] 了
[23:24.450] 年
[23:27.800] 应该
[23:30.760] 你只要以前出过险，
[23:33.720] 你保费不会说你要说连续五六年没出险，你要是冷不丁出一次钱，可能保费上调会比较多。
[23:40.120] 但是你要说
[23:41.730] 以前有一些什么做成点罚款钱，我全上全险全上，我觉得没用，他要看了一下客家的
[23:49.550] 什么玻璃也都涨了，
[23:51.450] 忘了玻璃，我觉得你还是得考虑上一个号没多少钱，几百块钱这样上来，我不知道让他查一下。
[23:59.940] 因为玻璃你到时候
[24:03.360] 真是说
[24:04.690] 石子跑高速嘣了，你要换你没法换，你这玻璃不便宜了。
[24:10.560] 明白。
[24:13.630] 所有都不便宜。
[24:16.190] 你说了。
[24:26.000] 到时您电话是138那尾号1145是吧？
[24:36.260] 反正你要考虑一年之内要修车上的那些商行，我这就想修了，你要想休你就
[24:42.160] 甭管他怎么着玩，你上去绝对没毛病。
[24:45.310] 是。
[24:46.160] 我刚才是最高的，我真的不没有最低就是2500就这一个标准。
[24:51.600] 他不会给你分什么2000，没有履行。
[24:55.250] 就是两次一次2500。
[25:02.500] 龙哥。
[25:03.500] 来您坐这儿了。
[25:05.890] 帮客户查一下，保险应该在咱这上网。
[25:10.060] 上，对客户想也想问问他车上现在是有两块划痕要修，
[25:17.010] 分别在两侧，想问问要是修一次，咱一次不是只能修一边，对修一边，大概明年保费会涨得多少钱，应该不会太多。
[25:28.520] 资源没出现说是有一点拿出来。
[25:32.480] 我这刚上来的
[25:34.000] 都去了我这边。
[25:36.330] 不留没出现了。
[25:39.470] 可能有一年一年以上了。
[25:45.400] 之前我记得您的行驶本给我什么的？
