[00:01.870] 不少
[00:17.550] 总是领导审批一下。
[00:20.740] 老师看见。
[00:23.930] 弄
[00:25.970] 的。
[00:34.300] 都是气囊
[00:37.080] 了。
[00:39.660] 爸爸了
[00:42.900] 场
[00:45.010] 场、
[00:47.150] 场
[00:48.550] 场
[00:50.150] 场
[00:52.450] 场
[00:53.560] 场
[00:55.710] 场
[00:58.890] 场
[01:16.110] 花
[01:17.090] 花
[01:19.410] 场
[01:23.020] 数据
[01:24.920] 场
[01:25.800] 数据
[01:30.870] 的
[01:32.530] 的
[01:42.190] 的
[01:43.360] 的
[02:13.290] 本来
[02:15.760] 我想买个代步车的，
[02:17.970] 买点
[02:19.580] 了。
[02:21.840] 用
[02:24.400] 数据
[02:25.830] 二
[02:28.640] 的
[02:34.710] 三
[02:35.480] 的。
[03:05.560] 你好，
[03:08.760] 电话喂
[03:17.320] 你好，
[03:19.190] 坐下，再什么业务？
[03:22.400] 想保养行行，待会是保险到期的吗？这里马上到期了，行，您看一下。
[03:29.110] 车牌号是多少？阿Q京Q06L。
[03:32.970] 京Q 06，LBS 6。
[03:37.490] 在外地他。
[03:40.790] 过了有2000了。
[03:46.030] 了。草莓。
[04:05.880] 先生怎么称呼您先生？
[04:07.740] 王健先生您好。
[04:10.120] 号
[04:26.350] 三
[04:29.430] 中午没吃饭了，这周有中午餐，等一下我给你把手机给你办好了，在这吃个中午饭就行了。
[05:04.400] 上次保养咱们是在。
[05:07.360] 去年的8月份做。
[05:08.720] 的保养。
[05:09.990] 去年8月份应该
[05:14.160] 过年不对。
[05:15.420] 5万多公里。
[05:17.580] 2月份做的保养应该。
[05:18.920] 3月份2月份现在多少公里6万了。
[05:21.370] 加6万6万多。
[05:22.790] 65,000了。
[05:24.050] 上次是54,000等于是。
[05:26.310] 5万4座的保养还是6万元。
[05:28.250] 6~64,0006万多公里2
[05:32.160] 多6万多公里，您这车等于是
[05:35.880] 今天用车因为6万公里保养是比较有变速箱油，所以它时间会比较长，有可能
[05:43.230] 完工的话快的话也得到明天了。
[05:46.080] 是吗？对。
[05:47.400] 只有咱们所有的分汽车都一样，不管是零款车就是6万12万18。
[05:52.590] IR就是这三三个保养，
[05:54.870] 它都是有变速箱油，算是一个大保养，所以他时间是比较长的。
[05:59.550] 你给我看看那个单子，我看什么行没问题，您稍等我先看一下。
[06:04.970] 你啥车？
[06:06.030] 等一下我先接一下单子。
[06:11.830] 的
[07:04.280] 而且咱这车买车的时候是不是还送我保养？
[07:08.990] 你看一下你的车是不是应该还有两次？
[07:12.020] 还可以用两次免费保养。
[07:13.830] 我给你查一下稍等。
[07:18.430] 的
[07:22.200] 谁知
[07:24.120] 是
[07:28.690] 上次是A保养，
[07:30.390] 上次也是赠送的一个A保养应该是
[07:32.620] 马脖子上次。
[07:34.690] 是我上保险不送，反正上次。
[07:37.310] 你上次也是没基础A保养吗？5万多公里也没有花钱，这次
[07:42.470] 我再给你好像确认一下，别观测。
[07:45.330] 这次是B保养，B保养的话，咱这个车里边你对一下车牌号不错了。
[07:51.090] 那就是刹车片，我觉得没。
[07:53.740] 没事飞机。
[07:59.160] 这哥们开始
[08:02.070] cd。
[08:21.140] 登录
[08:23.160] 京Q06DL6对吧？是这台机A。
[08:27.820] 没事儿对我给您您再对一下，您还可以用。
[08:32.860] 21415697325，
[08:36.980] 1569471569431213112131 93册。
[08:51.260] 二
[08:52.520] 的。
[08:57.350] 坏数据。
[09:00.990] 数据。
[09:04.350] 远远
[09:06.080] 数据
[09:08.000] 场
[09:11.870] 远远
[09:14.480] 的。
[09:16.920] 场
[09:20.910] 场
[09:32.440] 数据
[09:34.610] 坏。
[09:41.160] 远、
[09:49.560] 的
[10:05.540] 等一下我看看刹车片，
[10:07.340] 拍照片啥的，这是常规到期的，4662有什么变速箱油还有基态，
[10:13.730] 主要就变成一个鸡蛋和索道的常规的几个小的这几个项目就是6万公里，到期了之后，这里边4662，
[10:20.220] 还没有包含一个机油机滤、空气滤和空调滤九华山。
[10:24.230] 然后。
[10:25.870] 到期的就6万公里了，到期的要做的，其中这里边还有两个项目没有一家，因为什么？因为这车还有一个变速，还有防冻液农业和P站，两两像这两个相也是属于大，
[10:37.710] 但这两个项目可以适当地延迟，比如你现在6万公里到8万公里就是8万公里左右把它换了6万开始起到8万。
[10:45.330] 把它换了就可以了，因为那两个东西都是必须要花的，对，因为这说白了咱们跟机油滤一样一个道理。
[10:52.730] 到一定的时间到一定里程数来。
[10:55.940] 非常重要的有你比如说像变速箱油这个东西规定的就是600公里一换换不行吗？
[11:01.400] 虽然咱说实话有人说的，咱个人好比说我变速箱油罐行不行，就等于类似于咱们说机油一样，
[11:09.880] 你要是有饭馆吃饭打我打印一下打了打一会我看看
[11:14.510] 工业进来，
[11:19.920] 刚才这里边还有保养费用，
[11:24.820] 机油三滤火花塞，
[11:28.230] 那个不用再付费了，直接给你用，还在以前的地方吗？用完之后你下次保养还有一次机油几率可以用可以。
[11:38.670] 这没有什么打折。
[11:40.530] 直接打折的。
[11:41.880] 到一号直接打折之后的价格。
[11:44.350] 366万公里，这个车如果说所有的东西都加起来，包括刚才我跟你说的两项也加上
[11:51.470] 两个大项，这两个都不便宜，两个就得
[11:54.200] 你那车得
[11:56.230] 到期了得。
[11:57.560] 1万多。
[11:58.470] 还加上您的。
[12:00.770] 谁知划算，不用再付费。
[12:04.140] 说
[12:11.260] 您劝一下。
[12:42.830] 简单给你说一下。
[12:44.380] 那几个项目这样这几个项目当时也可以。
[12:48.710] 做选择，但是比较重要的都给你列出来了，现在咱公里数54,755是上次保养的是57,000多，
[12:57.150] 这次应该是刚才您说的600多公里对吧？另外对，然后咱这车的
[13:03.030] 是17年的车，应该17年到现在18 19 2020年。
[13:07.540] 三年多。
[13:08.540] 三年多的车正好也是三年超一点点，那车
[13:10.960] 三年达6万公里，最重要的一个是变速箱油，这个标签油它的周期是4年或
[13:17.850] 6万公里，
[13:19.800] 先到为准，但是公里数是最重要的，对吧？有的车他可能用的比较少，
[13:25.680] 好4年了他跑到1万公里他也得看电流，最重要的是6一年6万块，一年每年都换几千公里，但这是极端情况下了，
[13:33.360] 这个是变速箱油应该是你看下边有多少钱，2000。
[13:36.960] 对，然后索道抚养相当于来说比较简单了。
[13:44.090] 而且价格也便宜，应该400多块钱438，实际上建议每两年就不要再长了，一两年。
[13:50.000] 都要把它做一个车上，不管在哪停，
[13:52.670] 他有个排水口，这两天尤其这两天见的最多了，他接到俩我都这样了，脚底下一颗紫水晶
[13:58.470] 堵塞了，然后把水顺着A柱全流到车里边去了，这时候就得差D踩什么？晾干了。
[14:04.100] 所以你每两年跟比重数关系不大，只要每两年就把它轻轻也不贵，400多块钱，每两年清楚避免以后，
[14:11.140] 这车真是进了水了，那麻烦了。
[14:13.620] 这是变速箱油，这是另外还有一个最重要的节是啥？咱一个鸡蛋
[14:18.640] 积炭里边是什么？3万公里建议也跟咱用车情况有关系，建议3万公里，
[14:25.380] 一次，
[14:26.800] 这都是一样，这是一个都包含什么咱们节气门、喷油嘴、进气道，然后还有三元催化器，
[14:33.200] 这就是咱们平常所说的鸡蛋，每3万清真寺美商业性是有的说到2万，有的说4万不一定。
[14:39.340] 赚多少钱？这是1000。
[14:41.400] 1600千6620。
[14:44.280] 600
[14:45.950] 3元48
[14:50.770] 在这我给你全列出来了，这个是总数
[14:55.090] 的。
[14:55.730] 一共大概是1620，对三年八百八三元三元催化器，这就是一个近期的盘棋的。
[15:01.700] 你从这算价格都在这，
[15:03.930] 变速箱油2124，
[15:05.470] 索道4.38，
[15:07.120] 300,380。
[15:08.590] 系统1600块，这就是咱们常规的这几个项目。
[15:11.770] 一共是4662。
[15:13.450] 除此之外还有。
[15:14.220] 么机油机滤你空气滤芯。
[15:18.190] 空调滤芯、火花塞，
[15:21.680] 这一套这里边是不用您再付费，
[15:25.960] 然后这所有的一块夹起来。
[15:28.850] 该做这么一些项目，这些项目情况，
[15:31.580] 付费的6。
[15:32.470] 万公里大保养，到期4662，刚才给您说的还有一个皮带，
[15:36.510] 替代这是一套，包含皮带，还有洛伦杰罗这一套，因为时间久了之后，他段就挂了你的发电机转向助力泵，空调压缩机等等这些东西，
[15:46.730] 这一套建议是6万公里一更换，
[15:49.740] 一般晚的话就是8万左右，不要超8万，或者有的超8万，反正不行也不大，因为这个东西周弹性周期比较大，
[15:56.470] 所以这套没列出来，这一套要贵，一套换下来大概是4000左右差不多。
[16:01.440] 还有防冻液，就是咱们所说的冷却液，准备下一班也是建议6。
[16:05.320] 公里一更换，但是这个周期也是比较大。
[16:07.610] 在您到时候放几个月的时候，大概应该是在2500左右，画完只需要换一次。
[16:12.640] 咱们现在车里边是水性的，黑夜再换成油性可以叫终生免维护，也就是说你
[16:18.450] 防冻液是只需要换一次就可以了，以后就不需要再更快乐，没另外一换，但是这个里面变酸由每6万一块另外一块换了之后。
[16:27.190] 另外一块就这个意思。
[16:28.690] 对差这两个项目加，然后价格这块。
[16:33.310] 你说弄了今天那车开不了了，今天肯定开不了，因为咱说。
[16:40.210] 变速箱油、
[16:41.560] 就这一点怎么坏，不是说把油出来加进去他要把。
[16:45.110] 一咳全。
[16:46.060] 约掉婉玉鑫那里面有滤芯的。
[16:47.970] 为什么要坏他？因为时间久了之后它会堵塞跟机油一样，它堵塞了之后你的变速箱可能爬起就废了，所以一定要
[16:54.540] 重中之重，定期更换变速箱油，应急工Y跟肌肉一样同等重要的一个东西，
[17:00.430] 大概就这么一个情况。
[17:02.210] 数据
[17:03.470] 的
[17:07.840] 的。
[17:10.440] 因为变速箱油换完之后，冷车热车都是要做调笑的，还是需要
[17:14.320] 所以它周期时间比较长。
[17:21.100] 三
[17:24.840] 到
[17:29.520] 这一看人家上面比较乱，它就散向全给列出来，但这个。
[17:33.560] 一下就合到一块了，这看这个就比较简单，1234。
[17:37.150] 对。
[17:37.740] 这样实际上是对思想这个事情对。
[17:41.960] 打出来的那4项都是这4项，就是说什么意思？
[17:45.270] 您看这不是一个2124这个钱是怎么来的？你点开这实际上你。
[17:50.470] 你看这么多东西对吧？
[17:52.060] 就说你2000 2000多块钱包含了工时费，包开材料费，这个材料里面又包含什么？
[17:57.950] 密封圈，有的店滤芯兜兜里边这上面就都写了，但是比较乱，这边看的比较清楚了，上面
[18:06.490] 这说了2124。
[18:20.510] 行没问题。
[18:22.680] 先生你这样，你稍等，你跟下一班去先看一下刹车之类的。
[18:28.330] 对。
[18:29.890] 你别去这个拿
[18:32.920] 我今天。
[18:35.320] 号。
[18:36.720] 数据。
[18:40.160] 场
[18:43.540] 院长
[20:17.400] 的
[20:36.290] 五。
[20:37.200] 五
[20:40.060] 北京
[20:41.750] 咱们在一个咱们台北的。
[20:45.570] 咱们的。
[20:48.110] 产品，
[20:50.580] 按照每个家庭的
[20:53.860] 的
[20:56.240] 他
[20:57.810] 这些东西一般都是
[21:00.280] 包括
[21:05.580] 的
[21:08.260] 要没有的？
[21:09.840] 不用喜欢的问题。
[21:12.510] 坏了我要卖掉了。
[21:22.340] 那都是专门的不同意。
[21:24.860] 不用要了。
[21:31.170] 三
[21:49.710] 单价
[21:51.320] 6
[21:58.820] 哥T87，车牌号？
[22:00.780] 哥T87。
[22:03.740] 这些
[22:06.530] 你直接来对这个是特别的说白了，
[22:12.970] 咱就这么说，没算5000块钱减去这1500您还3500，然后你要走保险，第二年肯定会上浮，保险肯定会上浮对不对？
[22:21.180] 然后3500上个月时间，后来了您把这几百钱跑去你还能剩点，
[22:25.770] 相当于什么您一分钱没花，然后把车修了，你还能
[22:30.170] 必须要这就一年之内走两次险。
[22:33.740] 对，您可以你要走一次也行，你要走一次就只不会2500。
[22:38.440] 车上有装刷有装饰对。
[22:43.140] 有时候你要是想。
[22:44.920] O的话就划算。
[22:46.860] 反正基本上就是版纳钱包。
[22:48.580] 对。
[22:50.560] 我看
[22:51.800] 你今天可能今天去不了，今天可能
[23:00.020] 号。
[23:11.240] 场。
[23:52.710] 刹车没事。
[23:53.920] 刹车还好，
[23:56.640] 谁知上车
[23:58.950] 一半了，
[24:06.280] 没事，然后后来一样。
[24:14.020] 数据。
[24:19.190] 快递。
[24:23.550] 和
[24:32.420] 出现城市当中有一。
[24:35.190] 车在外边打电话，
[24:38.390] 表面淡定，
