[00:01.160] 王先生是纳兰的型号。
[00:03.400] 第一点
[00:05.560] 点。
[00:06.570] 为娇俏借我到现在赵孝忙回去不配。
[00:09.790] 你这准备自己。
[00:13.170] 你要卖。
[00:14.770] 李阳让出去吃谁就上谁。
[00:17.520] 明白是谁让人持续，
[00:20.260] 然后分配我们组织咱出事的是吧？买这是吗？我来吧。
[00:26.730] 你好王先生吗？你好，百得利奔驰销售部经理，好勒，谢谢。
[00:31.640] 您是之前来过是吗？我之前来过是当
[00:35.020] 介绍接待的，对没事的，这是上回是什么时候来的？上回？
[00:40.550] 大上周一两一两周以前是吧？
[00:43.600] 行，您看鸣泛舟。
[00:44.950] 这边我接待你们C200主要是这样。
[00:48.430] 两小时假是吧？你现在车只有290是吧？对200没有，对是这样的话，26也是260，对。
[00:57.030] 260和200大小差不多一样吗？一样。
[01:00.190] 只不过那是和。
[01:01.510] 发动机是没有差异是吧？对。
[01:04.920] 帮我安排一下。
[01:06.240] 行，您这边是上哪个牌照的？北京的置换。
[01:09.990] 北京的置换是吧？
[01:11.620] 行，然后用车时间打的大概在什么时候？
[01:16.370] 年底之前。
[01:17.560] 年底之前不着急，这回挂就像暑假一下是吗？
[01:21.960] 行，您稍等一下好。
[01:25.490] 把本给我。
[01:38.680] 都开始。
[01:41.640] 您上水收购喝水，我这边给您登记一下，行行。
[01:57.840] 没办法。
[02:01.830] 一样多。
[02:03.270] 所以今天咱是把车给您定下来，然后没问题的话，然后咱们约时间，正常的话就是说全场的话我们就留三天，
[02:12.350] 咱们
[02:13.700] 中医或者您帮着尽管先问问售后维修的。
[02:42.220] 胡佳、
[02:45.980] 三
[03:12.640] 的
[03:17.840] 我好像将消逝一辈的。
[03:19.960] 我看到了之后，
[03:24.670] 我听
[03:26.720] 多年
[03:28.410] 将孝是一辈的吗？
[03:30.830] 刚刚听了。
[03:48.840] 你是一辈的吗？
[03:50.100] 一
[03:55.240] 笑笑是不是一辈的吗？
[03:57.800] 那是娇小客户，刚才。
[04:00.970] 上面显示是交易。
[04:02.350] 对，见效不是一辈子他能接吗？
[04:04.310] 刚才其实后来的时候，他刚才
[04:07.680] 他刚才接着客户
[04:09.510] 他现在刚接完，然后现在变成一倍了，
[04:13.030] 这个go不想等？
[04:17.260] OK我说。
[04:20.530] OK，那给它快快过去。
[04:22.780] 对你给抓了。
[04:24.190] 刚才这男的不想等了，摘要刚刚点这样就接了几分钟就走了。
[04:29.910] 咱俩分钟5分钟去，今天是他那一次睡觉着急，
[04:36.350] 谁知。
[04:39.680] 是吧？这有一个女客户你接一下，
[04:48.720] 说再见。
[04:50.310] 你前两天刚接完是吧？
[04:53.240] 来吧，睡着了吗？
[04:55.070] 完了你发现咱俩同组的，我觉得不好意思，
[05:01.420] 他们之间也是二次还是怎么的了，谁知
[05:09.320] 阿德勒对你们俩一下就行了。
[05:12.850] 见面了，然后她说想是假，我这给他复印了一下，然后你拿这东西
[05:18.830] 等着就行。
[05:20.140] 对，而且他也确实说我说谁接待你说江青说记得
[05:27.280] 钱拿走了，I
[05:30.140] 要。
[05:33.130] 他说他有多少谁知。
[05:35.980] 五是不是他又说找按照了这客户过来，等于是这个分享，我给你试一下。
[05:43.870] 有点保险。
[05:45.320] 12年。
[05:46.910] 这样能
[05:50.560] 你给张相传过去了这些功能，
[05:52.930] 这么重视，
[05:56.360] 又对，反正开发的。
[05:59.190] 你就去当宠物。
[06:00.770] 上了。
[06:01.820] 对。
[06:02.840] 其实这个问题比如说
[06:05.430] 他不找我，我们
[06:07.440] 我可能就不了，你们直接对接。
[06:10.520] 号
[06:11.800] 高级了，
[06:13.480] 只要找我的谁我也不给他们不找我，什么事也不能。
[06:25.830] C260，
[06:29.750] 这是一个生效协议，我也没跟他说两句话。
[06:33.760] 谁知
[06:35.180] 那天一倍对吧？
[06:39.120] 20分钟的。
[06:40.460] 千八十8折不得7月5号现在在做饭。
[06:49.310] 的
[06:53.170] 他着急有点不适，
[06:57.180] 再下来没不准，他把鼻子过来睡觉了，你知道吧？
[07:02.530] 这没问题。
[07:03.810] 他那意思是反正他也知道他肯定知道不准。
[07:08.510] 来半天了我也不去哪了，找我吗？对我给你调好了。
[07:14.120] 我跟你说姓什么来着？
[07:16.360] 我想起了一个男的
[07:18.960] 小男孩。
[07:20.450] 小男孩。
