[00:00.240] 接待一次客户黄亚。
[00:29.920] 你好黄先生。
[00:31.380] 你好，我接待你销售过吴鹏第一次来吗？咱们这边有预约吗？这边没有，我是有朋友。
[00:37.730] 这么有朋友在买车的时候看车，跟我说最近奔驰
[00:41.820] 优惠挺大的，对不对？所以我本来是
[00:45.770] 我之前买车的时候，
[00:48.160] 看了看C
[00:50.240] 这有点贵。
[00:51.470] 对，然后
[00:53.220] 现在
[00:54.310] 还是大标的便宜是吗？
[00:56.430] 大票里边一样，优惠价格都是一样的，没区别的，现在
[01:02.400] 260也都是带莲品的对吧？停车这执纪标志都是这样。
[01:08.250] 我先跟您说一服务公约分值从去年开始执行，就这个号客户维护这里相待，成语接龙，头发兜底，
[01:15.930] 谁知对绝不捆绑销售，强制消费，绝不使用假借一次中行，
[01:22.470] 包括您做分期做，他也不收取任何经营服务费，底下都会有个电话，400818188接通电话，这机械化你没白过。
[01:29.810] 您说点什么可乐咖啡茶位都有咱们药盒。
[01:35.320] 就看E级车是吧？主要是看衣服。
[01:38.560] 现在
[01:39.550] 1.5的对吧？这是1260是1.5，T+48伏电机的一三百是2.07了。
[01:46.390] 您是考虑哪款吗？
[01:48.710] 我是考虑。
[01:50.720] 我是考虑
[01:52.600] 我可能花了多少钱，您预算考虑多少钱可以给您推荐。
[01:59.820] 不是出头，40出点头落地，
[02:03.490] 落地大人全部按分，
[02:07.040] 肯定没有分期是有额外的优惠吗？一样优惠价格。
[02:11.460] 果然什么都没有，肯定疼，只不过现在分期利率比较低，比较合适而已。
[02:17.920] 然后像脱的情况下，差不多是2.498是平面利率还是年化利率吗？
[02:24.530] 年化的率对银行的这种年化利率。
[02:27.850] 2.49每个月只还利息，不是年化率，
[02:32.220] 是只还利息，对每个月还个四五百块钱利息，然后本金是最后一个月一次性还清，这样
[02:38.230] 没有意义还是有意义的。
[02:41.970] 我们俩的行情下，您现在随便找个理财，现在都三个点起步，现在都是肯定要比合适。
[02:50.790] 然后大概是怎么都是一年是吧？
[02:54.320] 两年。
[02:55.460] 我交两年利息对。
[02:59.570] 然后首付是
[03:01.570] 首付50%，都是50%。
[03:04.970] 也就是说现在那个车直接换了，您什么算下来1S250，
[03:10.560] 怎么样那就拍的
[03:12.590] 肯定是很好，我只是听说他
[03:15.940] 所以他过来看，否则话我应该是暂时没有想法。
[03:21.360] 打算什么话你那边吗？
[03:23.940] 都没有打到，我确实。
[03:26.820] 不是那种刚需是吗？
[03:28.760] 对，因为我现在有车牌都被人家了。
[03:32.750] 你们的广告不是说
[03:34.680] 不管你现在还什么车贷，你最终都会变成奔驰车主。
[03:39.220] 是这样。
[03:42.150] 300的最低配现在能做能做到40左右，货到不了。
[03:47.870] 到不了，因为都万千四00左右到不了，怎么着也40四十五六万。
[03:53.080] 三
[03:54.930] 300，所以如果40左右的话就是2603对260。
[04:04.170] 一点
[04:05.420] 1.5T+48伏电机4缸，
[04:09.310] 要加油95奔驰，咱们全系都是加95号油的。
[04:14.500] 他可以选配座椅通风吗？
[04:18.450] 可以选，但是时间就没谱了。
[04:21.110] 比如说你选择做座椅通风，有可能是两个月三个月半年都可能，
[04:25.540] 这都说不好，因为咱们一般常卖车间车型里面很少有带选装的，
[04:31.200] 那就是260360你们都默认会把前排座椅加热选好了都没有。
[04:38.590] 你说我前面过家家，这也是要等的对吗？
[04:42.880] 有的时候他有时候极个别的车到店以后会有带那种前排座椅加热，
[04:49.250] 这个地方
[04:54.270] 300也不是标配对吧？刚买的标配像360度环影是不是？我说通风只有300的顶配是
[05:02.630] 太大了，499,800大标立标过去看看，
[05:07.460] 这个不行，你是说优惠完了49块钱了。
[05:10.020] 裸车指导价对都办齐了，也得48四十八九万这样子。
[05:16.700] 首付是，但是首付是按裸车价首付的，对不对？裸车价加购置税首付的。
[05:22.440] 你要说光都办齐那种首付是裸车的50%再加购置税，这家保险乱七八糟装饰什么之类都加上。
[05:31.500] 大概有多少钱？
[05:32.800] 3 25 26，您看您要哪款吗？
[05:37.600] 我说顶配的40减配的都问题了，怎么着也得是在20。
[05:45.460] 二十八九对二十八九万八，现在说卖掉还不够。
[05:51.820] 拿那车置换你知道吗？
[05:56.350] 我就一个指标就一标，现在比较费劲。
[06:00.840] 对。
[06:02.310] 北京也没有什么。
[06:05.010] 没有什么。
[06:06.530] 北京也没有差混的，你不能给交吗？没有看到我朋友在外地看，他们那边差很多给。
[06:15.430] 没指标
[06:16.830] 是吗？
[06:18.070] 没有什么地方。
[06:21.080] 没有北京没有。
[06:22.800] 有他去看看加B说嘉宾优惠6万多块。
[06:30.320] 如果才55万多，不可能6万多。
[06:34.070] 那就5万多，你那也是有5万多是吧？
[06:37.330] 他没问一我我就送了什么，我都知道哪看看是这个意思，他可能是前两天广州车展的时候去了，
[06:44.040] 不是在ES店上的，
[06:48.320] 260最低配现在260设计费，咱们现在车原价429,800的，现在能优惠76,000，完了以后是354,000354,800，
[07:01.120] 这个有点乱落地，大概是落地大街41万左右。
[07:06.010] 那就是他跟我说的40万题跟题意即是说的1260说一下，
[07:12.900] 260大彪跟李彪是一样的，有一样的没区别。
[07:16.950] 现在怎么突然变一样呢？
[07:18.840] 你说什么价格价格一直都一样，没有，我当时看车的时候，您什么时候看看三年前。
[07:24.970] 三年三年16年年底。
[07:27.610] 当时你们还没有一点这种奇怪的东西，对他一点武器是从前两年才买的。
[07:33.560] 当时奔驰C最便宜的，
[07:37.360] 那玩意没宽带，网络第八
[07:40.020] 35万公里是1.67的，行，对，那还没换代。
[07:44.340] 16年16年那会儿没换，但没放您这待。
[07:47.690] 对。
[07:50.900] 好，刚刚你们C级我们就卖这个钱了，落地就要
[07:55.150] 落地就要20T的落地就要将近
[07:59.200] 将近30平米了。
[08:00.880] 对，差不多。
[08:02.680] 当然商城这块干完了吗这事儿？
[08:06.220] 所以我加任何东西就是舒适型的配置都是要等的什么的，对，所以其实只有提现车
[08:14.630] 一样，提现车的情况下都有看您要什么颜色。
[08:19.410] 不是就体现情况，什么都没有，什么叫什么都有的。
[08:22.870] 都没有。
[08:25.280] 限车型咱们有标准配置，都是标准配置，对都是标准配置的，怎么跟奔驰不太一样，不是跟宝马奥迪看宝马基本上到店都是带座椅加热的，它是有的待选装有古代选装的，这都不一样，像奔驰一样一般很少带选装，
[08:41.010] 选装的东西比较少。
[08:50.410] 教育弄
[08:51.800] 轿车就是大标准，
[08:59.130] 这都不是我的，这都没有。
[09:02.630] 别的东西，咱这广告打的都是用三三包，
[09:08.520] 这就是飞机费用，对这就是CAD1.60。
[09:19.500] 10万的话，
[09:21.160] 要
[09:23.200] 贷款的话，
[09:26.250] 又没能坐下来列表，您可以看一下。
[09:29.520] 34号不是24应该就可以了。
[09:32.920] 很多的就是1260的差不多。
[09:36.680] 我卖了多少，后面还有
[09:41.800] 上
[09:45.340] 数据。
[09:52.520] 电话
[09:55.530] 场
[09:57.830] 数据
[10:11.030] 到了第九。
[10:13.560] 稍等。
[10:37.000] 您好。
[10:40.600] 怎么了市场？
[10:42.040] 这是调节副驾驶的，
[10:43.840] 用主驾驶座椅可以调节副驾驶的，
[10:46.280] 比如现在红灯亮了吗对吧？用可以调节副驾驶的座椅靠背，
[10:50.600] 后面都对。
[10:52.190] 这相当于司机。
[10:55.670] 一会儿我现在想有一个
[10:58.550] 大小这说明主要是进入对吧？对三没有。
[11:03.170] 这么基地也有对标配。
[11:13.400] 后来把
[11:15.820] 刚
[11:22.930] 然后让
[11:25.140] 你们保养
[11:27.080] 分AB保1万公里，保养奔驰保养都是1万公里或者一年，然后一次A保一次B网交替的做，
[11:34.880] 而1A版是1500万两千 3000
[11:38.280] 到不了。
[11:39.530] 爱宝节目大约是在1100左右，B宝差不多1500左右。
[11:43.710] 还行。
[11:56.490] 300
[12:01.220] 买顶派的立标。
[12:03.450] 对，有座椅加热座椅通风。
[12:06.940] 我这个年龄开个
[12:10.330] 这个司机
[12:14.320] 结果前排有
[12:15.760] 座椅通风，后排吗？OK。
[12:19.120] 数据
[12:20.350] 的
[12:22.030] 数据。
[13:20.840] 两
[14:56.170] 远
[14:57.120] 数量
[15:01.340] 的
[15:07.760] 场
[15:10.880] 的
[15:12.000] 一
[15:21.670] 三
[15:22.730] 的。
[15:24.630] 五
[15:26.070] 五
[15:29.190] 数据
[15:32.720] 坏
[15:34.600] 数据
[15:38.470] 花
[15:41.350] 远远
[15:49.820] 数据
[16:26.640] 的
[16:36.590] 谁知
[16:39.510] 谁知
[16:41.690] 对
[16:42.680] 车辆这方面给您做个介绍。
[16:45.370] 因为A楼也很快，
[16:46.910] 可以，但是
[16:48.870] 就比较有点关车的那种样子
[16:52.910] 来说。
[16:53.800] 你不用估计行，
[16:55.840] 我不会拿ps放16，
[16:58.470] 拿过来既然换一还是可以考虑
[17:03.030] 的。
[17:05.390] 他没感觉前后雷达都表态，这都属于标配，如果就看看前后雷达自动泊车64个环境，特地
[17:14.300] 赶紧烟花倒车影像，
[17:16.990] 主动自动辅助系统都有，
[17:20.040] 这些都非常关键。
[17:23.030] 他就是没有，我要跟座椅加热，对。
[17:27.110] 您看着关注着点就300有。
[17:32.750] 所以通风的情况下300高配
[17:38.690] PK要就即可，如果选中的话就是说等对吧？对然后作为中锋应该是只能只有300能还选不了，对我在网上看看。
[17:48.050] 对。
[17:51.150] 等就没意思了。
[17:54.570] 等就不是
[17:56.380] 了。
[17:57.250] 不能喝。
[17:59.100] 怎么很多种？
[18:01.020] 说不好看，厂家那边排场，一句话看财产，
[18:05.320] 不太好说，之前没有顾客提出目标，没有比如说
[18:10.850] 很少有人要不播，
[18:13.940] 远场工程价多少钱不知道，因为什么从来没选装过，所以还真不容易，主要你卖现车为主。
[18:22.970] 这确实是卖分的，一般看着标准OK，
[18:32.520] 如果数学这些东西的话，
[18:34.600] 不会跟
[18:35.910] 不像我们一样。
[18:42.320] 咱们那边有试乘试驾车，还是大型试驾1260这样子的。
[18:46.410] 260对。
[18:50.570] 这没办法。
[18:52.180] 你们买
[18:54.530] 这个东西
[19:04.290] 的
[19:07.330] 数据
[19:21.270] 数据
[19:22.640] 尽量别谁知，
[19:25.650] 还得要究竟。
[19:27.620] 试驾您不是吗？
[19:29.230] 没必要。
[19:30.690] 您看哪天想
[19:32.340] 随时过来，比如说明天想试驾了，随时过来，
[19:35.660] 别人约了上午10点之内都行。
[19:37.700] 报价单给您算一半报价单。
[19:41.700] 不然没必要算，也没必要看。
[19:44.990] 买你不跟我说了都41了，对41万左右，然后顶配的大就是什么东西都有，它落地是四十四八九40。
[19:54.480] 我
[19:57.810] 这样的身上
[20:01.490] 好行，谢谢没事。
[20:04.180] 您那还需要其他服务吗？
[20:08.310] 没，只要是进来去了。
[20:12.050] 好
[20:19.590] 明天再给您做一个回访，咱们一般电话短信都方便，好好时间上午方便，下午。
[20:25.320] 下午上午8点睡觉。
[20:30.050] 您说下既然陆毅在哪，假如页上你也都没有样车了，那个车卖完了，现在暂时没有样车，不好意思，我再问一下我们前面有叫什么拍卖车什么意思？
[20:41.660] 以前的媒体试驾车现在
[20:45.170] 拍过来我们再见，几乎是二手车市不是20多新科技，只有跑过一段工具书而已，这就说明就的水全是新的。
[20:53.110] 对，就按新车的标准来上的。
[20:55.310] 大概就是公里数着，比如这些车是几十公里的，
[20:58.800] 这些车都10多公里，那时候100多200多300多都有，就开过1万公里数，然后那个车他那辆车是吧？
[21:07.030] 对，因为我刚才看到一辆也是蓝色的，而前面放弃颜色，
[21:12.040] 红的E260，然后
[21:14.520] 上面写的33的。
[21:16.020] 在这里好了，对那就不一定清楚。
[21:19.700] 一般都会满意。
[21:21.400] 2万块钱。
[21:23.020] 对一下不一样。
[21:28.210] 最后颜色。
[21:39.560] 前面都一样
[21:41.080] 的。
[21:52.080] 出现，
[21:52.790] 谁知
[21:55.090] 不是倾向一点。
[21:56.500] 房东他好像是一三百，
[21:58.410] 但比正常的价格要便宜点，你想上得很多，对。
[22:03.880] 对，刚才落地也是49，差不多40出点头。
[22:08.640] 12:30 66,000。
[22:10.800] 10对，优惠10万块钱，现在这车大概优惠不到77万3万块钱。
[22:17.040] 多便宜三块钱。
[22:21.760] 挺不是的，也说
[22:24.120] 我们同时还买了一台
[22:26.660] 已经算新车手一看清楚，但他只能上去了，都是一样的，不是市场。
[22:32.520] 只能上经常你们店也不能卖地款，
[22:35.440] 能卖地就没有优惠，没有优惠，卖地上没有优惠，
[22:40.480] 谁不好10万块钱谁买。
[22:43.930] 行谢谢没事，您看看后期有需要您再过来或者
[22:50.610] 打电话都行。
[22:52.970] 慢了赶紧光临。
[23:02.580] 拿来了。
[23:13.550] 杨哥玩得怎么样？
[23:44.850] 另外一个
[23:48.320] 的记忆。
