[00:00.000] 60。
[00:03.670] 李先生您好，王先生久等销售过高频，这是我的名片，一会接下来由我接待您。
[00:09.210] 看着我。
[00:10.320] 你看过吗？看过。
[00:12.890] 2020是吗？
[00:15.440] 现在在卖的吗？您是看到208我看看。
[00:18.960] 就算2062
[00:20.460] 20哪个样板现在能卖21还了，对案一块。
[00:23.720] 说错了看到二你看那里的对。
[00:26.270] 对，现在彩电还没有变更，还是26款的就是20的，
[00:32.570] 加上直接卖车已经泡一泡。
[00:34.010] 这不是二的。
[00:35.400] 21快
[00:36.600] OK没电了，
[00:40.020] 配置没有变化，然后也可能稍微有点变化，
[00:44.920] 也推荐了一个，但是收获了。
[00:47.830] 那个是放在一块，经常也看不出来，那就你
[00:51.830] 价格还觉得没有理由，行，没问题好吧，换车还是有号在这边。
[00:57.490] 关节置换是吧？
[00:59.530] 行。
[01:01.380] 哪个配置？
[01:06.160] 权益的中华
[01:07.520] 就是说开过来
[01:11.930] 这5天这边
[01:13.520] 内向。
[01:17.100] 08年。
[01:18.170] 08年。
[01:19.860] 评估过吗？
[01:21.310] 数据。
[01:30.440] 数据、
[01:38.220] 了
[01:40.890] 的。
[01:45.650] 数据
[01:46.490] 数据
[01:48.550] 话，
[01:51.370] 计划肯定
[01:53.360] 没有时间，
[01:55.330] 对不对？
[01:56.650] 原来
[01:58.690] 哪个父母不一样？
[02:00.620] 他有人
[02:03.130] 再跟您这么说完，我肯定是置换，
[02:07.690] 但是我要在未来在外面这块对不对？
[02:13.190] 咱们找个好号。
[02:16.470] 还有
[02:18.370] 它里边您先稍等一下。
[02:32.950] 这边
[02:33.720] 还有
[02:35.760] 要
[02:36.460] 你想要。
[02:41.040] 那边有差一点点，没有地方吗？没有。
[02:50.070] 了。
[02:56.550] 明天做，然后
[03:23.010] 这边着急我没事换了。
[03:25.480] 差不多。
[03:27.770] 他说是7月31的，反正我就直接要过来了，确定没问题，跟客户说好了，就说您周一受
[03:37.220] 下个月就行。
[03:43.600] 别让
[03:44.450] 我先做里边现在
[04:05.170] 您是看到哪个致意豪华是吧？
[04:08.530] 哪个版我搞不懂，你问他行。
[04:12.650] 丢了。
[04:40.290] 的。
[04:59.600] 您是看的哪个配置T55。
[05:04.550] 数据。
[05:08.050] 颜色，你看到什么颜色？
[05:13.190] 棕色。
[05:14.220] 封装。
[05:17.950] 他们有的说T4就可以，然后再加配置方便吗那样。
[05:22.290] 其次跟T我其实办完差不多的。
[05:25.470] 黑色的基本上没有出现。
[05:28.670] 忧虑，有没有听我的大号。
[05:34.000] 的
[05:36.030] 的。
[05:41.880] 考虑分期还是全款？
[05:44.120] 全款不考虑分析不作生气。
[05:47.420] 不合适免息的。
[05:49.500] 抽20%两年免气，你这是每个学校对你说了算吗？有。
[05:57.250] 能贷多少？贷80%。
[05:59.600] 直接80。
[06:02.630] 大概80%。
[06:04.630] 付20%，反正您10多万就开走了，这车在济南。
[06:08.570] 待两年。
[06:11.680] 几个点的利率？
[06:13.760] 44个点手续费贷款额的4个点。
[06:18.060] 二说什么4个人。
[06:21.270] 贷款额比方你贷10万就是4000，
[06:23.920] 一年四季。
[06:25.040] 两年两年。
[06:27.960] 您算一下看觉得合不合适。
[06:30.560] 之前没有太详细了解过是吧？
[06:33.060] 新车兰什么时候用？想。
[06:36.940] 合适就换了。
[06:39.680] 这店里边也做活动，
[06:42.550] 可是电视。
[06:43.890] 有销售给你打的电话吗？还是自己过来的？
[06:47.240] 电话
[06:48.860] 谁？
[06:49.810] 我不知道用什么。
[06:51.310] 得我知道。
[06:53.380] 杜潇或者。
[06:54.520] 讨厌。
[06:56.960] 时间不了。
[06:59.280] 什么时候给你打？
[07:02.120] 话。
[07:03.810] 都做
[07:06.740] 二
[07:08.590] 因为这个东西我们得那啥。
[07:11.580] 人家的
[07:15.760] 6月
[07:17.930] 挺清楚的。
[07:23.580] 的。
[07:26.760] 的。
[07:28.400] 是我们店的给您打。
[07:30.410] 不管是哪个打了好多场，您是不是在网上去网上看过是吧？对。
[07:38.910] 有缘6
[07:44.710] 您稍等我两分钟我就看到了。
[07:46.980] 的。
[07:48.250] 你说。
[07:51.670] 重点。
[08:00.790] 一下打个电话。
[08:02.030] 看谁？
[08:06.810] 吗？6024。
[08:09.180] 周二打的。
[08:12.010] 有吗？
[08:13.990] 妈的，我得看看是不是你们约完了不要了，不敢报价，但是客户要买车，
[08:19.480] 肯定要买车的。
[08:22.710] 纯划拨上面。
[08:24.180] 1381。
[08:27.150] 1866024。
[08:32.670] 没有是吧？这没有找到冲着还有吗？没了。
[08:38.600] 周二打个电话。
[08:43.670] 操真的不敢给打。
[08:49.410] 你们不是要
[08:55.090] 我从系统里面没查着。
[08:59.130] 周二的。
[09:01.960] 经济的
[09:03.520] 肯定就是你俩。
[09:05.690] 他是有别的号码的。
[09:09.400] 这样。
[09:10.860] 昨晚看有没有姓于的于先生？
[09:13.890] 多少人打的？
[09:15.630] 行。
[09:17.190] 上周二吗这段？
[09:19.490] 就是21号那天。
[09:26.050] 21号回来更多了。
[09:28.200] 我们来看看这个
[09:30.150] 是这个吗？
[09:33.260] 祝顺意。
[09:38.730] 在60是这个玩意儿吗？
[09:42.770] 你问问他是有一个这种的手机号吗？
[09:45.820] 多少？
[09:47.200] 13811491497423。
[09:56.190] 四季不可能往上。
[09:57.720] 崩了。
[10:12.940] 还有电影版。
[10:21.800] 我好像看了
[10:23.920] 吗？
[10:26.810] 您是用这个手机号我看看。
[10:30.340] 62048是用的这手机好看的，对。
[10:34.230] 138113811866204。
[10:46.520] 看
[10:48.650] 躺在场面
[10:53.100] 吗？
[10:54.530] 没有什么印象，我记得有这么一个印象是看见了，
[11:00.020] 但是长什么样完全没有印象。
[11:04.450] 来，您看一下。
[11:10.480] 应该你给我说一下这个来首先就是
[11:15.160] 这个是最终你涉及到置换的话，这个是最终的价格，而且是落地价吗？火车裸车价格吗？对。
[11:22.750] 这边有车到下班就睡，你这里面不含我那个车的价格，不含哪必须不含您的车该给多少钱给多少钱，你相当于这是打了优惠这些事，然后
[11:33.590] 优惠完是这个价格，然后你涉及到住房补贴的，对着事前的钱是属于你们店给的，如果我是厂家给的对吧？他现在是这样，如果说您指标购买没有置换就是优惠价格，
[11:47.670] 您如果有置换了，不管是你就车什么车，你哪怕就算你残值是0，
[11:52.570] 你给我们车了他也是。
[11:55.230] 对信息发现这些
[11:59.730] 就是落地价了对吧？
[12:03.540] 然后这个事
[12:05.110] 这个是分期的。
[12:07.020] 首付20%吗？
[12:08.910] 58,000对58,780，贷款80%，对友带他的
[12:15.120] 他的就是贷款这样的证服务费对4个点。
[12:19.740] 贷款。
[12:22.010] 相当法的关键是他两年不是一年，当时一年可能就
[12:26.320] 差点，但是这两年的话有没有利息？
[12:29.640] 这也是厂家的政策，对这场这是中国银行的
