[00:00.320] 接待客户与谁取的，订车了，然后换电话。
[00:04.840] 对她换个电话订车。
[00:09.260] 对138
[00:11.160] 三
[00:19.030] 33
[00:19.800] 0116。
[00:21.170] 0500。
[00:27.440] 对。
[00:28.800] 怎么样？你随便编于女士。
[00:32.880] 我说打那三字，
[00:34.950] 我俩着办着你那转。
[00:40.600] 句
[00:50.950] 到时候您去办。
[00:52.620] 应该是我。
[01:36.640] 咱这上保险一般
[01:37.640] 都是平安的。
[01:38.580] 平安太平洋人保人选，
[01:53.630] 138011601160500. 
[01:57.420] 00。
[02:25.940] 邮箱用户名，
[02:27.730] 邮箱这三结构刘我呵呵的412477856，
[02:51.080] 操你这大地开着开着怎么老有一并线通，他不让进，他主动盲点辅助，主动车道保持人家打转向，
[02:59.430] 得打转向才行，不然你试试不打扰先生您往回转，是不是？两个我看了这我想你打转向，尤其是你要是即B线的，他就是
[03:08.720] 为了安全，他怕你走神了，你偏离了明白了打转向就没事了是吧？
[03:14.530] 今天打。
[03:15.210] 对天冷了，这家我这
[03:17.420] 也不这毛病不好，你知道吗？
[03:19.550] 这要赶紧急情况了，你来不及大便干怎么办？你想必前面那车一打他给你摆回来，你觉得be不出B不过去对吧？你在国外行在咱国内
[03:29.430] 这东西能官他妈官走，从系统里头把网上给你看看能不能用电脑适合，这他妈太操蛋了，这要钱他撞车你躲，你要不来不及打转向躲过去，
[03:38.770] 是吧？
[03:42.250] 弄成了回来了，你又不知道吓一跳，怎么吓一跳，耗子怎么回事？
[03:51.690] 就这东西老些功能不适合咱们不
[03:54.220] 那是吧？
[03:56.290] 玩前两天那自动巡航什么还得撞车太那个吗？你说那什么有P用操的。
[04:02.610] 看一下不是自动驾驶刷也是吗？多么现在上次我一客户就房东那边一头包出事了。
[04:11.370] 是我那客户是同学的孩子，
[04:13.540] 维权也不好喂。
[04:15.780] 跟你个人你跟一拖拉干，你怎么弄？你看现在打官司前两天问你家奔驰是哪儿，说开开了多少坏多少回熄火了怎么。
[04:26.510] 知道吗？
[04:28.410] 你怎么说？
[04:30.890] 你打官司个人噶跟公司来报答，但是这事是真的，你要咱干咱个人来说，你别在你们公司角度来说，你这做人你打不是这是你打官司也不好打。
[04:42.310] 对，您买的车是他们修过的看还行。
[04:49.500] 你现在除了曝光都法律途径。
[04:52.430] 别的没干。
[04:53.520] 没戏。
