[00:01.680] 哪个87787是吧？
[00:03.970] OK. 
[00:08.530] 您好，召回。好的。
[00:12.420] 王任先生是吧？
[00:14.440] 登记一下。
[00:24.530] 为
[00:26.320] 你说原来还买过延长保修。
[00:32.730] 妈妈。
[00:34.270] 我看有原厂延保。
[00:37.390] 远
[00:40.030] 看一下。
[00:42.860] 到今年12月。
[00:48.570] 修改两码事，对，比如说您漏油坏这种都给您免费维修。
[00:58.470] 小心。
[01:00.460] 对。
[01:01.410] 后来我看我是吧？
[01:03.760] 女士。
[01:07.510] 保养什么还没到是吧？
[01:09.670] 到了。
[01:11.290] 到了。
[01:12.050] 保险公司他给送到这一块。
[01:15.290] 做过了是吧？
[01:16.560] 你那保养弄完了吗？
[01:20.350] 行，我打电话。
[01:23.640] 低压油管那是吗？
[01:28.070] 联系电话尾号5687这个是吧？
[01:38.400] 070
[01:47.790] 二。
[01:49.880] 您这应该当时延了一年。
[01:53.390] 过了保修延了也没过。
[01:57.640] 到时候你要有兴趣也可以，再往后最多还能延一年在原厂这边。
[02:03.090] 万一有人问题是个管事儿，
[02:07.240] 能免费修，我再您登记一下看。
[02:12.340] 东西一辆车真的是。
[02:14.000] 而且意思就是说我给您查一下，您这款车现在应该是。
[02:20.450] 谁知。
[02:26.000] 看一下您车匹配。
[02:31.620] 我拿一座塔。
[02:45.190] 感谢安全。
[02:46.670] 看到。
[02:49.230] 感谢
[02:54.160] 在座位上
[02:55.110] 我只要这辈
[02:56.570] 给您登记车祸，而且
[03:07.100] 小心要是我用一下贵重物品带一下。
[03:12.870] 好，您按一下是姐一个的是吧？
[03:16.450] 我这个车我用
[03:19.330] 开始也没有
[03:20.920] 开锁，
[03:22.320] 如果到这儿是工业没有无钥匙进入功能在的车门把手是不一样的，
[03:29.880] 也不
[03:32.200] 要增加功能比咱家去对。
[03:37.190] 没必要。
[03:38.160] 你都用好多年了，
[03:41.060] 再用两三年，没准你都想换车了，是没错。
[03:45.930] 现在奔驰车
[03:47.530] 是不是也是搞活动吗？
[03:49.020] 这款因为快改款了，所以优惠力度大一点。
[03:54.600] 现在是实惠一些的，S实惠些，S要改款。
[04:00.910] 为什么GRE的介入，然后IOS那是刚改款，
[04:08.010] 价格来说
[04:10.440] 没下来价格。
[04:14.090] 因为杠杆去年刚改的吗？
[04:17.550] 价格优惠没有大的幅度，稍微有点万一有也或者就不加价之类的。
[04:24.170] 现在
[04:26.590] 一件多少钱？
[04:27.880] 100多点ps的话。
[04:32.300] 您这是想拿这置换吗？
[04:35.440] 现在有置换吗？有，我
[04:37.980] 有需要这车，需要可以给您作为评估，还有评估师。
[04:42.020] 要置换，对指标一下还行，这时候还行。
