[00:00.000] 你发票开过来开到不用。
[00:07.240] 我省几个点，
[00:09.240] 必须得看，你稍微收手机了。
[00:13.230] 号。
[00:14.730] 你这车是公司的还是您自己单位的，晚上的这是个人。
[00:21.990] 或者说不你
[00:23.760] 你说没事到了打折1540不用快不开都行，不是。
[00:32.840] 跟开票没关系。
[00:34.160] 是有那么个事儿，因为我们这必须开票这个东西，因为个人还给他车牌号也行，开明。
[00:42.290] 现在有那么个东西我跟你说一下，这网上查了货车上了他登录，然后因为
[00:49.590] 我不知道车上的车，如果你要是想走保险修车没办法来买利润。
[00:56.790] 38 2交1498，
[01:00.040] 打了2500，
[01:01.460] 一年一年有效，一年30年跟这没关系，不再是这样，诚意上要慢慢
[01:08.630] 如果车上也伤，比方窗玻璃也好，还是哪拔一个碰，这边觉得你知道吗？
[01:15.190] 只要来买的大保险，修车完了我还给你2500块钱。
[01:20.830] 没错就得做，没事，这要是说我要是一年，
[01:27.430] 什么意思？就是说在这年之内，
[01:29.920] 你出了两次钱就返，你两个2500，最多返两次就出，一次保险返2500，忒次保险3.1万元，
[01:38.550] 但是交钱了你交5
[01:41.040] 交1490，你交了多少？
[01:44.240] 等于是头一次出险都是第二次出险。
[01:48.820] 安全。
[01:51.300] 唯一的要求本期比如说今天上午多少，等15天以后
[01:58.110] 就可以报保险了。
[02:01.860] 明白这意思吗？如果这车是公布了，谁知
[02:07.150] 上保险打的
[02:12.680] 跟女的正常投保的保障内容很多东西这不错，比方说
[02:19.250] 有些小磕小碰本来不想休的，所以你修了对这样一块有一个咱修修修修还能攒点，对你来这修车，修了以后我们再耽搁还你2000块。
[02:31.900] 对，然后那天房产回来了，而且比较尤其是公司的时候特别复杂，
[02:37.390] 把公司的车非常一般，司机过来
[02:39.980] 可以发过来，对这方面也比较方便。
[02:43.670] 您如果要是周围有朋友
[02:46.240] 开奔驰了，到时您咱们跟他说一下那种跟起来你跟他说一下，你看你本来有保险的就懒得走，你不能走一下背对着咱给他钱，这个你还吗？
[02:57.370] 我知道老师咱现在没什么，不需要走咱就拿不住了。
[03:03.230] 留着咱们看看有朋友再给您介绍一下，我等一下不要掉了，在找我，你这车谁洗的你问问。
[03:10.350] 知道吗？知道怎么回事。
[03:11.840] 有的情况比较合适，
[03:13.860] 本来不想修的，而且还是不是含义，还有一点无论是全责还是
[03:20.250] 对什么意思？
[03:22.240] 全责就是自己测完了。
[03:25.360] 这上面他糊则配合。
[03:27.760] 不得是对方走对方保险来把立秋了，也还都无论是全责还是无责，他都会。
[03:34.360] 然后要怎么培训是吧？
[03:38.230] 谢谢。
[03:40.530] 你就说85天挣1000块钱，
[03:42.530] 慢慢好的，尤其是
[03:48.860] 数据。
[04:32.400] 场
[04:46.030] 场
[04:47.280] 二
[04:48.870] 三
[04:50.040] 的
[04:54.550] 的
[04:56.170] 的
[04:58.400] 场
[04:59.790] 为
[05:01.200] 车
[05:02.800] 场
[05:05.070] 场、
[05:05.800] 花
[05:09.450] 场
[05:10.990] 场
[05:12.200] 五
[05:14.280] 五
[05:21.360] 的
[05:25.670] 数据
[05:26.440] 的
[05:29.030] 数据
[05:33.260] 数据、
[05:35.370] 场。
[05:38.610] 三
[05:48.850] 场
[05:56.970] 五
[06:04.230] 的
[06:09.320] 的
[06:10.440] 的
[06:13.560] 要
[06:25.670] 场
[06:31.800] 花
[06:35.270] 数据
[06:37.580] 的
[06:41.280] 花
[06:44.730] 花
[07:24.230] 点。
[07:40.940] 第
[08:02.940] 好
[08:15.520] 远
[08:16.930] 数据。
[08:26.320] 数据、
[08:28.120] 数据、
[08:29.610] 数据
[08:30.680] 数据。
[08:32.630] 花
[08:48.220] 数据
[08:52.920] 一
[08:56.050] 场
[08:57.880] 的
[09:02.030] 远
[09:06.670] 的。
[09:08.100] 的
[09:09.930] 场
[09:13.580] 二
[09:17.540] 的
[09:19.480] 可以
[09:28.360] 谁知
[09:29.680] 不习惯算是腰力是特别了，这还有点
[09:35.970] 网站。
[09:37.060] 谁知
[09:40.500] 万
[09:41.390] 两
[09:42.740] 二
[10:23.880] 的。
[10:24.640] 去年3月
[10:25.760] 1.1.5瓦的
[10:27.560] 他这个152
[10:29.720] 二第2.5，
[10:32.920] 2.50分×1.5，
[10:45.350] 2点。
[10:46.390] 4:00 5:00。
[10:52.290] 我没有生气文库这会各地两个护士的都同时也差不多2.5公里，
[11:01.000] 不要从的话一般100多，
[11:13.060] 十三五。
[11:17.280] 的
[11:18.060] 今天上午
[11:20.490] 牵到人家4000多，
[11:23.640] 4000左右。
[11:25.560] 坏数据
[11:30.130] 的。
[11:35.160] 数据
[11:36.840] 的
[11:38.690] 的。
[11:43.450] 坏。
[11:49.360] 花
[11:54.460] 数据
[11:56.240] 还
[12:06.100] 电话
[12:12.030] 数据。
[12:15.750] 数据
[12:17.490] 句
[12:21.370] 行。
[12:52.430] 玩。
[13:12.680] 的
[13:21.870] 的。
[13:24.470] 好好我打电话。
[13:27.530] 上次交给我。
[13:29.980] 应该讲
[13:43.830] 的
[13:48.040] 的
[13:49.510] 数据
[13:52.290] 场
[13:53.850] 场
[13:55.720] 号。
[13:58.360] 的
[13:59.680] 花
[14:09.130] 刘
[14:12.140] 数据
[14:13.360] 数据
[14:14.120] 场。
[14:15.150] 场
[14:25.330] 场
[14:27.960] 场
[14:55.060] 数据。
[14:58.240] 远远
[15:01.470] 数据
[15:03.190] 场、
[15:08.190] 场、
[15:18.160] 场
[15:19.160] 花、
[15:22.610] 花、
[15:30.580] 场
[15:33.620] 坏数据
[15:45.240] 电话
[15:54.590] 数据、
[15:57.920] 数据、
[15:59.020] 数据
[16:00.980] 行
