[00:00.000] 今晚上到3点了，整个一个停车检查，然后第二个我想收集一下我的电脑，
[00:07.730] 升级哪个电脑就是中控。
[00:10.440] 你听到没升级过？
[00:12.170] 有的话就能生，没有的话就升不了，早就走了，你说说你这没声是吧？
[00:16.800] 了。
[00:17.520] 系统升，哪个中控室仪表盘吗？
[00:20.480] 不是是导航那些优惠。
[00:25.080] 还有机械的经常，还有。
[00:28.840] 第三件事我就后排牙工厂有金属的稀有要轻的，
[00:39.670] 我不太清楚，银色漆也叫清远。
[00:42.430] 这位是多少？
[00:44.440] 这个
[00:45.130] 的经过，
[00:47.980] 有的不是像外面
[00:52.020] 我明天发票里面全是我们商会，你穿个人还是开
[00:59.670] 坏数据。
[01:04.480] 场、
[01:06.160] 花。
[01:11.830] 花。
[01:25.180] 场
[01:35.640] 可以。
[01:38.460] 我就给您开单。
[01:39.870] 我自己我下午能去吗？下午去不了，这怎么样最少得两天。
[01:44.980] 为什么？
[01:45.920] 前面排着队，
[01:47.370] 旁边前面排着422 30台车，
[01:51.100] 我要把车搁这两天，
[01:53.550] 我约个时间好像523号到。
[01:57.030] 您要是快出保的话尽量放开就赶紧查。
[02:00.890] 我没办法坐在
[02:03.160] 您就改变在这个时间。
[02:05.260] 您就哪天给预约部门打电话，您看看他能给您约上来不？
[02:11.450] 了两天，对我前天的车今天能出来，您想想
[02:16.950] 我升个级需要吗？
[02:19.320] 革吉您这要生可冒的控制单元的话，最起码4个小时。
[02:22.480] 下午能取吗？下午也去不了也得排队。
[02:26.350] 升级也需要排队吗？对，现在所有到场车您看一二排都还没进去。
[02:32.660] 升级需要预约吗？
[02:34.730] 升级的话最好也约一下。
[02:36.930] 最好在制版或之前升级是吧？
[02:41.570] 包括您这两项检查也是一样的。
[02:44.570] 先帮我看一下我。
[02:45.850] 的车后面排风，这不需要怎么办？
[02:48.770] 台风的话也是佐世保
[02:52.420] 能不能先去看，也需要排队吗？
[02:54.990] 都需要排队，只要您这车需要维修或者是保养的话都需要排队的，你帮我看也像排队。
[03:02.460] 扮演不需要排队，对你先确定是不是？
[03:06.580] 我确定不了。
[03:08.160] 让师师傅到车间去检查，然后照相发送到厂家，能给您赔就赔您赔，厂家不给您赔。
[03:14.880] 那老头那么难分吗？对保修的流程这是
[03:18.810] 这就是一个保修的流程。
[03:21.210] 我给您看，我说赔。
[03:23.390] 我说是不是不对？对不起。
[03:26.240] 因为之前我前面前台出过顾客的问题，
[03:31.980] 你们同事跟你们那牌子同事跟另外的人都看完了，拍照片就走流程的广告。
[03:39.970] 也上等等太长，没有遇见过我们没这么操作。
[03:45.560] 没法这么操作，因为师傅去势气车间师傅去查，
[03:51.260] 然后之后保修部门去拿照片去发到厂家，现在是这样。
[03:58.360] 我没20号是吧？
