[00:00.000] 深证好勒。
[00:03.070] 郭景新先生。
[00:07.520] 是没带驾照是吧？对驾照我一会儿回去上传一下。
[00:12.510] 行，因为上船之后公司那边才能定损，对，他不定完损我这边也没法开始修。
[00:18.950] 我就一会可以。
[00:20.920] 等一下可以没问题，电话咱们是18611637950。
[00:31.120] 的
[00:56.470] 右后剐蹭了是吧？我看单子上给您画的。
[00:59.800] 然后对用户
[01:02.590] 两化形了OK，
[01:05.630] 咱们车牌号是京N0I好go，歌舞酒、OK，金额0都是都9。
[01:12.640] 我看正好有个预约的夏明的保养是吗？
[01:18.710] 是就有一个约10:30的。
[01:21.840] 应该是一回事儿，对明白，预约的时候
[01:27.890] 就给我打电话。
[01:29.480] 在目前已经生效了，明白，咱们专门来修车，不是说做保养来的是吧？
[01:34.930] 做完了行了没问题，但是有一个机油灯亮，我给陈亮给打了一个电话，他们再看一下，用他那边给您开单子检查得。
[01:44.060] 它是集中报警了应该是。
[01:46.190] 最好。
[01:46.840] 行没问题，保障。
[01:49.480] 也有这个问题，好的。
[01:52.030] 当时他给关了，他说问题不大。
[01:54.160] 相当于可能就是给您故障码给删了，
[01:57.740] 就让他给把密码给签了。
[02:22.770] 来过去证件您收好。
[02:31.560] 歌舞酒。
[02:38.870] 为
[02:43.170] 好，稍等。
[02:46.310] 另外
[02:47.640] 另外电话
[02:49.690] 报价。
[02:51.990] 好勒。
[02:55.350] 等一会。
[02:57.130] 您有点面熟，您之前是在北京吗？这是没错，南边这边跟谁？
[03:04.420] 您作废，卢一成亮他卢毅警察小宝他们。
[03:10.250] 我刚才看有很多后面一直在那站着，已经看不了，对，一直看着我们，然后跟家里没有保险是吧？别着急，佳琪刚才说了他就推荐了，没问题，你别走。
[03:23.990] 我说刚才看你演说，但我一看这没有记录，我这边也着我着
[03:29.830] 原件非常呵呵合作，我那边你现在一直还没开门，一直还没开。
[03:43.090] 这个还国企吗？他只要有这么点且开不了，我估计。
[03:47.810] 他又跟关节对刚才
[03:50.960] 真是够可以的。
[03:53.250] 咱这相相当于走了一个平安的保险是吧？
[03:55.840] 您这报警OK不用。
[03:57.960] 手机就差驾照，到时您传给咱们定植园就OK了，行不管？
[04:07.550] 对方哪个保险公司的？
[04:14.200] 对，只要
[04:15.460] 有关系，现在只要了走过去肯定去看车，那就没问题，帮您看一下，车上的各种物品都收拾了。
[04:22.410] 好勒给你。
[04:29.000] 稍等一下，帮您拿个字号。
[04:39.070] 这边就是车太多。
[04:41.000] 那边修车款这边。
[04:43.790] 对，那边修车款这边上车是扎堆来，都车停停呢。
[04:49.910] 行了。
[04:51.280] 看到了咱这边的天气
[04:54.100] 住得近是吧？特别
[04:59.280] 最后没什么车都能给您送回去的。
[05:02.200] 找个E代驾就给您开回去了。
[05:05.550] 我先帮您把做到扑一下。
[05:26.590] 玻璃水报警了。
[05:29.990] 不就是玻璃清洁液报警了。
[05:32.670] 这个老报警，但是我估计是不是您没加原厂的玻璃水还有关系，有可能没加原厂玻璃腿的报警。
[05:41.850] 对，他因为我有玻璃上去。
[05:44.100] 有玻璃水是吧？形式。
[05:46.690] 他不是。
[05:48.060] 对不是，现在是67,157公里满箱的油。
[05:53.040] 试行了帮您看看咱们又或者刹车。
[05:55.740] 这还蹭着这是箱子，下次再说形态没问题问题。
[06:01.610] 这边这是哪块，这块主要是这两块，右后门右后叶子板，
[06:09.150] 这门的刀咱修时就给您去修复好了，就这两块是吧？对，就这两个正好后杠这边不也有点苍山就
[06:17.290] 紧着那边咱来了，因为我看那边反光板不是还睡着的吗？这样的话我看不是有代步险吗？这两次都能给您赔钱了挺好。
[06:26.060] 来走进屋咱们
[06:27.930] 他说发动机灯亮的话，我让陈亮帮您去查一下，看一眼看看我就在我也给他打电话说了也说了是吧？
[06:35.350] 行，再看一看要不要换，他说可能是什么流量器什么有可能是咱们空气流量计或者氧传感器或者其他一些东西造成的，看了一眼，但是上牛口是
[06:46.330] 7月1号来，今天没几天就这样非常先看一下，有可能当时就把您的故障板先消了，看看让还抱不到，对。
