[00:02.190] 到现在最西边流。
[00:04.980] 左手
[00:09.040] 数据
[00:14.760] 数据
[00:17.100] 数据
[00:22.750] 远远
[00:30.490] 的
[00:32.240] 的
[00:34.570] 刹车板，
[00:38.460] 感觉有点软了。
[00:43.410] 6093车号是吧？
[00:50.160] 刹车片。
[00:51.680] 的
[00:56.430] 感觉。
[00:59.600] 感觉数据
[01:04.090] 什么时候。
[01:06.390] 的。
[01:08.110] 行驶本拿了吗？
[01:10.370] 根本。
[01:19.040] 搜索
[01:21.290] 名字就是我。
[01:26.480] 我骗市民的这有的。
[01:34.310] 去年年底的
[01:42.010] 去年年底。
[01:43.650] 还没找着。
[01:47.440] 花。
[01:54.330] 坏数据
[02:02.770] 数据
[02:13.320] 张。
[02:16.070] 一个翻。
[02:21.240] 我就把单子不用，这里有记载。
[02:27.550] 我又中午我回去
[02:34.210] 每一秒快点8000块的话10。
[02:37.140] 上车我说撒在车上去。
[02:40.480] 查查不着车跟车。
[02:43.870] 没时间搞车在哪？
[02:48.180] 二
[02:56.400] 了。
[03:11.670] 你出来就跟你说的。
[03:13.590] 就是说把我那尾灯我们弄那家弄的不是找保险，都是你介绍的，这人说好了还是你带我们去的？
[03:23.470] 不是我给您找个人。
[03:25.850] 就这弟弟一个刘翔见就打电话，就上回他不是给您都交代完了吗？让他带您去。
[03:33.920] 刘翔见直接跟他说0。
[03:36.010] 那边定损是陈建康回头还跟你说我那个玻璃不是摇不上，
[03:41.610] 这次我一定再给他。
[03:44.780] 玻璃上回的师傅怎么跟他说的来着？
[03:47.580] 上重点的润滑剂在里头，什么还是解决不了问题，那就换玻璃导轨了。
[03:55.240] 行，你先忙我这边第一桌刘翔，
[04:14.860] 对不对？
[04:45.510] 有时候我先跟
[04:47.480] 跟他说，
[04:48.690] 然后玻璃导轨上刘帅好像是我记得让他给报个价，就左前门玻璃导轨，
[04:56.190] 走保险是走这坐，不是玻璃导轨是自费往走，也是尾灯那个尾灯对。
[05:03.650] 上。
[06:26.800] 暴力什么？
[06:27.690] 左前门那股里头导轨他租了一个上升的时候，
[06:32.350] 好像一面刘帅对他
[06:34.560] 上一回调了一回，然后后来说不行，刘老师就建议更换了，因为那行业气囊这个车给他们
[06:43.600] 且忙的
[06:45.540] 强子没开到
[06:47.160] 了。
[06:55.350] 主要太辣的。
[06:57.730] 没有211的车怎么办？这5条里边。
[07:00.840] 我那也天接到211了怎么办？
[07:04.200] 他选了2131，我选这儿了，我们那车上为什么没换空压机？
[07:10.670] 我待会查一下了，记住。
[07:13.180] 爱你记录怎么有还删的上，我们好像我们有一回事。
