[00:00.000] 火力。
[00:01.680] 知道客户在哪里吗？是。
[00:04.640] 完成了
[00:14.160] 视力。
[00:15.460] 我刚回来，
[00:17.570] 谁都
[00:31.230] 要下地下室紧张，名片消防无妨，第一次来咱们店第一次来，
[00:37.150] 有余，咱们那边没约，我今天要到这边来看。
[00:40.430] 行，那说事儿。
[00:42.110] 到30。
[00:43.060] 咱们这车的指导价是318,800，他这上面标的这个价格
[00:51.390] 他是上来我看交流，
[00:53.050] 这是标的价格，是优惠了一部分现金的价格，
[00:56.550] 他的指导价是318,800，这1万块钱办下来差不多是37万都会有优惠，
[01:03.950] 都会有优惠，跟您说一个奔驰的服务公约都是
[01:07.660] 客户为根，以礼相待，诚信经营合法得体，
[01:11.080] 明码标价，公开透明便捷到几乎是咱们现在奔驰能做到就是这两句话，绝不捆绑销售，全部是消费者水平改变已经通，
[01:19.550] 包括您做分期贷款都不会收取金融服务费，400881889您话行吗？
[01:25.780] 他等式是等着怀，
[01:28.580] 我怎么没碰到过这场怎么挂？
[01:32.400] 刚才我看到这是他的打往上推就倒下穿钱去哪，他手扶没用扶手，
[01:40.860] 您喝点可乐咖啡茶都没事，我们刚才喝水了好。
[01:45.680] 就了解角B是吧？这车也不是非得要看
[01:50.220] 咱们这个品牌的
[01:52.190] 多看看
[01:53.150] 刚才那不适感。
[01:54.790] 不是搞到当时放弃你发了
[02:00.630] 钱在帮忙的下风这个问题。
[02:03.960] 其实这发了
[02:06.480] 等
[02:08.030] 打了。
[02:09.250] 对，跟其他品牌车可能会不太一样。
[02:13.230] 你们现在开什么车？
[02:15.370] 没有，您开尼桑来的。
[02:19.850] 这车如果要是贷款的话，
[02:22.910] 对咱们没有什么贷款方式呢。
[02:25.280] 他这贷款方式比较多了，就这车有咱们的低息有18期的，
[02:32.170] 18期每月只需要还100块钱，每个月只是利息，没有本金是最后一个月一次性还清，首付是50%等就是等额的那种，对，他是
[02:42.500] 利率合下来是0.99，
[02:44.540] 特别合适。
[02:45.460] 但是他1月100块钱不跟没还一样，对，让客户体验到这种没有压力，
[02:51.260] 他最后一块给还是一样的。
[02:54.320] 这年利率低，一共多花200多元，
[02:57.380] 比如说我那全款我都能付得起了，我现在-1 50%，每个月还100多块钱，剩下那50%我存在银行吃里吃利息，
[03:06.520] 做个理财也比这要强对吧？
[03:10.540] 对，然后还有另外一种方案就是低手摁零首付，
[03:16.930] 首付
[03:18.110] 就花一购置税加一个保险加验收费用，车就能开走
[03:23.050] 了，就是说我们前期先花一点，比如花个10万20万的首付，
[03:27.590] 后边再分期，对你就可以坐18月18个月，那要是
[03:33.920] 他是利息什么或者方式上合算不合算都差不多是吗？
[03:39.670] 刚才跟您说最合适0.99利率，
[03:43.400] 您刚才说第一种的一个月还一点，最后1万块钱是最合适的，对那是最合适的，0.99利率，您贷50%带两年带一年半，
[03:53.070] 一共才花2000块钱的利息，那首付还多少？
[03:56.540] 首付有58%，车款的50%，百分之比如说这车30万，然后首付50%就15，
[04:02.940] 咱们只能贷车款，
[04:05.060] 其他东西都带不了没。
[04:08.120] 贷15万15万车，完了以后后是每个月
[04:12.140] 高还一点利息，对100多时间，一年一年半等一年半最后一个月再把后边的树煤矿在环疆的项目这种利息是最和最低的。
[04:22.160] 明白。
[04:24.650] 主要谁开买了这车？
[04:27.460] 家里开肯定是以我开为主，他们比如说
[04:32.190] 高兴了就出去喝酒了，他开会就这样，孩子没血本，
[04:37.670] 黄豆泥脏什么特点？
[04:40.580] 我们的泥沙其实也是
[04:43.310] 家里他哥的车就开始出来，
[04:46.020] 怎么样自己的车都在。
[04:49.660] 也不是我买的，也不是我想买的。
[04:51.840] 因为我自己的号现在摇号难，对自己的好公司用货车拉货没号了。
[05:00.030] 名号之后，
[05:01.080] 这不现在有号的，有一个他们单位的公司，他们的公司下属有一个集团有一套
[05:07.430] 公司的指标公司指标，
[05:10.020] 但是他马上就快到期了，他们公司也可以给他用，无所谓，我们就说先
[05:15.840] 我会拿她那号给我们公司买车，用，拿我自己的号买，我就稍微倒腾一下。
[05:23.330] 对其停放在对，所以先看一看我们这年龄了，也不会
[05:28.830] 20多万车我考虑都不会考虑，
[05:31.500] 太便宜了，随便看着预算就30多40多这样的背对，我们预算就是分期看为合理的。
[05:37.680] 4040万左右前期付个
[05:42.360] 15 20万一样，每个月还个几千块钱，或者是一个月还，我觉得是
[05:47.950] 1万块钱以里这都问题不大，现在就那都没问题，我就这样。
