[00:01.390] 咱们是公户的是吧？
[00:04.480] 到时您取车的时候别忘了，先行把公户手续给办公司那边补齐了，
[00:09.760] 这边咱们才能正常取车的。
[00:13.040] 陶先生。
[00:16.080] 陶卓彬先生。
[00:23.850] 首先电话您给我留您的。
[00:25.700] 186186127. 
[00:28.330] 12777，
[00:30.440] 662好勒。
[01:05.880] 咱们车是听Q20S17，
[01:39.360] 我看您之前留的电话，1352的我就给您改了。
[01:42.960] 改成现在的了都用了是吧？我给您1186的。
[01:55.120] 了。
[02:14.850] 来证件您先说好。
[02:16.720] 能
[02:23.290] 的。
[02:24.200] 商业
[02:26.320] 这边走的是一个平安的保险，
[02:28.890] 哪个部位受损，我看着没给您画上仙挡风玻璃挡风玻璃是吧？好勒。
[02:34.630] 控制型的玻璃单独破碎没问题。
[02:39.200] 走这边去陪你去看车，给您登记一下里程数跟咱的油量。
[02:43.210] 车上的贵重品一会你再去看一眼，你们需要收拾。
[02:53.280] 玻璃保险部那边帮您去查询，搞错了吧？
[02:57.240] 他那边观察玻璃有没有过了吗？
[02:59.800] 没查，一会帮您去看一眼。
[03:08.990] 有过的话今天给您去电话，快的话明天下午可以许多了，这么快了，对，要是没有货的话，咱们就可能得耽误了，在多耽误两天时间了，一会还得去订个我
[03:21.640] 车停在哪了？
[03:23.160] 好勒。
[03:28.270] 需要收拾东西您看一下。
[03:30.320] 好。
[03:31.200] 因为咱们要下午能看完的话，咱们得干24小时才能把车给您。
[03:36.020] 相当于就得明天下午了。
[03:41.530] 没有货的话，我估计今天是周四。
[03:44.710] 周我估计可能得最快的话就周日了。
[03:48.260] 周日。
[03:56.730] 因为玻璃属于易碎的配件，
[03:59.360] 今天可能都订不上货了，明天一早性的话后天才能到。
[04:03.740] 万公里以后没得同一天，对模拟得重新贴了。
[04:08.870] 因为那个的话闳诗是没法赔付您的。
[04:14.410] 我列的这么厉害，
[04:18.710] 那小姑娘就是得慢慢地延展，开了就对我
[04:23.050] 4
[04:24.140] 应该时间挺长的了，4月份8月份，然后我中间出差了一直没管，对，因为这看
[04:30.670] 看这库存程度应该不是说近期的了，
[04:34.590] 现在咱们是63,396公里，还有1/2的
[04:39.730] 车您再看一眼吗？没东西了，好勒。
[04:44.090] 没事，那小伤就下次再说了是吧？
[04:47.160] 行没问题，这次咱先把这个玻璃给您处理好。
[04:52.220] 应该就是那个点那块
[04:54.120] 慢慢就全裂了。
[05:03.000] 轮胎有些老化了，
[05:06.190] 然后你就行驶过程中你就注意一下就行了。
[05:10.030] 轮胎可能时间比较长了，看着
[05:19.360] 像那些省时可见伤什么的都下次再说了。
[05:22.840] 行。
[05:30.170] 好勒，咱们进办公室了。
[05:33.200] 这边我帮您把公项加一下，我让他们给您看一下有没有风挡玻璃。
[05:37.680] 大概的取车时间我这边就跟您沟通了。
[07:11.480] 数据
[07:13.690] 数据、
[07:16.980] 数据。
[07:17.780] 那个屏幕弄签字。
[07:26.350] 远。
[07:35.950] 了
[07:38.520] 取车来的时候，您这边可以打一个出租车，把正规的出租车票给我们留好了，能给您报销30块钱。
[07:46.120] 因为我看您不是还差手续了吗，所以说我们这边没法给您去交E代驾送车了，
[07:51.040] 您得把手续补齐了，我们才能把车给您。
[07:54.980] 正规的出租车票就可以。
[08:39.910] 我把我的联系电话给您写在底下，
[08:42.440] 有事的话您随时给我打电话，生日齐30来。
[08:48.000] 18910086082，
[08:51.450] 您随时给我打电话，这是咱们取得的，您忙
[08:57.160] 您这个车投保咱们代步险了吗？
[08:59.940] 本宫真乡里没有。
[09:02.140] 要是投保这个话，您像这次会风挡玻璃还能给您2500块钱，我们现在
[09:07.430] 今年不办了，想说不行，那是有一个15天的宽限期，有效期一年，
[09:13.480] 5700一年，您可要是
[09:15.820] 要是可以保证您自己个人的都可以，
[09:18.830] 直接就相当于打到您银行卡里边有2500的，这相当于就是公司
[09:24.610] 为了您在店维修中间不会有一个时间段作为补偿，一年是两次机会5000块钱。
[09:32.860] 你现在这次赶不上了，对这次赶不上了，但有一个空近期
[09:37.560] 得等15天再出这个险再报案，在刘修才
[09:42.130] 走这个的
[09:52.970] 这个钱
[09:53.900] 现在销售还挺多的。
[09:56.840] 你们最近
[10:01.990] 运行之后疫情之后，
[10:13.850] 相当于
[10:15.240] 主要这2500基本上都能把您每一次出险涨的保费都飞回来了，都可以。
[10:26.040] 您稍等，我这张网给您重报的风挡玻璃，您看有没有货？
[10:36.200] 没有咱得限定。
[10:39.090] 对，现金玻璃价格是6846，
[10:42.480] 我一会把金额报给保险公司，
[10:44.800] 让他去给您先定损，我们赚钱给人去订货，
[10:48.200] 到时候第一时间完工了，我再给您去个电话好吧？中午您在这吃个饭吗？吃饭。
[10:54.440] 前台这样来扫一个
[10:58.520] 我给您发一个的数据
[11:00.970] 场
[11:04.280] 手
[11:05.070] 场。
[12:22.180] 数据、
[12:23.690] 数据
[12:24.840] 的
[13:33.820] 说
[16:14.680] 好。
[16:19.040] 的
[16:22.090] 二
[17:19.270] 之前。
[17:20.690] 你那还有订货单吗？
[17:24.180] 我来点。
[17:25.840] 新的
[17:28.930] OK，
[18:45.000] 我们稍作。
[18:46.780] 你身份证拍完了以后，拍完照片发过来，然后
[18:53.790] 我打架召开。
