[00:01.860] 京N5跟P31，
[00:06.410] 领导对刚反应过来，我跟他说半天，
[00:10.320] 我找他都不从这买的车，你说我找他什么麻烦，咱也不是不懂事的人，我
[00:23.950] 电话没变。
[00:26.140] 13913902152任严三。
[00:33.220] 安全来
[00:35.460] 就是右后门。
[00:38.750] 玻璃压条不？
[00:40.490] 是这意思吗？对。
[00:45.050] 记录一下。
[00:47.790] 然后开裂能看见吗？
[00:54.280] 您打开了右后门了是吧？
[00:59.790] 留个照片。
[01:01.570] 刚才你们那里的老师傅说出厂的时候可能碰过他们自己，
[01:07.430] 能看出来吗？
[01:10.880] 是不是碰过？
[01:12.080] 这油可这东西
[01:14.160] 也有可能，但是橡胶的这东西不太好说，不是光碰橡胶碰到这了
[01:20.220] 了，你看这皮子也出来了，这也飞不回去了，玻璃密封条
[01:24.480] 里头行。
[01:33.040] 然后这O
[01:36.240] 这个肉眼能看出来。
[01:38.840] 坑。
[01:45.850] 你说这出场他怎么能抛进去，我就纳闷了，
[01:49.710] 怎么办？你看到了吗？
[01:52.490] 太太那么
[01:54.710] 这倒是。
[02:07.790] 猫眼
[02:12.510] 标价签很好热的，今天网眼变主要就。
[02:16.220] 这是往外你看了吗？你看往里这边往。
[02:20.810] 看到了。
[02:23.270] 对于我们来说，
[02:24.800] 这多闹得
[02:26.810] 这是个吗？我刚才想喝杯冰水没看着，好像我们这不知道为什么，这就跟咱说点那什么话，就说得起这德国企业说不
[02:36.250] 人不说那什么吗？说中国这宾馆
[02:39.440] 热水必备的，说你要是外国是吧？7
[02:45.590] 全是小凉水，说人家外国是吧？这个制冰机是必备的，对恋人都是人全是小兵水，咱这边都没事，是不是就没有那边要凹进去
[02:58.190] 了？
[02:59.040] 这小毛病还说吗？
[03:00.840] 对，那边是平的，这边不平。
[03:03.850] 事先把它记录下来。
[03:10.280] 你还能看出应
[03:12.310] 严重问题吗？
[03:14.740] 这边没事。
[03:17.050] 那个人就是有一个说说有问题不对称还是怎么
[03:22.480] 是能看出来。
[03:23.730] 但是
[03:24.950] 那家伙个儿挺高的，看出来了别的4S店，
[03:33.310] 什么意思呢？
[03:34.020] 还没听懂刚才说。
[03:43.070] 这还真没瞅出来哪有什么不对称，
