[00:00.000] 为服务有什么帮到您的
[00:06.040] 但是这款车咱们是有现金优惠，优惠力度还挺高的，然后方便您到店来给您算个最低价，咱们电话报不了价格。
[00:13.500] 怎么。
[00:14.680] 行。
[00:16.130] 您上哪里的牌照购车先生打算。
[00:18.070] 联系方式，然后我给您。
[00:20.350] 北京牌照购车，先生是这样的，我这边是比较建议您到展厅了解一下到店的价格，因为网站上面不是我们店里边在做维护，是二级的经销商贩子从汽车之家或者易车太平洋这种第三方网站在合作的，
[00:33.630] 因为我们这边就是店里面的价格都是有时效性的，网站的价格他们随时在更新，跟我们这边根本就不同步，因为近期也有客户在投诉这个价格，为什么跟店里边会有一定得出入，但是差的并不多。
[00:46.010] 对，其实说。
[00:47.160] 的。
[00:47.580] 第二5万的话也可以到店谈，基本上您北京牌照是没什么太大问题的，但是说咱们尽量还不要以第三方网站的报价为准，您要北京牌照的话，260行发现咱们现金是从44,000的起，因为他没有算其他的优惠，也没有您见到您本人，所以我们没有办法在电话里给您开通5万的权限。
[01:05.560] 如果您今天到展厅的话，我可以安排销售，一会接待咱们先看看车有没有您要的颜色，再帮您算一个详细的报价。
[01:12.790] 青岛的享受不了北京优惠的
[01:19.050] 新顾客起来引起的有问题。
[01:21.480] 第四的指导下，
[01:25.640] 有车。
[01:28.030] 他可能不想北京您看水晶。
[01:37.550] 是的，所以看看您当地这边针对一。
[01:42.570] 我们这边是不允许强加装饰的，如果其他展厅要求您做装饰了，你可以不做，
[01:48.520] 因为我们正规店里边都不允许的，咱们是西区最大转变，我们是尽可能的给客户争取更多的利益，因为咱们家电大。
[01:56.910] 对。
[02:02.670] 猫给美国不要说那行老客户的话，您到展厅我到时候再给您申请额外的优惠，如果不能给您现金也都送您一些保养。
[02:09.950] 您看您时间，因为咱们北京一脚油的事儿，如果要是价格合适的情况下，我觉得能便宜几千块钱来一趟也合适，而且您是咱家老客户，
[02:18.810] 要是顺路的话，您今天就可以来展厅，我这边给您报一个底价，260。
[02:23.320] 您好。
[02:24.540] 一般是北京的，现在这边是有关注飞车吗？
[02:31.330] 吃亏。
[02:32.790] 他没有最高的权限销售，没有最高权限销售上面还有展厅经理。
[02:37.730] 北京政策像北京还是优惠。
[02:40.240] 是四五万八千块钱牌照不合适。
[02:44.770] 对。
[02:48.160] 我知道您刚刚从网站看到价格，我不是跟您说了差不多5万块钱可以到店谈的。
[03:02.990] 您说成交价格，
[03:08.600] 成交价格他肯定给您报不了抵价，就大概给您报一个。
[03:12.610] 您大概要想了解一下价格区间可以让他给您报，这没关系，但是成交底价比如说
[03:18.280] 我给您打个比方，这车比如说我们这边卖10块钱能优惠到5块钱，您直接提车，
[03:24.640] 但销售顾问可能在电话里就给您报7块，因为剩下那2块钱的权限需要您本人到店，我们才能给您开通，
[03:30.490] 但不是说咱没有咱也有，但是不能给您报，您能理解吧？
[03:35.810] 我现在把那信息
[03:38.600] 对。
[03:43.610] 了。
[03:44.560] 对，绝对是肯定的，有看他空间的，对，然后您贵姓？
[03:51.430] 李先生电话给您预留连接手机号码，13683398656，您保持手机畅通，我安排销售，稍后给您回电，北京牌照您做置换。
[04:19.570] 合适行没问题，我就给您登记指标，购车打算分期全款。
[04:25.040] 买。
[04:25.860] 白练的。
[04:26.630] 没问题，我给您登记上您的购车方式了，稍后安排销售顾问给您回个电话，您详细的跟他聊，
[04:31.730] 价格合适的话，您可以随时到展厅来谈，我这边个人在
[04:35.320] 我这边个人而言不客气应该的，我给您发了个短信，我在猴羊，如果您今天到店的话，我们在购车的基础上，我再个人额外送你一个A宝不需要跟销售顾问谈，是我送给您的，我稍后安排销售给您回电话。
[04:51.170] 又是基础的保养，就是机油机滤免费更换一次的权益我发到您的短信里边。
[04:55.750] 了。
[04:56.440] 您不用跟销售顾问提及，是我个人送给您的，
[04:59.390] 谈报价的时候不用跟他们谈，不客气，应该的跟您聊得比较投缘，我给您提交信息了，一会您注意接听电话好吗李先生？
[05:10.170] 应该的，不用客气，您保持手机畅通先生，拜拜。
