[00:01.020] 7月9号东安教授
[00:02.740] 流利。
[02:28.830] 的
[02:30.740] 大家
[02:40.880] 说出去进来。
[02:43.840] 定的是
[02:46.240] 前厅谁标头白了，
[02:49.470] 开车就不应该进来，我看是当时什么，因为就那一台，所以就没电，后来又库里右倒车了，我就得进来了，
[02:59.030] 可能让他看见看了无所谓，你这水平没
[03:04.290] 谁知
[03:07.120] 说厂家要求必须达到
[03:12.090] 给
[03:14.230] 40多天的差太多。
[03:18.030] 那就是
[03:22.750] 三
[03:24.100] 让他调回来。
[03:27.920] 今天
[03:35.400] 来
[03:36.520] 来
[03:43.450] 数据。
[03:56.170] 句
[03:57.640] 的。
[03:58.880] 的
[04:00.610] 数据、
[04:07.320] 谁知
[04:13.460] 没注意。
[04:15.790] 没事儿。
[04:19.070] 我说我不会给我感觉我都不会，
[04:21.820] 但是他在那看着车加号了，让我比较头疼了。
[04:25.840] 我也不知道那怎么说。
[04:38.580] 怎么知道不？
[04:39.420] 批了再说。
[04:58.920] 要把这招就楼上
[05:03.200] 也就不怕了。
[05:06.430] 咱们
[05:07.670] 再坚持一天的多少？
[05:24.580] 第
[05:43.650] 喂你好。
[05:45.840] 我是北京把分成4S店，
[05:48.060] 然后
[05:50.280] 的
[06:08.000] 场
[06:10.520] 场
[06:14.590] 数据
[06:17.230] 场。
[06:22.290] 数据
[06:25.360] 场
[06:30.310] 数据
[06:31.600] 数据
[06:32.990] 的
[08:14.390] 数据
[08:15.740] 的
[08:42.060] 场
[08:50.270] 五
[08:51.200] 的
[10:51.320] 的
[10:55.240] 数据。
[10:59.230] 五
[11:02.400] 场。
[11:03.840] 场
[11:07.240] 大
[11:08.020] 的
[11:08.800] 五
[11:11.640] 二
[12:09.130] 对。
[12:11.320] 的。
[12:19.500] 樊远。
[12:23.450] 数据
[12:25.120] 的
[12:27.650] 数据
[12:29.200] 场。
[12:30.350] 把
[12:36.440] 的
[12:45.240] 上面
[12:46.300] 给
[12:51.420] 数据
[12:53.110] 场。
[12:55.740] 场
[12:57.440] 五
[12:59.600] 五
[13:01.040] 数据
[13:03.420] 场
[13:08.200] 场
[13:12.420] 五
[13:14.560] 的
[16:32.870] 数据
[16:35.110] 坏。
[16:43.010] 场
[16:49.400] 场
[16:52.410] 场
[16:59.040] 五
[17:04.350] 的
[17:07.430] 了
[17:10.710] 30年全天回来的话，他就先定性先睡觉，
[17:18.350] 然后大概我先跟他聊一下完了的题目，
[17:23.680] 我愿意试试。
[17:25.520] 谁知
[17:29.680] 行了，什么意思？
[17:32.010] 然后出去两个月了，
[17:34.960] 包括了
[17:38.320] 上
[17:45.230] 进行描述。
[17:46.060] 数据
[17:51.920] 五
[19:13.750] 场。
[19:16.940] 号
[19:19.760] 数据
[19:26.570] 说。
[19:42.670] 的
[19:44.340] 花。
[20:04.730] 来
[20:08.130] 进入环境
[20:11.440] 大，
[20:14.430] 我的饮料
[20:17.120] 的
[20:19.340] 的。
[20:25.250] 花。
[20:28.220] 花花
[20:30.470] 也
[20:39.650] 这里头有专业化
[20:43.440] 数据
[20:46.390] 的。
[20:49.210] 过
[20:51.240] 数据
[20:53.930] 场。
[20:56.740] 场
[21:02.710] 数据、
[21:05.520] 坏数据
[21:07.870] 了
[21:10.550] 的。
[21:12.400] 二
[21:13.530] 三
[21:18.730] 数据
[21:21.790] 场、
[21:25.910] 数据。
[21:30.120] 这场
[21:37.810] 远
[21:41.720] 数据
[21:44.480] 的
[21:46.580] 场
[21:47.880] 数据
[21:50.150] 数据、
[21:51.080] 数据
[21:53.300] 的
[21:54.640] 的
[22:10.550] 的
[22:19.540] 花。
[22:26.040] 9
[22:30.390] 远。
[22:34.680] 的
[24:14.490] 4
[25:20.830] 好。
[25:25.750] 大
[25:33.470] 发展经理
[25:39.240] 在平台上
[25:43.510] 对。
[25:45.270] 把
[25:46.960] 给了，然后给他送面谁知箱子
[26:01.880] 去签了。
[26:03.960] 是不是？拿过来统一月底找我签吗？是吗？我不知道吗？我刚才说的这不是每个人得过去，
[26:15.550] 都过来。
[26:40.230] 马
[26:44.800] 坏数据。
[26:46.730] 数据。
[26:49.460] 花
[26:50.780] 数据。
[26:53.100] 数据
[27:03.640] 顺丰电话，
[30:59.350] 上
[31:31.290] 的
[31:36.990] 车管所弄我也没用就解决不了。
[31:44.000] 你在哪呢？
[31:49.730] 他们两
[31:58.560] 她现在这么个情况，就是说因为我车牌的朋友
[32:04.090] 他也没问我，就是说你开始工作的话就不好就行了，他
[32:11.370] 我们拉车
[32:13.120] 它不完全下来说你给他做一个签收就行了。
[32:19.530] 他店里布置会场。
[32:20.530] 万做不了迁出。
[32:22.470] 您听我说完了，没事儿。
[32:25.430] 就是说他做一个迁出的话，我这块就买车了，我把他排了。
[32:31.050] 没关系，如果说你做不了，你有没有自己要买多少钱，
[32:36.200] 如果说这块你还不行，那一块可能的话方案了他没办法，
[32:41.940] 我就没有不要钱的，他不是车给开过来吗？
[32:46.440] 他过昨天的话那个车还要派过来吗？需要他开过来，妈你做外迁的话，你可能自己去社区去车管所办噻。
