[00:00.000] 开始接受开始建设没电了是吧？
[00:04.150] 我的照片。
[00:05.280] 不是有事吗？
[00:08.270] 报警了吗？
[00:14.950] 可能电须现在
[00:16.960] 玩了半天没开了，
[01:14.190] 人家玻璃水报警了。
[01:15.810] 对。
[01:17.760] 我们搬家吗？还是您自己有我自己的。
[01:45.160] 不像有的。
[01:51.440] 这门那儿
[01:58.740] 有还显
[02:00.720] 强有力，
[02:02.420] 有还钱。
[02:03.660] 好像有。
[02:48.800] 咱们到屋里增加G
[02:52.280] 我还是在这换玻璃会接着可以4。
[02:55.680] 他们也在这边。
[02:59.360] 大半年了。
[03:00.900] 院长。
[03:05.050] 这交界一直把我给洗不掉，旁边弄的
[03:08.410] 晕了就掉。
[03:55.680] 主要是晒的都是车型之外，
[04:04.870] 弄完之后洗下车。
[04:06.770] 好，咱们进屋。
[04:24.410] 的
[04:32.070] 黄色的
[04:54.320] 号
[04:59.960] 便宜。
[05:04.440] 送过去快点。
[05:07.970] 您看我们这有一个活动，如果您有划痕险的话，可以走一个活动，把这车的外观修一下，修法、反潜，
[05:14.880] 把现金。
[05:15.940] 你看你手上有没有？
[05:17.800] 您那带有保单吗？
[05:20.940] 等
[05:23.430] 了。
[05:25.820] 如果没有花钱注册文件可以修。
[05:28.420] 可以。
[05:30.510] 你给我。
[05:36.240] 元元。
[05:44.050] 数据
[05:49.920] 6
[05:55.840] 干了。
[06:01.130] 三那三块都能修。
[06:03.470] 对，您说一下我们这个活动，
[06:07.060] 我们那合同主要是针对于有划痕险，而且车身外观有剐蹭华商的客户是最有益的。
[06:15.750] 首先您需要付费交一个1498块钱，
[06:19.510] 交完这个之后在15天之后报保险修车，修完之后还你2500的现金
[06:25.920] 转到您卡里。
[06:27.890] 我今天先交这钱。
[06:30.870] 对，这是一个新的险种，等您在买保险的时候，你的保单也就多一栏。
[06:35.790] 所以这个只不过现在我们是不按照说说你跟你保单必须的日期相同，
[06:42.710] 随时可以给我买，有效期是一年一个自然年。
[06:47.000] 我们两个什么？
[06:49.690] 你说我先听后报。
[06:53.880] 我的意思是您先购买，因为是这样的，有个15天等待期，
[06:58.930] 15天等待期，您今天交这1398块钱，15天之后你走保险修车，
[07:04.750] 还
[07:05.650] 修那三块，
[07:06.960] 修完之后返2500块钱现金。
[07:09.940] 这个险种它是一年有效期，一年可以赔付你两次，假如说你被别的车给碰了，
[07:17.210] 我们也依然赔付给您。
[07:19.440] 假如说举个说不好听的，可能玻璃有点啥问题，因为不玻璃险你又换一块玻璃，
[07:25.430] 我们还是配分享就买现金最多赔付两次。
[07:29.270] 我今天开会我今天休息得放完了以后再过去，就是15天之后你再来修车，后来对因为这个东西避免一个
[07:39.210] 大宝的问题。
[07:40.550] 对。
[07:43.100] 这是心有的一个活动，是从7月份开始做的。
[07:46.290] Nana家保险公司的
[07:49.580] 远远没有。
[07:52.150] 我们跟太平洋有合作会对什么的明年保费有影响，
[07:56.860] 只要您修车肯定会有上涨，
[07:59.830] 大概2000块钱左右差不多。
[08:03.730] 两两块钱对，但是你要想一个问题，一直我们赔付，你第一次你说你挣了1000块钱，
[08:09.870] 对吧？而且你还
[08:11.820] 用了修了1万块钱的分析，
[08:14.350] 您怎么都是划算的？
[08:16.360] 我不买这个。
[08:18.740] 你没有赔付。
[08:20.670] 没有控制。
[08:21.790] 就给了都没有。
[08:23.850] 百%赔付2500。
[08:28.210] 这个东西
[08:32.560] 它也是有一定风险性的。
[08:35.470] 因为假如说如果您被别人给碰了的话，您来这修车不依然得到2000美元现金赔付吗？
[08:48.690] 谁知
[08:51.800] 修车是多少？就这3块71万。
[08:55.250] 网公司做保安了1万，然后再可以2000。
[08:58.980] 对。
[09:03.660] 是的。
[09:05.870] 其实您不用算哥们，我跟你说这1万块钱赔给我们的，我们给你2500，我们也都。
[09:10.980] 这2500。
[09:14.370] 看看。
[09:16.800] 但有的客户我们可能挣得少一点，比如那客户只收一块分期，
[09:22.250] 大概我们可能就只有3000多块钱，
[09:24.900] 我们挣就少了。
[09:27.850] 那就说三块分给两次就等于这两个。
[09:32.680] 我们又考虑你一个问题，你有花一减，你为什么分两次休？
[09:36.310] 你说用华丽。
[09:39.150] 你可以反正最多赔5。
[09:42.050] 对，什么？我。
[09:44.370] 好，你。
[09:46.430] 所以这样
[09:47.600] 但是最多就是赔5，最多赔两次。
[09:51.890] 其实第二次。
[09:54.360] 保险拍照的时候开始在这里。
[09:57.310] 这一块到一年的时候再说。
[09:59.920] 买
[10:01.970] 拍。
[10:04.270] 我先把您的车给您安排进去，然后再在您办。
[10:09.510] 了。
[10:10.150] 就在我这保险部。
[10:12.850] 然后刚才
[10:25.400] 这是您签个字，咱们今天给您做一个出保监检查，免费的右下角签个字。
[10:43.250] 一块举手了。
[10:54.530] 一
[11:00.190] 的
[11:03.250] 说。
[11:07.690] 主要是你有皇音响，你怎么弄都好弄。
[11:10.600] 这是真就没有方向。
[11:13.060] 其实华演最合适的车损险有点不太合适，除了你那种碰撞特别严重那种。
[11:20.990] 还有玻璃险这种。
[11:25.260] 这房子如果出险可以受风险的话，你看你
[11:30.710] 你举个例子，
[11:34.010] 咱边走边说。
[11:36.110] 举个例子，比如说你这个车像你。
[11:38.830] 右前角你轻轻蹭蹭了一下柱子，
[11:43.400] 正常修身进自费花钱也就花
[11:46.870] 3000多4年前。
[11:48.630] 然后你走一次保险。
[11:50.360] 你就只说了这么多钱，
[11:52.960] 跟你说三块。
[11:55.060] 你所说的东西能不一样，肯定不一样。
[11:58.130] 是吧？
[11:59.040] 还有的时候有那种碰撞那种大的事故，比如说一下撞树上了60迈转速。
[12:05.470] 那钱可能都得放10万。
[12:08.530] 然后我们的利润肯定就高了，对吧？
[12:11.580] 我们这么高了，
[12:20.420] 价格。
