[00:02.390] 你好。
[00:04.550] 然后本店销售云海做我的名片问题。
[00:07.480] 是吧？对是的，这是390,900的话就是小的只有。
[00:12.900] 要不坐下咱们聊一下，我看完之后。
[00:15.900] 都看完了吗？那也是上哪个裁判呢？
[00:20.390] 现在是哪个都有，当时组织的空白居住。
[00:24.320] 好好谢谢您是想想上在哪怎么决定？
[00:29.250] 现在是这样，
[00:30.440] 我可能组织的。
[00:32.100] 能够然后组织力是统一的，然后大概有10多个人，最少有10个人来，
[00:39.270] 然后
[00:40.330] 我来聊聊价格。
[00:43.550] 然后我也跟您实话实说，就是我们。
[00:48.480] 目前就是十几个人。
[00:51.190] 十几个人，然后大概价格享32，把这车提回来，全办完还裸车了。
[00:57.390] 全办完32，对，首先第一个就是我拿姐咱们捋一下看看行不？行行行行。
[01:09.510] 大风等会再接，一号咱们给他打过去。
[01:12.960] 我再去找我的
[01:18.130] 刘浩给他打过去。
[01:19.660] 在销售
[01:21.630] 地方。
[01:23.050] 他的我也没有谁知。
[01:26.280] 你光记的你电话不是他说我这打电话。
[01:46.960] 他没有看里边有4个例子吗？行行。
[01:51.000] 下来弄点水喝点什么吗？不用。
[01:53.950] 该干点啥都有的。
[01:58.640] 点
[02:00.090] 是吧？
[02:03.590] 拿下这等你
[02:10.750] 来看一下。
[02:14.200] 水在哪？我马上
[02:19.430] 这边。
[02:20.340] 这张图就是在楼梯边上没打完车。
[02:48.440] 有直播那个摄像头吗？
[02:58.670] 对。
[02:59.830] 行我知道我看一下。
[03:03.640] 好勒。
[03:05.630] 好的。
[03:17.790] 咱们昨天说的抖音那一帮人培训，他说去白忘了来了，
[03:22.610] 来在念了。
[03:24.550] 谁接的？
[03:27.500] 他在哪我看一下是不是三人。
[03:30.880] 真的咱看那个圈子。
[03:32.400] 打。
[03:33.760] 是销售部吗？销售部？
[03:35.710] 你接了现在。
[03:37.760] 看看是不是这三人。
[03:39.000] 也看自己的录像吗？有自己录下。
[03:52.590] 就直接开车了。
[03:55.150] 都是23块钱，
[03:57.140] 都不能拆穿，不能开窗不能
[03:59.150] 一定要走了，给他言行让我们帮忙去看一看，我sc603他是这1万30万全部办齐，说实话就它。
[04:06.500] 他就拿跟浩哥说了吗？
[04:09.620] 没跟我哥说快。
[04:11.780] 跟我的话
[04:13.080] 我过来了。
[04:14.630] 好，你不能靠绝对不高，反正价格自缢的现场多少钱？15 15。
[04:20.290] 这1000家。
[04:21.510] 原价是10万，你跟谁说了谁也没说你330，
[04:25.940] 最后必须说这事儿是多大。
[04:29.280] 人家都
[04:31.290] 原价9万。
[04:32.460] 签下之后。
[04:33.620] 不是95。
[04:34.780] 15 18 5倍。
[04:37.840] 所有的
[04:42.390] 看看的。
[04:57.770] 现在开始电话后面那波。
[05:01.270] 看出来了。
[05:15.080] 开始
[05:18.520] 的。
[05:22.280] 上
[05:25.260] 坏
[05:26.670] 场
[05:36.760] 数据。
[05:39.270] 的
[05:48.730] 远。
[06:01.010] 有水给你弄点水是吧？没有不用行。
[06:09.040] 是这样的，您说了有十几个人，这十几个人都上哪的牌照打算？
[06:13.410] 就是空白区域的空白去哪？
[06:16.460] 有河北的河北、内蒙、山西。
[06:23.030] 您这是从网上自己组织的是吗？
[06:25.330] 对。
[06:27.050] 当然如果我这边不靠谱，
[06:29.430] 不是说跟你来这，我明白您的意思。
[06:34.680] 您就先帮我算算，咱们看看怎么研究，把事情办您说的是32万全办完落地是吗？对。
[06:43.710] 32万落地。
[06:46.830] 看一下原价是。
[06:49.040] 百90,900的原价。
[06:52.480] 河北您自己也买的是吗？相当于是河北、河南、黑龙江。
[06:56.880] 吉林、辽宁、
[06:59.020] 联盟我有你那个空白，您看看得还挺好的事都属于北区的，对。
[07:04.790] 对，因为咱们别的大区咱们一般也都卖不了。
[07:07.880] 对。
[07:10.850] 你看一下对。
[07:13.790] 如果按您这种算法的话，我们稍微一下。
[07:16.960] 32000。
[07:18.920] 290。
[07:21.400] 他接着80亿多80。
[07:24.120] 你听了吗？
[07:27.090] 到时候跟小心要中间号的。
[07:30.050] 真的吗？
[07:34.310] 我看看这事就有可能吗？
[07:36.540] 一般像这款车的购置税据库的话在26,500评估，
[07:42.110] 保险预估在1万。
[07:45.150] 300，然后。
[07:47.890] 的钱没有了，保险应该是在7000多左右，我大概先这么一波救我。
[07:53.350] 区别这样算了。
[07:56.760] 减去2650年。
[07:58.810] 减轻
[08:00.040] 过度
[08:03.170] 天启2050年。
[08:06.680] 预期就是想32万买办完事，如果比32万高也就不考虑是吧？
[08:12.300] 因为现在目前。
[08:14.200] 大家的心理预期都是造这么个，
[08:16.930] 因为大家为啥主管就是我明白了，像团购想便宜点，然后我跟你说是这样的，我给你看大概看一下您说的价格不可能办完。
[08:25.900] 现在我给您个建议一种渠道，
[08:28.260] 您可以联系一下沃尔沃中国厂家那边有没有可能从厂家团购中买？
[08:34.530] 店端肯定不可能做不到。
[08:36.820] 如果能联系上。
[08:38.590] 也可以从官网上直接联系。
[08:42.380] 沃尔沃有关网上百度都能搜到。
[08:45.670] 又克服什么都可以问。
[08:46.780] 了没有？
[08:47.870] 我就跟您说，在目前全国范围内，您说的价格办完是不可能办完的。
[08:53.460] 肯定卖不了你家的。
[08:54.710] 了
[08:57.180] 差的挺多的。
[08:58.350] 你看过2000。
[09:04.820] 3939090。
[09:09.260] 然后嗜睡其实优惠，
[09:13.490] 你如果优惠。
[09:14.540] A95,00095,000是你们底价对吧？95,000是295,900
[09:21.550] 00。
[09:22.660] 然后加上税的话就变成2 26,000了。
[09:27.770] 然后保险。
[09:28.930] 其实保险算了一下，应该有7200块钱左右。
[09:32.440] 然后这个价格其实除了一个3000块钱的啥对吧？您是外地牌吗？你外地本不用上，没有这个的。
[09:48.450] 29590+26
[09:55.160] 9
[09:56.840] 720。
[09:59.420] 3289。
[10:01.520] 32。
[10:03.030] 329,000100块钱就不错，对，你不用算，我现在就是说
[10:08.180] 咱们有没有什么办法，就是说我是正儿八经的带着酷客户过来吗？咱们想想。
[10:15.710] 办法有没有什么办法？
