[00:00.000] 守客流量，
[01:16.830] 你好，刘先生。
[01:28.860] 你好，销售顾问大卫我来接待，这叫我名。
[01:32.060] 第一次来咱们店是吧？对之前有过预约，现在销售没有，就今年太远了。
[01:38.850] Bc交圆的。
[01:40.490] 想看C系列的是吧？
[01:43.420] 数据的话都在12楼200
[01:45.940] 260
[01:46.990] 这两款。
[01:49.000] 我打的话都有开发商通知都可以。
[01:51.850] 明白是全国的是吧？
[01:54.290] 可以售全国，但是价格不一样，如果您是走北京以外地区的话，我们只能供试驾销售没有额外优惠的。
[02:01.820] 您是准备走哪？
[02:03.350] 我和两台。
[02:04.640] 好，河南您天天哪走？
[02:07.890] 我大概的跟您说一下，谢谢老师。
[02:10.430] 我上去了。
[02:11.770] 在干什么？我们也就是信仰，
[02:16.770] 要是走外地的话，就只能以跟这家销售，所以说
[02:20.760] 其实最好的建议还是问问当地发展什么价格。
[02:26.170] 我们那边什么价值，对，我先如果金马就是这么说一下，早上有一个人他们说做那种妈妈，
[02:34.310] 他在北京队，我给您大概的说几个途径，您自由
[02:39.610] 总考虑一下。
[02:41.540] 看车之前奔驰有服务公约，不耽误您时间，简单的给您念一下，对客户为新ed将在诚信经营、合法得体、明码标价、公开透明配件渠道进行公示，
[02:50.280] 绝不捆绑销售强制消费，绝不使用假借一次通航，下午咱监督电话40088188130接听，
[02:56.350] 对奔驰现在还是行业内第一个承诺不收取金融服务费的现在。
[03:00.270] 他是这么回事。
[03:02.730] 国家是不允许所谓的有区域限制的，所以说奔驰也是有这方面规定，我们是没有所谓的说
[03:08.650] 我哪儿是不是不能卖什么的，但是它会有一个价格区别。
[03:12.590] 打比方我车上廊坊搁廊坊买车，说白了它还不如来北京买车，
[03:17.460] 对吧？你去廊坊买车到得去保定，
[03:19.950] 要么就去石家庄，
[03:21.670] 其实它跑的更远，它可能扭头
[03:23.950] 20分钟一进城就在通州各个4S店就到了。
[03:29.950] 所以说但是这种情况的区别就在于，如果您上外地牌上的不是北京牌的话，我们的销售价格是不一样的，我们所有的优惠价格都基于是精彩。
[03:39.640] 对，所以说两个途径对于您来说是相对比较靠谱的。
[03:43.250] 第一
[03:44.000] 您车是在哪？用车是在北京用吗？还是老家用？本身就在老家，第一先问问当地
[03:50.610] 当地优惠的什么价格，比如说你像C系列的话，咱们北京的话现在优惠基本上都在64,000 66,000左右，
[03:56.920] 对吧？你比如说当地可能优惠差不多4万块钱5万块钱，
[04:00.200] 其实说实话就没有必要再去来回这东西。
