[00:00.450] 2020年7月2827 29号张良客户
[00:04.340] 侨福将交出录音，
[00:13.250] 句
[00:20.120] 数据。
[00:24.950] 吗
[00:27.050] 好。
[00:38.730] 张先生，
[00:39.920] 身份证您这样拿着咱拍一照片，因为一会车上有一个密互联的功能给您激活一下。
[00:46.360] 您等会我先把这弄着蒸白紧张了，这怎么办呢？
[00:51.290] 我这刚才录了
[00:53.050] 人脸识别
[00:56.580] 凭使用前置35秒录了，
[01:01.210] 1点开始都是这还是路咋还露，等会儿。
[01:09.940] 正在展出了。
[01:12.480] 把它交出来。
[01:13.530] 这说明没准你的光不行，光线不行，
[01:18.570] 走别U盘，那不是有一个对勾吗？
[01:22.280] 你先
[01:24.120] 光线不
[01:25.480] 先那边尽快了。
[01:27.620] 太凉现在录没事。
[01:31.630] 等5秒。
[01:39.470] 在车上了吗？
[01:42.630] 因为上传
[01:47.720] 直接过去。
[01:50.160] 没走。
[01:50.960] 不跑对。
[02:29.570] 别回打死。
[02:33.950] 太近了。
[02:44.050] 好勒，谢谢。
[02:45.680] 听不忙，
[02:48.090] 没到忙的时候别着急，
[03:05.490] 太精明了。
[03:09.760] 不按照他那夜走，底下不是有一夜对。
[03:15.280] 清楚。
[03:16.870] 按这走，对按这种。
[03:25.680] 对
[03:37.090] 对。
[03:41.060] 这边建楼牵头这样就成功了，还有了。
[03:46.650] 先别退看一下。
[03:48.830] 那就完事了就没事了，行。
[03:51.400] 身份证您拿来我也给您拍一照片。
[03:55.650] 真正
[04:17.120] 可以了。
[04:18.920] 我姓周附近，负责您这车的功能介绍。
[04:21.930] 咱买的是一三百的黑车，棕内是车加号554
[04:27.440] 588在这儿。
[04:29.760] 跟您那初始合同都是一样的。
[04:31.990] 确认一下。
[04:33.490] 这关键是确认过了是吗？
[04:35.440] 慢慢确认了，没问题，哪位主要在做副驾，因为坐后面咱们讲一下功能。
[04:41.120] 之前您开过奔驰车辆吗？
[04:43.050] 没开过。
[04:53.240] 跟你。
[04:53.890] 这个需不需要下载一个远程体重？
[04:57.850] 完事我进屋会给您激活me互联。
[05:00.930] 一会儿完事定一个客户面访签几个字就行。
[05:04.480] 首先您这车的话无钥匙启动是标配，咱这要是在车里踩着刹车，按一下启动键就行了，就打着了。
[05:12.510] 座椅的调节。
[05:15.080] 都在门市，
[05:16.690] 在这前后高低底下这大鸟。
[05:20.620] 这个小鸟前后推，你看这座椅它是可以放长的。
[05:25.880] 增加师生对。
[05:28.350] 包括您对应的靠背头枕都是电控。
[05:32.040] 这也是头枕，对上下青，
[05:34.510] 上下对折，
[05:36.430] 调您自己位置合适了，按一下M对应的数字，B1声以后这位置就锁定了。
[05:43.980] MN数字长按数字，
[05:48.630] 按哪个数字都行，高兴。
[05:51.980] 长按对您先按一下M再按数字按完了。
[05:55.850] 数字
[05:57.240] 听到第一声了吗？这个位置就锁定了，就锁定，比如说这位置现在别人做看
[06:03.410] 变化了，
[06:04.640] 您按自己存的位置他就复员回来了，社三组你就不用来回老调座椅了，一人挑一位置就完了，前排都有加热，冬天用的很多手动的简短关闭，可疑是副驾调节点亮以后，我在动作也就是您的了，
[06:21.560] 方便司机帮助优厚调座位，不亮灯条自己亮灯条副，
[06:26.930] 这些常识手指开车公共一样，中间上面那件收镜子洗车机错车您摁一下就行了。
[06:35.180] 按量左边。
[06:37.070] 调节的是左边，镜子是脚扎了4个小镜头，您上下左右定一条位置就行了。
[06:42.310] 量右边调节的是右侧也是对应的一样，
[06:45.780] 4门玻璃都是一键升窗，但是您这车的后台咱有电动遮阳帘，第一下先往玻璃关上，
[06:52.670] 第二下
[06:53.630] 张连关闭下的话，先下张联合下玻璃都是两下操作。
[06:58.970] 下面的硬件您点亮以后，后边的乘客就动不了，剥离了小孩的时候想着点厕纸就行。
[07:05.640] 后备箱门子上金属件，
[07:08.320] 往后蹬一下就打开了，
[07:10.360] 往前按住别撒手就关了，本身是垫尾，咱不用下车，
[07:15.790] 别关上。
[07:17.500] 车辆的大灯，左手圆圈这个区域，这小竖线指向AUTO代表自动挡，
[07:23.470] 首先光线不够这大能够自动开启，平常不管您进隧道下D库房擦黑大灯都不做任何操作，
[07:29.860] 感应式开启就搁在这儿不动了，这个是雾灯，雨雪天您摁一下开的同时，
[07:35.430] 橙色小灯要提示您，雾灯
[07:39.870] 右侧这个小旋钮上下传是这两个仪表盘的亮度明暗变化，
[07:45.460] 手刹是底下这案件，
[07:48.020] 平常不用管，为什么？
[07:50.050] 这车是电子手刹，
[07:51.460] 首先仪表盘对应红色线圈，P这是手刹标识，您看我挂档的话，
[07:58.280] 给一点油它就自动解除了，看到吗？
[08:01.080] 对自动就结束了，对停车您是不是得摘到P档？这个是P挡摘到P档以后，咱们灭车祸，您致电一开门，咱们看着手刹
[08:11.650] 自动就上。
[08:13.230] 所以平常大灯手札这两项都不用管，全是电子的。
[08:18.850] 放盘左侧咱们有两个胆敢，第一个长的集成的功能转向灯一样左右，
[08:25.150] 雨刷变成左边那小三角了，
[08:27.800] 只向玲现在是关闭，
[08:30.140] 下不下雨都不刮，
[08:31.940] 虚线这个是感应胆开的话往上引指向虚线刮一次，下雨它会自动刮刷，不下雨不刮刷，这是感应第二个速度比下边块也是感应胆，
[08:42.810] 单实现双实线强制慢速度一直
[08:46.920] 快速突击直观根据需求去选择就行了。
[08:49.780] 玻璃水咱N键您按住别撒手就行了，对黄人是不是low回来闪两下，表刚推出去这都一样。
[08:58.500] 方向盘也变成电动调节，左边胆敢下边这还有一个短胆敢，一个是前后，
[09:04.360] 一个是高低，根据习惯调整就行了，对中控的话也简单，
[09:10.030] 这三件您记住了，控制的是左边那个屏幕，这三控制右边
[09:15.480] 这小房子都是主界面，
[09:17.330] 左右
[09:18.740] 按滑动黑色按键就是触屏控制，直接划就行了，选中以后摁一下就相当于全身浸入了。
[09:26.260] 比如说轮胎缺气，会有T恤，
[09:29.210] 快到保养会有提示，冷却液机油对应确实都会有种能告诉您。
[09:33.850] 左侧是返回，
[09:35.640] 行程是您这台车的基础信息，这台车里程28.8上下滑动，
[09:41.090] 蓝色剩余油量咱还能跑100公里，平常您驾驶习惯的一个记录，
[09:48.010] 百公里油耗平均速度驾驶公里数记录，
[09:50.800] 总理成交和驾驶员工业设计楼当前速度
[09:54.380] 在看导航收音机媒体变化这4项和右边
[09:59.390] 完全一样，
[10:00.580] 待会右侧做介绍。
[10:02.300] 样是指的仪表盘的风格，现在是经典蓝色的，根据您的喜好，然后换成运动黄色的，
[10:08.920] 或者前卫单仪表盘的都可以，喜欢哪个界面自行去切换就行。
[10:14.450] 一般就搁在行程里看些基础信息，
[10:17.360] 档位的变化稍微大一点，他是在这儿怀档的设计提示都在不陌生这跟腱，记住就是P档的。
[10:25.870] 对挂档自动挡车都得踩刹车对吧？不惨也挂不上踩刹车往下，
[10:31.290] 党为跳转给刘手刹解除，咱们雷达会在哪出现呢？这
[10:37.210] 一进了他就自动蹦出来了，
[10:39.490] 离前面这颜色的黄橙红您离得越近，看小盒的颜色越深的红格亮警报响，现在车距30公分，
[10:48.360] 红歌一辆咱就不动车了，到达杠杆往上推到底，
[10:54.600] 倒影出现
[10:56.700] 黑色的这很明显是后-8。
[10:59.310] 这个对吧？
[11:00.960] 这是后杠吗？这是红线，是您停车临界点，
[11:04.490] 内侧这两大宽线轮胎这俩宽一阵走，
[11:08.960] 左右两个细黄线是车宽，后边现在是不是玻璃门？
[11:13.120] 对吧？咱什么时候就不能到了，您看这条红线上了玻璃门，
[11:18.410] 你看雷达也提示红线上，
[11:22.170] 再来一丁点，红格亮着杠铃，后面就这么样，
[11:25.720] 您再到这刚可能贴上了，记住红红线上食物就可以了。
[11:30.560] 这车左右4个门两边哪一进来都会有这种提示，
[11:34.860] 就记住红歌只要量咱就不动车了就可以了。
[11:39.080] 停好车需要做的就是直接按一下驻车P
[11:44.010] 然后列车就行了，看这手刹，
[11:47.640] 锁车离开就结束了，都是电子的。
[11:54.520] 这个大屏幕首先开关是这个文件，您用按一下打开它不用了，关了就完了。
[12:00.640] 对，这是屏幕操作的话，刚才说了介绍这三件，还有中控都是控制右边屏幕的。
[12:08.400] 这小房子和这小房子是右侧屏幕的主界面，
[12:12.400] 刚才教您了左右滑动点击确定这个是一致的，
[12:16.720] 跟这是一样，但是不能通这边，对这样只能控制左侧，这两个控制右边。
[12:24.150] 导航、收音机、媒体电话，这是中文对应的英文导航、收音机、媒体电话上下是对应的，
[12:31.490] 原车导航是自带的，使用的话也很简单，
[12:35.740] 待会进屋给您激活这两个功能。
[12:38.790] 这叫me互联，这车里有一电话卡，一个内置完了激活以后，明天这两个案件您就可以用了。
[12:45.040] 首先这两个键您一按它会自动接到奔驰的服务后台，会由人工来接电话，
[12:50.080] 右边的me标识是一个信息咨询件，可以帮您干嘛，比如说想订机票酒店餐厅查询兴趣点，
[12:58.170] 导航的预设定，旅程的咨询服务，或者说您这车抛锚走不了了，道路救援都是右边这一个，
[13:05.200] 导航怎么用就按一下它人工接完电话，你就搞目的地告诉他就行了，
[13:09.790] 早盘就发过来了。
[13:11.230] 这屏幕会显示中国人是否进入导航，一个是一个否选择试点，确定导航自动就开启了。
[13:17.650] 不是后台是供应规划的。
[13:20.190] SOS这个案件介绍一下是紧急呼叫键。
[13:23.630] 行车过程中假设遇有人员受伤或是紧急情况，
[13:27.600] 安洁红冲链接后台120自动链接尽量不去占用，问路都是右边，
[13:33.530] 一会金融激活收音机调频都是存好的，
[13:37.350] 上下滑动快速切换就行了，当天能搜到都会有，但是按照顺序排列好的看到自己的这叫张吉金亮哥这金属件上大下小，
[13:48.550] 这也一样上大下小，把您电话拿出来，来电话我已经列上，
