[00:09.230] 你好。
[00:10.260] 周女士是吧？周女士你好，我是这边销售，我叫高杰名片。
[00:14.580] 谢谢，好好，好的，接下来我负责接待您，好，谢谢您第一次来咱们店什么奖？
[00:20.500] 第一次来我先生想考虑一下这个车，他让我过来咨询一下，对大哥出来。
[00:30.070] 他比较忙，因为他时间不太什么比较紧张，需要喝点什么有产品的话费。
[00:36.780] 先介绍，谢谢老师再说行了。
[00:39.780] 之前有了解过这款车吗？
[00:42.460] 可能他查的比较详尽，就是说对我只是表面这是今年新款对。
[00:49.790] 2.0的号牌照。
[00:52.720] 然后别的
[00:54.220] 可能技术参数我就不太懂，大面的知道这个车细节的还是不太清楚，考虑家用是吧？
[01:01.270] 对家用。
[01:03.480] 置换吗？还是中间有一辆旧车，现在开的拿什么交换？
[01:08.480] 就是置换拿什么车换考虑？
[01:11.020] 这个车有什么关系吗？只要是北京牌不就行，对有影响，如果置换有解决的有补贴吗？
[01:17.290] 不停的品牌都品不一样的，品牌不对是沃尔沃的品牌，不是这是什么大众的是什么型号？
[01:25.780] 速腾很旧的一辆就想把换掉，大概
[01:32.390] 08年都说了，
[01:34.890] 已经12年了，正常的如果不是war的年部门分配
[01:40.890] 东西，
[01:42.030] 除了车辆之外，我买的一共有一个
[01:45.540] 1万次。
[01:46.420] 1块4就算这个补贴不是那个车的车架，是您车的钱是车的钱，补贴是在
[01:53.150] 新车上直接给您检查，如果没有他就没有这个颜色，目前这个车现在终端优惠大概在145,000左右，不算那14,000。
[02:02.250] 终端优惠。
[02:04.480] 您刚才说
[02:07.420] 不同的品牌给如果没落的车应该是沃尔沃可能
[02:12.720] 我跟里面的指标，
[02:15.160] 这么一只要莫尔默的品牌就可以给贴026，
[02:20.750] 其他品牌就1万岁，对，所以说问问您是什么品牌，那车也是大哥开始上下班开。
[02:26.200] 基本我现在用了他开别的车，他现在这个车给谁选？
[02:30.370] 将来他开新车我也看了开不好，技术也不咋样，把他批下来给我开。
[02:38.650] 他还有
[02:39.960] 主要是上下班的同时对是7个坐车是吧？个坐车的。
[02:45.890] 这个做将来比如说要是家庭出游什么东西。
[02:49.000] 对，平时咱们有就是说出游的业余爱好是吧？
[02:54.190] 对。
[02:56.200] 不错，原来他现在开的是讴歌，讴歌也是7个座MDS
[03:02.350] 对歌然后
[03:06.650] 想买个什么价位的，因为车配置比较多，我知道他说的是那叫什么指导价还是叫什么，我知道指导价69090 690,900对。
[03:18.640] 对，那款车现在大概加上优惠落地在60万左右，
[03:22.700] 落地69万多，对，如果1010多万，您再加上购置税保险乱七八糟的。
[03:30.370] 行没事，你先大概介绍一下咱们，不然你给我拉个单子，行，我先帮您介绍车型。
[03:36.760] 大概您这边我也了解了，咱们是有一个俗称置换案中一个家用和签证买之前的solo视频，发现
[03:45.030] 你大便的对。
[03:46.740] 平时有这个原因，就是出行的一个原因。
[03:50.100] 这家由他的要求，
[03:53.340] 机构就实际上不会说总不能满园的，谁知是
[04:01.290] 考虑以后。
[04:03.880] 这个不是，就是说如果契机和时间不合适就很不错了，对看情况。
[04:09.550] 行，我帮您介绍。
[04:11.440] 您眼前看到的这台是774,900这一块，这还能跟690,900的，首先咱们从外观是完全一样，
[04:20.050] 尺寸轮胎都一样，可能功能不一样，主要的功能还是一样的，他就差了一些细节性的东西，咱就介绍一下690,980，因为没它让
[04:31.970] 就了解这个了，成我给你介绍690,900那款，690,900那款是
[04:37.820] 叉C90的T6之1豪华版，
[04:40.600] 完了之后它搭载的是一台2.0T的发动机，
[04:44.030] 然后他是320马力400牛米，
[04:47.400] 发动机相当不错，那款发动机是连续三年获得全球沃都是家的一款发动机，
[04:53.370] 完了匹配的是一台爱信的八一体变速箱，爱信的品牌也是换档清晰，
[05:00.580] 完了之后皮实耐用著称，
[05:02.690] 玩搭载的是一套博格华纳的四驱系统，朝鲜四驱这个司机是一套全时四驱，
[05:07.900] 不管是应对城市路面还是这种复杂的简单的这种跃龙都可以游刃有余。
[05:13.200] 完了之后咱们这个车
[05:15.840] 全系标配茶杯，90全系标配ct CD城市安全系统，
[05:20.190] 主动刹车，比如说咱们开着开车，有的客户他玩手机什么的，前面刹车了，
[05:26.970] 他没注意到如果即将发生危险之前，车辆会主动帮您刹车，如果有条件B站的话，她也会帮您避障，
[05:34.440] 那就岂不是如果这辆车就不会存在追尾的，有概率有变化会有概率。
[05:41.210] 如果说您驾驶证习惯就跟车跟的很近，即使他采取了刹车也抱死了，咱们人为的就是这种
[05:49.540] 踩爆死，您很注意得很精细化，也有可能追尾，这是概率性的东西。
[05:55.230] 不能完全系统不是能自动刹车，但是它是以人优先，
[06:01.270] 以人优先，比如说有的客户他开车开得很近，
[06:04.400] 即使前车刹车，咱们同时彩超也会发生追尾，这种系统可能也反应不过来，对它是以人悠闲，他会以人优先，就是你人为地加油门，我不会干预你谁开车，
[06:15.010] 因为他不知道你要采取什么措施，不好意思，我你这短信没事，您再
[06:23.210] 没事多少。
[06:24.120] 然后我继续给您讲，完了之后咱们日益的版本就标配了领航幅度和ACC自适应巡航系统，北航辅助就是一套L二级别的自动驾驶，
[06:35.330] 咱们在高速上只要你拍AC打开领航辅助到郊县清晰的情况下，它会顺着您的到郊县
[06:41.970] 加速减速拐弯都能自动完成。
[06:45.000] 然后再配合咱们城市安全系统主动刹车这套系统，它可能做到很完美的一种就是R二级别的自动驾驶，
[06:53.590] 像您跑高速的时候，它完全可以解放您的双手双脚。
[06:56.720] 这巡航定速不就是
[06:59.160] 那是定速这个叫什么？这个是比他高两个级别，因为定速巡航上面有一个自适应巡航，
[07:06.290] 定速是您额定载80他不会加不会减，
[07:09.340] 只要你一家一点他就破解了，然后比它高级的是ACC自适应巡航，
[07:15.070] 自适应巡航是名额定在80，前面有车他会刹车，
[07:18.820] 前面没车他又加速到80，
[07:20.930] 这是自适应巡航，
[07:22.730] 但是他需要跟着一辆车，前面那个车是80就一直跟着他走，不会出到没有参照物，对，他会跟他雷达
[07:29.830] 跟着他走。
[07:30.860] 完了之后咱们现在更高级的是领航辅助，即使前方没车，他也会顺带他到郊县这种您设定120他就一直120跑，如果有车并进来了，
[07:39.660] 他就会刹车。
[07:41.100] 这个适合就是跑那种长途很长的不用拐弯，大致套拐弯他也会完成，
[07:48.300] 他会拐弯就拐弯，跟着那个就行，拐弯对跟着到郊县到郊县，到郊县要拐弯他就管了，到郊县必须得倾斜。
[07:56.670] 为什么说比他高两个级别，AC是不会改变的，就顺着您的险一直都您自己付的方法，比如刹车油门不容易，也就是解放脚了，对，然后领航辅助是双手双脚都解放，但是您说说必须抓住方向盘，因为中国有法国双手不能离开方向盘，
[08:11.250] 这是咱们的高科技的一些配置，
[08:14.120] 完了之后还有咱们做的一些环保的配置，比如咱们车载牵引场地，
[08:18.310] 这台车虽然跟那个车有点区别，它主要的就是你能看到的区别就是音箱不一样，座椅的材质跟形状不一样，
[08:25.810] 他这个是没有推脱注意的，就是6909它不能展出来，
[08:30.750] 完了之后工作台没有包裹皮革包裹的，咱们这个展车没有69090，对咱们战队应该高开了，然后大腿形状是一样，广告您可以坐到车内踢过去，咱们车内的味道特别
[08:44.010] 也有着皮子会对咱们正常的皮子不是那种刺鼻子的味道，就没有那种有害物，对，
[08:50.840] 因为咱们车内使用的全是环保材料，
[08:53.560] 像咱们顶层用的是A类这种婴儿贴身级别穿的级别，
[08:58.690] 都是环保的材料，像这些礼物的时候要建设绿色PVC做奶瓶级别的，
[09:04.250] 包括咱们这些金属的拉手什么的，全都文件销售处理，就是防止婴儿妇女对他来过敏，因为很多婴儿跟
[09:11.690] 金属的共
[09:14.270] 完了之后，咱们这个车是有一个职能的
[09:17.510] 控制空气控制系统，
[09:19.500] 当您卖车外温度高于10度的情况，您解锁的时候，它会自动打开外循环，把车内污浊空气抽掉，
[09:25.980] 等于他可以自己换新风，对放弃，不用手工调节了。
[09:32.590] 对，您按遥控器的那一瞬间打开的时候，您不用拉车门，你就会听到风机屋在想，他就把您这空气给抽走了，温度。
[09:41.370] 功能激活是需要车外的温度，
[09:43.670] 高于食物高于10度，它换来了新风，它是不是也要有过滤功能吗？从外边室外的致意的是没有乐事雅的还有之一，没有，对，他只是把新风换下来，
[09:55.430] 但是没有过滤功能，对，但是它可以监测，内外循环可以监测，如果外面的空气不好就往里抽。
[10:03.250] 这样的对你像咱们质疑的，它标配的也就是全赢的。
[10:08.860] 12.9英寸的红外线触控屏确定填充着红外线触控屏，
[10:14.990] 即使您戴手套都可以抽空
[10:18.090] 对兰州市
[10:19.700] 用的是L一打灯，LED尾灯，然后也是一个清热的布局，
[10:24.870] 跟定价方面是一样的，就是软膏性的性质不太一样，包括您这种程度的舒适感其实没太大区别。
[10:35.290] 周姐之前试驾过这个车吗？
[10:37.800] 没有，今天考虑试驾吗？
[10:40.050] 今天就等我先生可以，因为主要他开
[10:45.650] 打开我试驾，我说怎么样还得看他的对他体验，然后大哥是比较喜欢东西。
