[00:00.160] 黄厂长。
[00:01.400] 手术刀片
[00:07.960] 号。
[00:11.930] 远。
[00:13.920] 你好。
[00:18.570] 远
[00:19.760] 的。
[00:28.290] 冒昧问一句，这有一个销售是短发女孩，原来京宝行
[00:33.320] 叫什么我给忘了。
[00:35.280] 有吗？
[00:36.340] 销售女销售。
[00:37.410] 有吗？现在你。
[00:38.780] 销售、
[00:39.570] 看
[00:41.310] 各自
[00:42.610] 更高吗？
[00:43.770] 跟我差不多，应该瘦瘦的白白的，长像男孩似的。
[00:47.660] 我跟男孩性格庐山对在吗？
[00:51.550] 应该是在的。
[00:52.990] 认识一起的是吗？对，我跟他一起的独山玉。
[00:57.320] 可以吗？没问题可以不好意思了庐山。
[01:03.480] 你贵姓？
[01:04.440] 姓柯。
[01:05.340] 郭女士您先带他给他看看宝马是吗？
[01:08.650] 我们原来在忙同事。
[01:11.890] 庐山，然后
[01:17.010] 12万都30多吗？
[01:18.760] 庐山庐山。
[01:25.350] 庐山。
[01:29.840] 你干行政怎么样来着？结婚了。
[01:37.230] 也不一定网上就传。
[01:39.290] 所以我说找徐酒。
[01:41.350] 您好，您拨打忙着了，要不您先忙您的等会您帮我我跟前台去说一声，我说行麻烦你了。
[01:52.520] 你电话说一声。
[01:53.800] 185851985的电话不1851985
[01:59.730] 2502。
[02:01.630] 行，聊你们是。
[02:05.430] 就涡阳。
[02:06.990] 波太阳的阳，涡阳骏宝行了。
[02:11.610] 您忙不好意思了，他脸色瞧，原来金宝华同事叫涡阳，还记得我吗？
[02:17.750] 我刚知道你在
[02:20.950] 光了。
[02:22.610] 山我涡阳还记得吗？经办行的我过来看车来了，我刚才出去聊天说你在这
[02:30.550] 方便了方便接我。
[02:36.750] 你电话。
[02:40.180] 我真不知道，我是刚才给我树立，
[02:45.660] 跟他谈谈，
[02:47.290] 我就在第二餐厅二手车听，我在二手车听。
[02:52.910] 好好拜拜，一会见。
[02:56.040] 不好意思了，答问题，谢谢。
[03:12.830] 庐山原来金宝行的客户，建行同事，现在找卢珊接待了
[03:21.950] 场
[03:26.860] 对
[03:30.690] 你了不行了，看见车架号多少？
[03:34.600] 哪个车？
[03:39.510] 的。
[03:41.560] 我一下看电话。
[03:48.310] 概念小坡。
[03:50.080] 车上不是有吗？是捷达不有吗？
[03:55.080] 然后拿屋里了。
[03:58.520] 明天
[04:02.490] 跟我说说场
[04:07.080] 的
[04:28.120] 场
[04:32.040] 花。
[04:49.870] 的
[04:53.650] 的
