[00:00.080] 谁知
[00:07.160] 老百姓
[00:17.870] 车里有贵重物品，您收一下手机现金零钱。
[00:52.030] 钥匙在你那儿吗？
[00:53.600] 我看一下给你送。
[01:35.010] 行，待会到屋里给您报个价。
[01:39.270] 钥匙。
[01:40.800] 有的时候我不好使，就算没电了是吧？现在还有电，这个灯不是电视没问题，没问你是要什么车是有问题，有的时候一所他锁不上，要不就开不了，是离的太远，我说
[01:56.840] 进就这个位置它就是有问题，让我看一下电路修过了，之前要是弄过一次没弄好不，
[02:05.210] 你要是看衰过一点就行了。
[02:07.760] 都已经撤了。
[02:09.710] 这个应该是往里插的锁对吧？他不是这可能掉地上了，
[02:14.910] 因为他就是芯片，它是跟干扰有关系，如果在这边在我们这测试没问题的话，就可能是您当时的位置会有信号干扰，
[02:25.560] 或者是手机长期跟钥匙放到一起，行，它会干扰等着帮忙看一下，因为电脑会做检测，但是您说要是
[02:34.890] 反正目前如果测试正常，这个也非常不太乐观，定性车的话一般很少遇到，因为它是红外接收的吗？
[02:43.240] 卡蓝牙您那把钥匙带了吗？刚才？
[02:46.040] 可能之类的，因为要测试钥匙的问题是需要两把钥匙都要带过来。
[02:50.390] 那把钥匙用过吗？
[02:52.810] 用也用是吧？
[02:54.710] 您可以换那把钥匙是。
[02:56.760] 如果也要喜欢我两个人开。
[02:59.430] 不是说只一直用一把药，我知道两两把钥匙都在用是吧？
[03:05.480] 你帮我看一下，反正是有点问题。
[03:08.350] 之前他好像在哪个位置给我动作，我就觉得自然他动完之后这个药就好使
[03:15.540] 了，中。
[03:16.840] 修车灯还是修什么呢？
[03:18.740] 应该跟着人员没关系，他发明，然后他上次检修是我的天窗有点问题。
[03:26.790] 你们这在帮看，因为上次我着急马我就没有让他再进一步看看，我看一下您前面能开吧。
[03:32.610] 我第一年没动过这套，他就说这天装电脑检测说可能
[03:38.410] 拍它就关不上了，
[03:40.670] 我开也关不上那车就留着了茶。
[03:43.960] 是，所以这次就查了，上次就是一下拉鲜超市，
[03:49.270] 一下
[03:53.030] 他说电脑点突然告诉他有这问题，
[03:55.760] 但是他都没有敢试。
[04:10.510] 不知道她上厕反正
[04:13.060] 检测恐慌。
[04:16.080] 不正常开关也没问题，也行可能你这个滑轨清洗过吗？
[04:21.880] 要是没清洗过，
[04:23.570] 做一个清洗润滑。
[04:26.330] 没开过，那要不你要不怎么用就别动了，行那先别闹了。
[04:31.940] 因为天天要有问题，修比较麻烦，一事比较麻烦也比较贵。
[04:36.820] 屋里您稍坐一会给您全在张。
[04:41.720] 不是。
[05:02.040] 刚刚
[05:03.190] 个人上班。
[05:05.670] 然后经过。
[05:08.690] 您这款车现在
[05:11.200] 这个月有一个保养套餐活动，
[05:14.510] 您看看建议您可以考虑买个保养套餐，
[05:18.480] 因为您这车出三年了，有一个保养的优惠。
[05:51.060] 走
[05:52.100] 的。
[06:17.000] 现在您这款车
[06:19.170] 咱们这个月的活动2A2B4次保养3400。
[06:23.460] 3408，这是一种非常便宜的价格了。
[06:27.280] 你说好像三三次是吧？
[06:31.390] 我想看看钱，
[06:35.040] 您正常做A保得1000差不多1500左右，
[06:39.510] B一把比A版要贵个3~400块钱，因为B比A把多余空气滤芯
[06:48.890] 然后是两两批，对，现在是一买就4次，那就是4秒的，如果你要是开的少，就一年做一次，要拍的多就1万公里。
[06:58.170] 然后它是包含的只是基础保养，
[07:02.060] A保咱们这次换机油机滤。
[07:05.560] 然后B宝就是机油机滤空滤，当然比如说其他的定期磨损现象，什么轮胎刹车片这些，
[07:11.620] 额外你要想换到需要换的话再额外支付费用，那是篮板基础车参与对基本上都是这些，因为像空调律师是不含在这里边的。
[07:21.600] 你比如说空调滤芯空调清洗这些其他的养护你要是需要做，那都是额外收费的。
[07:27.500] 比如只做基础的，咱们这个是最便宜的，现在打完折就是3400。
[07:34.530] 想看看A宝都是什么，他是这样。
[07:38.080] 看一下现在厂家做的，这是现在建立在做活动，
[07:42.230] 两位两地3408和4748
[07:47.300] 800多块钱一单。
[07:50.110] 目前是性价比最高的，然后是现在办理是
[07:55.160] 赠送清洗水箱和一个原厂的精品。
[07:59.340] 远场提醒，
[08:01.100] 雨伞或者是。
[08:04.090] 水杯或者是雨伞，好没事，我以为是
[08:10.090] 在这么一个宝贝，不因为这已经很便宜了，所以现在客户基本上都会选择买这个了。
[08:16.290] 这次就是帮您做一个A宝，然后您还运流的是两个必保和一个医保，
[08:25.440] 比如说下次必保，
[08:27.980] 换机油机滤空滤就不用您再花钱了。
[08:30.340] 然后比如说你想换个空调滤芯，就是在单单付费就可以了。
[08:34.960] 用对石油卡的事，这部分油画。
[08:39.600] 号
[08:42.850] 组织的健康茶道也不小，有多久了，变速箱油厂家要求是4年或者6万公里，
[08:50.760] 你看他换过吗？您这车没换过。
[08:54.910] 您那车
[08:57.030] 14年。
[08:59.120] 快6年了5年多了，但是您开的太少了。
[09:02.830] 还有不少，对，拍得很少，开了的话
[09:07.300] 也行，反正因为您出保了它不涉及到保修了，你要是再保就是说因为您这车出保修期了，
[09:14.870] 它不涉及到保修了，所以这些不是强制的，如果你要在保，比如说三年之内您开了提前开过6万公里了，这些变速箱油是要求您必须要换的，
[09:26.220] 如果您不换出了问题就没有保修了，
[09:29.480] 但是您出了保修期就不是强制的，这是您自愿的，就是要说等到下次换也可以，对，这也不是说不可以，好的话无所谓。
[09:39.530] 不算理想。
[09:40.360] 您说什么？
[09:41.630] 的少，开的少，理论上说应该问题不大，但是。
[09:44.900] 由毕竟它也是有使用的时间限制，对。
[09:49.190] 反正尽早换肯定会好一些。
[09:51.710] 因为患病香油时间比较长得半天，
[09:54.280] 要今天没时间。
[09:55.980] 变速箱油我帮您。
[09:56.970] 看一下。
[10:05.680] 2000块钱。
[10:06.860] 20001947 2000。
[10:10.700] 上次的话今年上半年
[10:13.520] 年。
[10:14.550] 14年买的车您这块是吧？14年前三年基本没怎么开。
[10:22.450] 但是开放
[10:27.650] 您要不您对这次香会有影响。
[10:30.570] 对，他如果出问题肯定就是影响的是变速箱换挡之类的。
[10:35.580] 方法或者说没问题，也没有故障报警，就证明现在肯定是没有问题了。
[10:41.050] 然后这个东西我也没法给你保证说我正常时间可能会出问题。
[10:47.480] 你要是这次不换，你就下次。
[10:50.200] 就必须得换了，对我们最好的话了。
[10:57.930] 为0。
[10:59.860] 别的没了。
[11:02.190] 就太太
[11:06.160] 他那个待会就倒错。
[11:08.500] 你要能装就装，他极速达一个小时俩小时就到。
[11:16.440] 我跟他说的是明天取车，你明天休息，你怎么着晚上加班给他干了。
[11:24.220] 对没别的公司也多，你看着办
[11:30.120] 的。
[11:37.450] 谁知你看看反正不着急，我跟他说明天去上。
[11:45.390] 好勒。
[11:48.970] 变速箱和下次的话，
[11:51.520] 这次
[11:54.240] 购买一个AB宝ABAB
[11:56.960] 3408
[12:00.660] 时间的话预计下午3点左右。
[12:05.920] 您先回去。
