[00:00.000] 数据、
[00:05.440] 一。
[00:08.270] 数据。
[00:14.120] 要
[00:23.440] 闫江涛先生是您是吧？手机尾号4209。
[00:27.950] 好。
[00:28.600] 的。
[00:31.010] 应该有过看看。
[00:36.540] 钥匙在哪？在这块我都做完了。
[00:39.940] 我超越
[00:42.490] 给我。
[00:44.310] 给我爸不是给你的你
[00:46.560] 什么呢？
[00:47.620] 你可以打个飞机，所以我登完记我再给你，我就看上面的信息
[00:53.610] 号。
[01:11.160] 等
[01:19.780] 你说我
[01:25.650] 5万
[01:26.960] 远远
[01:28.330] 场
[01:32.420] 场
[01:37.110] 五
[01:41.120] 的。
[01:51.000] 还有
[01:58.710] 数据。
[02:17.680] 说
[02:21.500] 我不缺我先不说。
[02:25.070] 好吧？
[02:25.930] 我的眼
[02:36.780] 反正萧放着没事。
[02:40.410] 弄好。
[02:46.050] 咱们睡觉
[02:49.000] 说。
[02:53.910] 场。
[03:04.030] 您车架号公众表达的吗？
[03:06.970] 车里还有各种不想拿的吗？
[03:11.840] 的
[03:17.120] 新三出血。
[03:18.820] 差不多，具体我得看看那配件到货行吗？
[03:21.880] 对我应该怎么样？晚上。
[03:23.300] 反正。
[03:26.330] 休息。
[03:27.400] 几天玻璃三哥我要跑一次。
[03:30.650] 搞个场景行。
[03:35.690] 行，您在这坐会，我去把外观验一下。
[03:38.290] 你把给我等我这
[03:50.680] 的。
[04:47.720] 不用了。
[04:50.800] 因为。
[04:51.520] 这就坐后面把这复印完了看看。
[05:13.180] 现在公里数19694。
[05:56.160] 2000。
[05:57.580] 这两天的衣服两下
[06:11.390] 就在后门。
[06:14.270] 那天我前面不是肯定是水货，这肯定是扯别的。
[06:20.190] 铝门他。
[06:23.360] 这就是吕是吧？对S的春生豆里头除了后叶子板铁的其他的都。
[06:40.410] 这我可以不卸，不行不能查。
[06:42.700] 可以先不弄。
[06:45.050] 这个必须是商业大。
[06:47.370] 我就是叫那个店。
[06:48.870] 您上大夫车险了吗？没上的上什么鞋带不车险？
[06:53.780] 这也没上，但是我也不。
[06:56.410] 对，正好也能进入这修玻璃。
[07:01.960] 然后这个玻璃不接。
[07:04.580] 1万多。
[07:05.730] 差不多。
[07:08.480] 没报案的话可以上来代步车检连门带玻璃一块，
[07:13.300] 这玩意能挣5000块钱。
[07:15.490] 挣钱。
[07:18.230] 他说保险上完以后，
[07:20.370] 出一次险给您返2500的现金打到您卡里，
[07:27.770] 然后回到以后您要想修门墩的时候可以提前先上，因为上垫保险必须得等15天以后才能定损修车的。
[07:34.770] 那么当然还能挣点钱，我想着他的门完账期还好，还是现在不上带钥匙，最后要还，那个的话再在上面
[07:43.760] 上之前在那上一个显著的节目，对显示
[07:48.240] 多少钱上，那是1500 1500保一年，就跟您正常的保险费分开单独上单独上，对您他把钱打给谁？
[07:58.650] 他是上完以后必须等15天以后才能报案才能定损修车。
[08:04.000] 陶艺等来西没事没事再回去。
[08:06.590] 咱们在这旁边也太对，随便过来。
[08:15.580] 而且我这边
[08:16.720] 然后给您打张单子就完事。
[08:19.430] 我一会赶紧查这配件情况，估计S的玻璃我都没见过，店里有。
[08:25.140] 开收是限定的，
[08:26.760] 但是什么时候是
[08:29.850] 什么时候
[08:32.550] 给
[08:36.710] 安排一个项目的
[08:39.120] 行。
[10:33.790] 睡前再给您上网用我电话，有事您给我打电话就行。
[10:37.130] 可以。
[10:40.170] 我这边就没事，你让我签字，不用您签字给您的。
[10:43.960] 结果
[10:47.660] 没事了。
[10:49.030] 你开车过来接我一下，稍等一下。
[10:54.560] 这张看一下我的工作。
[11:03.110] 号。
