[00:00.000] 远场
[00:01.800] 黑。
[00:37.120] 正好看一下您的车。
[00:40.030] 有贵重东西吗车里边
[00:43.910] 了。
[01:11.520] 给我扫了就行。
[01:59.660] 钥匙在你那吧。
[02:04.030] 证件给您我看一下。
[02:11.310] 到时候卖点管了我，
[02:22.310] 启动正常请安全驾驶。
[02:27.360] 今年接待
[03:01.330] 全屋里您做了，给你填个
[03:03.970] 您的电话给您对一下，是18618124553对吧？
[03:20.760] 之前车主登记的是张继平先生，
[03:24.480] 他的电话
[03:30.550] 号。
[03:33.170] 1861
[03:36.840] 2527
[03:41.940] 二
[03:51.820] 真的。
[03:53.870] 您的车是第二次保养？
[03:56.010] 上次是去年7月份的A
[04:01.560] 去年做过一个微博的能延一下，没有今年不必
[04:06.800] 可以到
[04:08.750] 保险那边，
[04:11.510] 它系统里
[04:22.370] 场
[04:23.920] 数据
[04:29.290] 句。
[04:36.820] 这次正常做必保的话是
[04:40.390] 机油三滤，机油几率空里还有空调滤芯，
[04:45.360] 您是9月份买的车是吧？
[04:47.860] 马上go两年了。
[04:50.750] 刹车油两年换一次，您看这次换还是下次再换？
[04:54.470] 我换了给您报个价。
[04:58.880] 1~16号。
[05:03.310] 3万
[05:04.770] 以后
[05:06.520] 他教我没
[05:11.970] 你的问题。
[05:13.290] 我中午
[05:14.430] 哪能办，我没事。
[05:24.070] 谁知
[05:26.180] 这是一个B宝的一些项目，简单跟您说一下，首先是机油机滤空滤，
[05:31.500] 这是最基础的保养是1169，然后刹车油是370，
[05:35.770] 空调滤芯448，
[05:37.910] 然后换空调滤芯有空调的清洗，这是660。
[05:41.280] 还有换机油，一个机油，油路的清洗是710，
[05:45.160] 把这些项目如果全做的话，3366。
[05:48.660] 空调全面的清理是什么？就是清洗空调
[05:53.310] 通道，还有一个车内消毒。
[05:55.490] 因为您两年的空调系统
[05:59.270] 应该没清洗了，这次不是正好换滤芯，这两个人建议一起做，我也
[06:04.820] 能消除空调系统里边的细菌密码。
[06:10.850] 这个若干系统是咱们换机油的时候，把发动机里边的油机清洗干净，然后再换新的机油
[06:17.790] 和一瓶养护剂，就是延长发动机使用寿命，换机油换得会更干净。
[06:25.600] 基本上差不多5项，下刹车3366时间的话大概在两个半小时左右。
[06:34.820] 应该是在那儿一会儿中午中午再过来，行，然后我这边稍等，给您留一个取车单。
[06:41.450] 好。
[06:42.800] 您的保险上上完了是吗？
[06:45.280] 太了。
[06:46.390] 讲为了钱协助把咱们的房子这么
[07:00.870] 的
[07:03.860] 的
[07:09.070] 的。
[07:12.250] 对地铁没信号。
[07:24.870] 场
[07:27.080] 的。
[07:31.500] 数据、
[07:50.250] 没事待会再过来是吧？
[07:51.870] 一会行，那个车好给你打电话了。
[07:54.900] 这是取得。
[07:57.480] 车里没有什么贵重东西要拿了吧？
[07:59.890] 行，到时候等我电话就行。
[08:06.590] 可以。
[08:07.940] 行驶本驾驶本不用留了不用。
[08:14.160] 这使用
[08:15.470] 上市看来
[08:17.480] 保养你过朋友，您现在是这样，你得拿到保险，
[08:22.370] 他冲到系统里我这边才能用，然后喷漆您修吗？
[08:28.340] 还有一个分期。
[08:31.890] 看很难。
[08:35.260] 只能赔一次是吧？
[08:37.190] 他那写着几块？
[08:40.010] 两块。
[08:42.080] 要在那边是吧？
[08:43.880] 上保险。
[08:45.290] 您要修就给您送进去。
[08:49.070] 文章那么看看，
[08:53.050] 估计够呛，因为他那有钣金。
[09:03.630] 花、
[09:12.820] 场
[09:13.920] 场
[09:17.280] 数据
[09:18.270] 坏
[09:20.890] 场
[09:25.170] 场
[09:26.660] 场
[09:29.140] 五
[09:31.880] 数据
[09:34.330] 第
[09:37.530] 三
[09:39.470] 18618121，
[09:41.940] 1380。
