[00:00.710] 你知道吗？
[00:01.780] 浙江太脏了一开始。
[00:03.490] 这是您的车是吧？这叫什么？
[00:06.730] 那13年的。
[00:08.900] 反正看这花纹还可以，时间比较长了，对。
[00:12.150] 对。
[00:19.870] 前轮新换的17年，
[00:22.560] 现在已经了。
[00:23.510] 对，后边你看这也是17年的老婆
[00:27.120] 去。
[00:27.840] 对，这是17年的，但是您的后轮确实是13年的，这写着这边还是12年的。
[00:34.840] 那年要换一次5年，您看这花纹都裂了，你看到了吗？
[00:40.190] 这后轮胎建议该换了，
[00:42.690] 我告诉那边先看我修修哪些东西。
[00:46.390] 是什么问题，您那时候
[00:50.080] 你钥匙带了吗？I
[00:52.160] 最早爆出一个胎压检测检测只是停止，
[00:57.490] 后来再冲洗以后就没有了。
[01:00.470] 然后小发动机始终是这样的，现在也没有了。
[01:04.150] 17951，因为小发动机小标数也是这样子，就是小黄灯是吧？小小黄标。
[01:10.760] 现在没有了。
[01:13.260] 你看看是什么问题？
[01:18.550] 我看一下古今今天来的时候量，
[01:21.140] 今天来怎么样？昨天一样今天一样，但现在没有
[01:24.450] 了，这个是这个吧，这个得让他们用电脑查一下。
[01:29.250] 您车今儿最好是留着，行，我就6点了，我这车明天限行对天。
[01:36.000] 您保险是在我们这上的吗？再加上它必须。
[01:40.710] 您这样，因为您这车不是有伤吗？您要考虑修的话，我们现在有一个代步车险，
[01:48.310] 您可以投保1500块钱，我这不修这个伤势新车就有，这是不是都有伤吗？不行。
[01:55.110] 如果你要考虑要打算一年之内要修车，行，
[01:59.150] 然后我这边会再给他上保险，你看有什么优惠政策，我用上我可以把保险也买过去。
[02:06.470] 您这漏油几率多少？
[02:08.790] 来。
[02:12.970] 您这里边应该全是油。
[02:17.820] 看这能看出来。
[02:27.490] 到时您给您看一下这葫芦里头有什么
[02:31.960] 防冻液水壶。
[02:41.360] 能看到吗？
[02:43.910] 我没拿手电，这个是几率做，这事几率，您从这儿靠手指的方向全是由这个东西漏油，
[02:52.810] 然后这里边有一密封圈是循环水路的，这需要多少钱，等于您现在防卫里边全是机油。
[03:00.510] 串了。
[03:01.620] 这样
[03:03.250] 只要修士把它换了，
[03:05.720] 水壶换了，
[03:07.600] 防冻液换了，
[03:09.090] 得把水箱洗一下，因为你这垃圾大了去了，后来那就得上万了。
[03:13.320] 前两天有一个休了，
[03:16.090] 如果太多我就车就不要了，大大几千块钱，如果你看看说都要修修的控制量大我就不说了。
[03:23.770] 因为现在漏油
[03:25.990] 确实挺严重的跟您说一下，这确实有着上次跟我讲是说光画舫农业3000多，
[03:36.250] 可是现在
[03:38.780] 如果是这样的话，我就支持8年了，我就考虑成本了，我肯定是这样了。
[03:44.680] 你要考虑换成3万块钱把它修好了，我不有病吗？
[03:49.040] 你要不就先用了，
[03:51.200] 因为这早晚得修，你要是打算开着车就得修，你要是说打算换车那就无所谓了，你这么着你把所有问题你就列出来有个建议行，然后前途
[04:01.550] 然后我跟我媳妇商量一下没问题，如果说晚上都是iPhone，
[04:05.330] 我就不知道了。
[04:07.000] 懂我意思吗？告诉癌细胞的扩散到全身了，我就说没那么严重，我然后如果说
[04:13.900] 这早就开始
[04:15.060] 因为一个车胎当年买才40多，然后我现在花4万块钱200给他修好，问题花不了那么多钱，顶到天1万来块钱做什么卖掉。
[04:25.070] 待会给您评估一下我们。
[04:27.560] 胎轮胎您换了。
[04:30.140] 了。
[04:32.060] 我这么搞赶快赶紧订了七七六
[04:38.610] 33这两个。
[04:41.360] 在第二排的。
[04:43.520] 第三个这块都是没有。
[04:48.040] 我把这手机整个车子不要。
[04:52.630] 我争取一下。
[04:55.320] 好，我们来看看，然后
[05:03.720] 对
[05:05.350] 吗？
[05:10.340] 花、
[05:11.890] 场、
[05:16.910] 场、
[05:20.070] 场、
[05:31.890] 上次
[05:34.700] 这么多
[05:42.050] 不坏。
[05:46.160] 数据
[05:47.370] 远。
[05:51.190] 数据
[05:59.190] 场
[06:07.880] 好的。
[06:10.350] 我是讲的他说修了28,000，
[06:14.080] 同时的话谁知
[06:16.860] 还有什么这个问题，不知道还有什么？
[06:22.970] 看油画。
[06:24.320] 如果这样的话了，
[06:28.190] 这个时候你拿出来能
[06:32.010] 您这车皮带没换。
[06:33.820] 我也该换了。
[06:34.960] 对，做评估都列出来。
[06:36.800] 我经常演，然后我看都是什么事项要换了，我感觉就一样都不够，您保养还做吗？
[06:43.350] 我就不做了，
[06:44.660] 说不重要我就不做了。
[06:47.490] 你想我花两三万干嘛合并我都卖不就完了吗？
[06:50.740] 我这找评估师过来给您看看车得了，对，我看看车上车然后告诉我，
[06:56.300] 不是说我把更新的价格报出来，
[06:59.040] 做您发动机灯现在报不了价，那得健康检查。
[07:03.010] 如果你要是检查不修的话，是有一检查费。
[07:06.170] 多少钱？1300。
[07:08.890] 然后300万以上您过来。
[07:11.370] 轮胎是一期稍等几个哪了，你就两后背前边不是换过了吗是吧？后来255的前两天刚换的应该是1600左右一条。
[07:25.440] 1600条对家最看重是对的吧？
[07:30.960] 没有工时费，现在好轮胎。
[07:33.870] 然后轮胎最低还能给你打19折。
[07:35.550] 折。
[07:36.290] 能便宜100多块钱。
[07:37.390] 就1500左右一条3000块钱，然后。
[07:40.160] 然后换了一共了你看到96成都，
[07:43.590] 然后您皮带要换，大概是3000~4000块钱左右，3000 4000。
[07:50.140] 皮带必须换吗？
[07:51.620] 8万公里了，一般是6~8万，您这6万就没。
[07:54.500] 换。
[07:55.680] 而您要说打算用这车再开几年就换，你要说要卖车咱就不算了，我就先把价格告诉了。
[08:01.980] 骑马过去，
[08:03.090] 然后我听我回来。
[08:04.180] 然后您串由如果要是。
[08:07.060] 换防冬夜
[08:08.660] 机滤座大概得在8000~1万左右，
[08:14.290] 就那一趟。
[08:15.940] 因为那水箱里边还得洗，全是油吗？
[08:19.340] 你不换那里边有油了，影响散热时间长了，你水箱堵了，到时候水温高，
[08:24.870] 你水乡到时候再坏了，那就得不偿失。
[08:28.040] 怎么能唱着应该怎么他刚才看几率对。
[08:31.310] 了。
[08:31.950] 里边是有个密封圈，
[08:33.600] 他油跟水本来是分开的，但是你密封圈时间长了，可能是由于老化原因它密封不良了，所以油跟水就串了。
[08:42.480] 不过它怎么办？这急促了不？
[08:44.730] 无视犯第一错，这是一个时间长了，他有
[08:47.560] 这个剑里边的蜜蜂还是蜜蜂见，可能会有老话都说出来是。
[08:52.760] 4. 
[08:53.560] 前两天有一个跟您的一模一样。
[08:55.900] 套装比都是也是这款车
[08:59.060] 刚修完，
[09:00.340] 我们上调价格上，他因为房东也得进去散热给
[09:05.360] 几率段还有发动机，然后但是坐着的密封圈，
[09:09.310] 密封不良的肌肉就串过来了，等于那水里边现在有油，但是等待会压力小的时候您看一眼就知道了。
[09:19.870] 然后这三项了。
[09:21.740] 然后保养就做个常规保养，大概1000多万八千。
[09:25.400] 这8000两一个3000，一个4000，一个8000，
[09:30.030] 1万5万多少钱？
[09:32.820] 保养，您做个小保养，大概也就。
[09:35.210] 上次做的是B宝
[09:38.300] 保养就做个小保养。
[09:39.310] 养、
[09:40.170] 2000块钱。
[09:41.640] 17,000了。
[09:44.800] 还有什么？
[09:46.680] 别的就检查故障前后。
[09:49.160] 罚多少钱与刷400多。
[09:52.270] 然后再保险招聘古诗明白。
[09:55.580] 你先别做坏事，
[09:59.240] 我出来干嘛花这钱干嘛喝，到这年头了，
[10:04.360] 卖了就完了。
[10:06.440] 一个3000。
[10:08.510] 昨天什么东西？
[10:11.560] 三天是轮胎，3004皮带，
[10:15.210] 8000是录你的。
[10:18.460] 等
[10:19.920] 在那放着。
[10:22.200] 路
[10:25.060] 的。
[10:28.310] 他这么着钥匙先给您，然后我们的评估师晚上过来让他给您估一下，对。
[10:38.120] 电话
[10:56.040] 无论漠视，我说他老是定期保养，我为什么没发现，就发现你告诉我会这么大的。
[11:03.150] 这什么问题不是，他是这样，你漏油。
[11:07.120] 我让他找一个告诉我，说不是他找换个见就完了吗？如果你上次
[11:12.160] 露他肯定会告诉你，没有你之前肯定是不漏，你上次保养我看什么做的，
[11:18.070] 我说这是不合适的，我老是在4S店保养的，去年8月份做的保养你了你告诉我都一年了。
[11:25.010] 当做一次上次肯定不要闹，他肯定建议您换这挣钱的买卖，谁不建议客户号
[11:31.330] 在动这客户介绍费停不一样，想考虑要换车，看看是不是
[11:37.320] 范畴不是one淡了吗？
[11:39.300] 我这没准你交往没什么。
[11:53.860] 一个月加一个密是3232，然后现在是
[11:58.970] 两一两个B的话，它形成一套参四千零，你好百得利奔驰在这阶段年
[12:07.720] 两次80多的话，两次在3200。
[12:10.870] 二，然后套餐的话4
[12:12.850] 四是4000
[12:16.810] 4028。
[12:19.080] 三一个A加。
[12:22.760] 对一个A加一个B。
[12:23.870] 做的话是3200多，
[12:25.220] 然后现在套餐的话是2000
[12:27.650] 两个be4028。
[12:30.410] 一次化对可以哪弄？0V6。
[12:36.470] 0V6，下面您看看证件行驶本驾照的对下载
[12:43.530] 3万公里就是A宝AP交易情况来的，刚才我们同事看了一下您这车都坐在下面，玻璃水应该是该加了没了。
[12:53.230] 玻璃水报警了，没事，我自己家里还有后刹车片该换了。
[12:58.530] 受伤的变化，对。
[13:00.020] 待会再跟你一块看一下。
[13:02.150] 咱下面对他的价格就是看你使用情况，一般越野车3万公里左右差不多，
[13:09.690] 你在买的时候可能会上涨，
[13:11.280] 所以现在的话它会推动的。
[13:13.800] 如果说你要他再有的话一定通知了你还是。
[13:19.580] 三次做是吧？帮我检查一下轮胎。
[13:25.410] 没问题，我待会跟你一块先看一下。
[13:27.640] 我这边留的您电话是186的。
[13:34.710] 放电话这号不用了吧？
[13:37.780] 对，现在是188
[13:41.700] 000
[13:43.760] 3381。
[13:46.290] 96. 
[13:48.520] 划线多少钱？
[13:49.920] 待会帮您查一下。
[14:02.200] 之前您在拨是做保养是吧？
[14:05.650] 之前一直在播视做保养，对，上次是3月去年3月份做的保养，今年也去检查了吗？
[14:16.180] 你们这数据都通过了是吧？对，您那是不是有赠送的保养？
[14:22.320] 用完了是吧？
[14:24.980] 还有吗？没有，我这查不着。
[14:28.340] 我给您看一下车去车在门口是吧？
[14:32.150] 的。
[14:39.040] 千
[14:45.250] 前面。
[14:46.250] 这个是吧？
[14:52.790] 他们在心里
[14:54.160] 没什么要，一般在4。
[14:59.460] 是薄了。
[15:01.640] 你那开的话他也会有报警提示。
[15:04.520] 仪式。
[15:05.280] 他没报警那报警就
[15:08.040] 就必须得来了，到时候应该是到不了下次保养了。
[15:12.420] 您到时候还得在中途来一趟。
[15:18.240] 超了100多天了，
[15:20.410] 一般有的就不要来。
[15:22.580] 31,990。
[15:25.070] 它主要是天数车开的。
[15:30.240] 一般是多少万公里，开时间一年1万公里，
[15:34.040] 以先到为准，
[15:37.150] 他不可能是一年先到。
[15:39.420] 车是您开吗平常？
