[00:01.660] 我帮您联系一下平安定子园，看他那是个什么意思。
[00:08.770] 刚刚照的。
[00:10.000] 刚刚拍照周女士那边。
[00:12.980] 照片是我不太清楚。
[00:15.240] 上册里边。
[00:16.930] 进行。
[00:18.800] 我问问他什么情况。
[00:20.840] 的。
[00:26.500] 行。
[00:27.770] 应该没什么太大问题。
[00:33.600] 的
[00:39.220] 点的话，
[00:40.440] 要
[00:41.440] 不料了。
[00:42.300] 了。
[00:45.290] 为。
[00:49.380] 羊肉I摆在那时候徐磊郑女士过来不是修车来了吗？刚才你指点郑女士这边说是要传个什么东西到相册里边。
[01:00.260] 谁知
[01:01.040] 上。
[01:02.770] 对，传个什么？
[01:04.440] 当时碰撞的现场照片。
[01:06.610] 用。
[01:08.860] 这边就不用了是吧？
[01:12.360] 对。
[01:15.510] 数据
[01:17.960] 的
[01:20.880] 行可以。
[01:23.010] 没问题
[01:26.130] 行，到时候我看见车我随时跟你沟通的好吧？
[01:30.120] 行好了麻烦了。
[01:32.830] 好。
[01:34.450] 不用。
[01:36.290] 他给你传了。
[01:42.660] 它给您上传了，省得您这边再操作了。
[01:45.990] 最后那账单什么的我会帮您送到那边一下去，您不是有代步车险吗？
[01:50.600] 当时我直接就交给咱们办理保险的，我看谁给你接的车，您冰雪是吧？
[01:56.030] 到时我都给您评选。
[01:59.590] 后来我跟他约好，他说他上我大姐我来了快门饭我修复联系。
[02:04.990] 没事，到时候我会帮您准备好，给他们直接拿回去了。
[02:08.600] 到时候咱们取车，还要每次知道您到时候一起取走，我把东西给他就完事了。
[02:15.240] 修完车以后才能把逮捕的才能。
[02:19.900] 对，因为我们这边得正常先给您去结算，最后有正常的咱们最终的账单，
[02:25.820] 一份账单是我们留存，另外一份账单相当于我们给保险不他们作为您这次修车的一个凭据，好到时候给您去报销的。
[02:33.510] 这边整体说还需要一下您的驾照和行驶本。
[02:37.400] 电话还是留您尾号1086的。
[02:40.660] 可以没问题。
[02:43.000] 好勒。
[02:44.590] 六呵呵来。
[02:48.600] 对。
[02:50.770] 稍等一下，您给您把这手机办一下。
[02:56.320] 今天EBE63强化也是约了一下怎么提前排成队，能不能早点？
[03:04.000] 现在修车的到不是很多，正我
[03:10.410] 刚才我听地址栏的意思是说两块分期，有个尾灯那块抛光不是，
[03:15.940] 还有一个是版，那个是板他给您先提交一下试试，要能给您定了咱们定上不行，等我帮您也给您打亮油什么的给弄。
[03:24.650] 行，这些都没问题。
[03:26.240] 预计两个分机抛光的话快的话，
[03:30.310] 今天是周一，我估计周四我应该能通知您取车了。
[03:34.330] 但是您信号11点号，周四下午好，但周三我确实有点赶，行，到时候我随时给您去电话。
[03:47.990] 刚改的最终告诉。
[03:52.320] 上次还麻烦您跑一趟，把后杠把我给追加上了，哼哼。
[03:58.740] 那个案子给您都结了，定子文一开始培训比较胖的，
[04:03.350] 不管是阿妈
[04:07.380] 真得说了都半年多了都，咱刨去E情咱说时间长一点好，
[04:14.100] 这绝对有了。
[04:16.310] 您看我们做了一个代步，然后我就第一次出险了，
[04:23.200] 然后跟咱们上次补的还不算第二次，这不算第二次，因为上次咱不是也都提前结案了。
[04:30.460] 所以还是算去年的一次了，对没错算增加了，对，但不影响您任何的那些保险费率，什么都不影响。
[04:39.670] 13717931086，
[04:57.640] 目前车还车间的车真不是很多，
[05:04.270] 陆陆续续可能会慢慢多，因为现在以前不是还稍微有一些严重吗？
[05:09.870] 就这段时间了，两周可能会有一个
[05:15.590] 结果，就是这意思。
[05:18.890] 来证一下证件您拿好了，
[05:20.920] 咱们陪您去看现车，
[05:22.790] 我把那些外观的商帮您去标注一下，看看流量跟里程数。
[05:26.630] 超这个重点，一会您再看看，您需要收拾了。
[05:32.650] 老男孩做到稍等。
[06:00.080] 又厚我看一下。
[06:01.800] 还停不？
[06:05.680] 这尾灯我估计要是跑不下去的话，
[06:09.930] 还好。
[06:12.360] 帮您泡来试试吧。
[06:14.110] 右后叶子板肯定到期了。
[06:16.290] 后杠给你有点掉漆了。
[06:18.000] 他那个是板式给您指的是这吧？
[06:20.820] 行。
[06:22.000] 应该危险，应该问题不大。
[06:24.780] 应该问题不大，
[06:26.740] 但是我估计他可能有点悬。
[06:29.670] 大家看看他那边订什么意见吗？
[06:32.640] 问题不大。
[06:34.190] 行了。
[06:34.920] 行了，不太灵，更体现在还要不明显更好，他一打那些亮油什么的，基本上痕迹就能往下又减清点了。
[06:44.170] 先帮您把桌套噗一下，
[06:51.880] 喝了玫瑰送给了。
[06:53.520] 没了行了。
[07:00.160] 现在咱们是8865公里，
[07:03.810] 88658865油我帮您看一下。
[07:09.080] 满箱子油700多，
[07:11.460] 刚刚加完油。
[07:13.970] 对8865。
[07:35.990] 追求。
[07:37.620] 往前是吧？
[07:39.270] 歌里面应该没事，我要用怎么办？
