[00:00.020] 姓什么？
[00:05.560] 张队长的开着车。
[00:09.230] 你好。
[00:10.150] 我接待让您久等，我们先回去了，好第一次来我们店是吧？之前没有就打电话约过没来过是吧？行。
[00:19.320] 然后先给您介绍跟支付公约，然后我们到店给客户阅读一下，别天天都说行，那就需要行行。
[00:26.080] 然后车的话是您喝点什么，这边咖啡馆还是行行。
[00:33.680] 看哪款？
[00:36.670] 我知道门口那两个200给谁看拍卖的？
[00:43.320] 那是二手车新车拍卖的。
[00:46.820] 我到时给你解释一下，你看我又跑一趟干嘛？
[00:52.220] 他是跟您说是什么？
[00:54.010] 我还特意问是不是新款？
[00:57.510] 这边
[01:01.270] 没用。
[01:07.700] 不热。
[01:09.240] 什么叫拍卖？
[01:11.620] 我给您看一下这台车什么情况稍等
[01:14.900] 的。
[01:22.110] 库存一年了，
[01:25.190] 要不看我还没看。
[01:29.360] 来点。
[01:30.640] 而且
[01:31.320] 去年4月份下线的银色的。
[01:35.240] 你这种情况我电话这一个月十二零款吗？
[01:39.570] 这台车没有任何问题，这台车就是122公里。
[01:44.640] 银色的。
[01:46.100] 啥车能够跑到122，它这个是我为什么说刚才跟你说是拍卖车，因为
[01:52.600] 我们这叫拍卖车，我不知道您怎么理解，这个是我们从厂家拿过这种也可以说是问题车，但是有的问题车
[02:01.170] 就问题特别少，可能说这台车的问题就是公里数高一点122公里，然后外观那是没有任何伤。
[02:07.630] 我哪知道122公里小牌子120公里我们也不知道怎么来的，就是厂家比如说是挪车也好，或者说是开也好，
[02:15.340] 产生了120公里，
[02:17.320] 你们爆店就122，对，到店就120。
[02:20.490] 酒精我因为是刚到店的吗？
[02:23.650] 刚剪完测的，因为它的标准的话跟新车卖的标准是一样的，
[02:28.510] 谁知保什么这些跟新车都是一样的，我觉得应该在2000左右。
[02:33.880] 下线都快一年半了，对，但是它的价格会比正常车要便宜，这是我后续要跟您说的。
[02:40.080] 他这台车的官方指导价是360,800吗？
[02:43.830] 是多少钱？
[02:44.900] 我们现在这台拍卖车的价格是300,800优惠6万。
[02:48.540] 不用抄了，这种情况就不应该让我来，因为我们客服这边我不知道他怎么跟您说的，您不考虑拍卖是考虑新车是吗？
[02:57.780] 你就拍卖车的价格也太离谱了，你知道新车多少钱？
[03:02.190] 专业的能力的时候
[03:04.020] 不上，现在我弄半天，然后今天下午你帮我申请了。
[03:10.280] 我们现在店里头没有新的现在
[03:18.750] 没时间了。
[03:24.410] 货车一年半的车，你进高手交流，你知道现在降价多少钱？
[03:28.890] 行您慢点。
[03:31.240] 销售不要买人安排原则排队一点在。
[03:36.940] 谁知
[03:42.720] 天
[03:43.420] 你们觉得
[03:44.320] 有的。
[03:45.560] 4月份你接待的，
[03:47.560] 谁知
[03:51.800] 来电了，我们现在
[03:55.030] 有点
[03:56.420] 跟客服联系。
[04:01.730] 有点
[04:02.920] 说
[04:03.750] 不接待机器来的没上，走了，你马上到店了，回打电话走了，
[04:09.280] 你还有什么吗？就他妈收卡不用了吧？
[04:14.350] 拉不起来。
[04:15.350] 你这切给我了。
[04:17.700] 你双方的
[04:20.550] 这不是我告诉你这样。
[04:22.920] 没有，这不是群里。
[04:25.010] 抢拍卖差点投诉，我为什么？
[04:28.480] 邀约过来的时候没跟你说是拍卖车，人家等半天也没人没说。
[04:34.790] 他接了吗？
[04:37.120] 是一个电话吗？我看一下。
[04:39.580] 1017他刚打电话说马上到。
[04:42.610] 走了就完了。
[04:43.930] 讲完了101715311431017马上。
[04:48.420] 到了。
[04:49.500] 你什么时候打的？
[04:51.920] 3分钟4分钟。
[04:56.230] 他不是一个人是一个人。
[04:59.400] 你接下来写着拍卖车过来看看拍卖车的，
[05:04.430] 这是他那么写，他跟客户可没
[05:07.840] 好，
[05:08.520] 客户不知道这是拍卖车。
[05:12.080] 你什么时候接待的？
[05:14.210] 5.09. 
[05:15.540] 5:09刚接完，那应该就是刚刚的事了，我给你打电话我马上
[05:22.170] 你今天打了
[05:24.190] 三
[05:25.630] 你打着打了。
[05:30.730] 他马上就到了。
[05:33.420] 我就别管了。
[05:37.980] 不要忘了。
[05:42.410] 好四来我说我要是走还。
[05:47.290] 这台车是C200拍卖车是吧？他以前04对，但是她是2.0T的。
[05:53.870] 201.5看来的。
[05:56.760] 1.5的。
[05:57.820] 9582是酒吧，不是。
[06:01.390] 这价格是不合适，人家说你知道新车多少钱吗？
[06:05.830] 新车优惠优惠tmd45,000 4万五四万，你
[06:11.890] 优惠6万。
[06:12.930] 块钱对吧？而且你这车一年多库存了，你的尾号998您问的我一愣
[06:20.130] 一下是吧？
[06:21.690] 那个人说不是，我说9月8号稍等我来接待你交流等等。
[06:27.020] 那时候我要睡觉，晚上过来的吗？没关系，只要一件事。
[06:32.700] 开开。
[06:37.590] 444111那以后回答小问题吗？
[06:41.240] 这个群里就
[06:43.400] 越写越靠谱，又不能。
[06:49.570] 你跟你不说那会你说他们
[06:51.460] 他们聊过什么路，我天天跟我那吃饭，我都说完之后，
[06:55.650] 我都不想让我们快点。
[07:00.520] 我说火车过来看就行了，您可以具体跟销售跟我聊聊。
[07:03.640] 对都比，你看现在你电话你报价，
[07:08.510] 您
[07:09.860] 天天这块U庑优惠优惠三四万八。
[07:13.160] 不是，他们是这么说的，说我不是说都5万，你能吗？
[07:16.660] 您稍后不用谈就可以了。
[07:19.570] 他明天给，所以客户就没你就说你这个对象跟他谈。
