[00:00.000] 你都告诉我要正常就2000来块，你换挡，
[00:04.890] 我那时候都是什么的，一个由它疼都转到二。
[00:09.810] 22. 
[00:10.840] 对，不中油它就掉下来的。
[00:13.660] 不松油这是角角头条踩着，这不是往上升。
[00:19.100] 你这看转速还有时速，转速它一达到一定转速，他叫换挡，舌头就得降下来。
[00:26.730] 对，他说从采购往上走的，对达到两三两千~三千克左右，具体跟油门深度有关。
[00:36.050] 他会
[00:37.160] 自己来换挡，你不换挡那不就六七千转了吗？
[00:41.620] 肯定的。
[00:47.660] 等会我给你登记个车，
[00:50.070] 买迈巴赫一回保养也不至于说1万多块钱。
[00:55.270] 现在
[01:00.680] 头一次1万多2万，
[01:03.180] 哪有谁还买得起？
[01:06.310] 没有0868在日本。
[01:12.290] 遭受那边查合同了有吗？
[01:14.430] 还没查出来是吧？但没有您先弄一下。
[01:19.860] 我对的拆了。
[01:22.100] 有1万公里了，男生13,000多，好超这么多。
[01:26.240] 这不是疫情期间，
[01:28.580] 跟哥哥到单子，哥哥到湖北了，
[01:31.740] 我搁那边
[01:34.020] 没法开哥那边。
[01:37.750] 要回来了，这疫情也不敢出门，在家里面。
[01:41.800] 现在我得回家找一下那个单子，我在里面搜一下，我再给你打电话还可以那种。
[01:48.120] 您可以，但是您喷漆肯定需要延长时间，差异化7这两三天。
[01:54.500] 定时间上会再往后推。
[01:56.380] 这个肯定行，我回家。
[01:59.210] 宜家再说，对，你要有需要随时电话联系你，把钥匙留给我先给你安排。
[02:05.100] 那个弄完了我跟你联系。
[02:06.530] 行行，我回家找着单子我就给你打电话，你说的
[02:11.800] 钱包上了什么这一块。
[02:14.420] 对，右前角吗？能看见。
[02:18.210] 但看起来的话还有这一块的。
[02:22.730] 对，主要是这块有明显一点。
[02:27.310] 对。
[02:31.000] 然后您看一下有效期确认有没有问题就可以了。
[02:38.140] 要是我要说就直接给你打。
[02:41.930] 你给说一声，然后取车的时候拿着券来。
[02:45.290] 对，如果没卷就按。
[02:47.670] 知道。
[02:48.640] 这叫什么菇？
[02:49.960] 园长。
[02:51.280] 七一块。
[02:51.980] 了，对原厂喷漆一块对吧？
[02:54.130] 不再收任何钱了。
[02:56.240] 对，如果您有圈的话，您说您没圈就得单掏那钱了。
[03:01.650] 明天
[03:04.200] 您这是
[03:05.760] C川1895。
[03:19.130] 您这应该是新款的那会儿4缸机吗？还是原来的6钢筋，最后那会儿的6缸，我这是去年8月份
[03:27.390] 刚出厂的，你看新的他有一段时间改成4缸的，
[03:33.330] 待平稳的。
[03:35.670] 是吗？我这个是什么？看着能看出来。
[03:39.320] 我看一眼。
[03:40.030] 他就说是6方剂。
[03:41.970] 是6缸的，应该最后那会六钢筋。
[03:47.060] 怎么称呼您？是石守望先生电话13436649631，那是我媳妇就不一样联系他也成。
[03:56.690] 身份证尾号415X是吧？
[03:59.920] 好
[04:06.200] 要没有疫情，这一年应该就开得更多了。
[04:10.520] 咱们山东到处跑了，
[04:14.970] 在这一跑，在这疫情，
[04:17.770] 你说我在海南开着回来坐那一就海南一山地。
[04:24.130] 海南去的时候是拖过去开会的。
[04:29.510] 然后专门上那边。
[04:31.750] 这等于是不就搁海南开一班以后，我们拿个主见什么都起来了，就在那边用了过去。
[04:39.590] 我那边摇号摇下来了。
[04:41.000] 看看。
[04:42.150] 这个车是吧？
[04:43.560] 我登记个油缸里头。
[04:46.450] 其他的不用了，这俩都收了，再收起来13,000多，就在
[04:52.290] 桥登记一下。
[04:55.110] 好
[04:56.600] 了。
[05:05.390] 没有？
[05:06.200] 没有了。
[05:07.360] 不要剪掉了。
[05:08.460] 还好。
[05:10.770] 到上面来不得吗？
[05:12.420] 没有了，还有
[05:23.680] 贵州我们也看看还有没有带一下。
[05:38.570] 风投。
[05:39.280] 它就噪音
[05:40.570] 有点大。
[05:43.150] 因为你是不开自动模式，我不懂什么叫自动模特，您一般开工你要按哪个键吗？
[05:49.170] 按
[05:50.030] 按完对这就自动。
[05:52.130] 对，这就是大家不用这个就是自动，咱一般温度设的多少我不知道，你给我看看。
[06:00.900] 超过您发动机给我弄还报警。
[06:03.760] 对。
[06:04.940] 那是什么情况我也不知道，这得检测了才能知道。
[06:10.180] 住的远远，我住的马驹桥，
[06:14.270] 因为检测对需要的时间。
[06:17.460] 行可以，你觉得下午三四点钟弄完了，你给我弄得看什么问题，
[06:23.940] 你要升个级啥的，等会要是要换件就行了。
[06:27.600] 来。
[06:29.360] 行等我一下。
[06:46.530] 你一般调2020多，你感觉这两度量不了，你调到22度的是不是？你感觉这是调温度，我真的挺OK。
[06:54.640] 调高一点，
[06:57.240] 然后它自动封，刚开始开的时候他会风量比较大，设计我在调他放下。
[07:03.850] 您不用调它温度自己什么之后，就是车里他感应温度下来之后，它自己就会疯掉，把温度调好了，就说以不管他了，对就自动他会增量自己减小，就一般像我自己开的时候看看3 6676什么的，我一看高我就刚开始肯定高，这个几分钟就会变低了，
[07:26.660] 是吧？对。
[07:27.730] 钱您我觉得一般合伙开都调到24度就够
[07:31.920] 了，那是我自己了解，对你自己你看现在风量自己就变小了，
[07:36.880] 你要愿意自己来手动调校手动调小，你上温度刚开始肯定是放量大，
[07:42.410] 是吧？
[07:47.560] 故障灯什么时候开始这样的？
[07:50.920] 有2000公里了。
[07:57.240] 经检查一表显示发动机故障灯报警，
[08:02.920] 经常检查
[08:30.120] 这枪怎么
[08:30.880] 那么超，大风压
[08:33.000] 过着还
[08:34.800] 慢慢坏也就这样了是吗？
[08:40.000] 你要看新车的my master他也
[08:43.350] 这个多少都会有点愤，不可能完全严丝合缝，装配起来太难了。
[08:49.070] 你看这是我露出来的，
[08:52.710] 还行，后面都不怎么。
[09:02.360] 我都没打过机器盖子，那块已经算小的了，那段个。
[09:07.630] 哎哟这对你跟这个比那差多了对不对了？对我等等。
[09:13.600] 我长得更肯定这车就算很不错了，我说这大
[09:22.470] 他设计出来的phone不看大小，看左右对称，
[09:28.510] 没有问题，
[09:31.600] 你新车看他也是顶多要一个小一两毫米的份儿。
[09:36.270] 什么大小对小不了。
[09:40.640] 像您这车要跑的多，其实可以考虑贴个车衣，像这种级别车一般都
[09:46.910] 任I贴的，他就商量年前就想换车了是吧？儿子大了对不对？
[09:53.040] 对谁知能够大
[09:57.070] 还行了，跟他设计都有，像这种电动尾门不可能太小的，因为电动里面下来之后还有一个上来这么一下，
[10:07.290] 它设计有等的。
[10:08.690] 好了你就先维修是吧？对，我先给你安排保养。
[10:12.650] 安排宝贝。
[10:14.600] 就按圈来安排，
[10:16.730] 拽的话他就一机油机滤，但您公里数比较高，正常这种功率是我们会建议清洗一下机油油道，就把脏的油泥清洗一下，
[10:25.920] 看您这方面没多少钱，就算着流感它送的来是吧？别的都不管了。
[10:34.490] 最后给我看看这上面有电视吗？
[10:38.580] 这块不大不见面，谁迈巴赫版本的说的高配的版本后排
[10:44.560] 哪就有。
[10:45.760] 后排的做靠枕那块。
[10:51.110] 快点。
[10:52.490] 对你主驾P靠枕。
[10:56.840] 后边靠背
[10:58.900] 在那块有。
