[00:00.120] 欢迎。
[00:01.020] 2020年7月29号，
[00:04.140] 张良客户张宪文教授录音，身份证您先收好，然后您坐这，我姓郭，郭靖负责这个车是功能介绍，因为
[00:12.670] 然后
[00:14.020] 国联帮您订车抽送带卖保险，我能负责E公众讲解，时间咱们
[00:20.280] 半小时左右那些时常。
[00:22.610] 之前有开过奔驰车辆吗？
[00:24.540] 没有行，待会给您讲一下功能，车有一个密互联的功能，我现在先给您注册一下。
[00:39.230] 就等着开庭就行了。
[00:40.380] 没事。
[00:41.850] 谢谢没事，您的出行条跟你说完了，一会完事直接走就可以了，好了，谢谢。
[00:52.230] 留个您电话徐先生。
[00:54.110] 1408，您说114您说90 8900。
[00:58.670] 您不是军人吗？不是军人吧？
[01:02.130] 号。
[01:03.280] 给您手机马上会发一个短信，里面有一个激活码收到您告我。
[01:23.330] 汉阳四
[01:24.760] 五。
[01:25.950] 好勒。
[01:42.720] 车平常就您用是吧？
[01:44.330] 我按了一下，行。
[01:47.180] 他一会就
[02:57.760] 咱们这合格证用这个就行。
[03:21.500] 这个给您激活的密互联对应车车里有两个电话标识的案件，
[03:26.470] 回头我这今天激活以后，明天您车内的两个按键就可以使用了。
[03:33.030] 我回忆一下他是不是P家乡就在代理吗？
[03:36.640] 你没领过包肯定都在里边了。
[04:00.110] 有了。
[04:15.790] 身份证不要您这样拿来拍一个照片。
[04:19.520] 口哨您临时要摘一下。
[04:23.690] 好。
[04:25.080] 还要。
[04:31.520] 可以了，现在您说好，我让您用完了，
[04:38.180] 临牌收好钥匙两把，一会咱们去试一下。
[04:46.610] 您用的苹果还是安卓系统？
[04:48.920] 安卓，打开您自己的手机微信扫一扫，
[04:53.970] 然后我这儿您给
[04:56.600] 扫一个二维码装一下
[04:58.880] 手机互联的软件。
[05:01.850] 一会我按了一下手机联单吗？可以。
[05:06.570] 下载安装队。
[05:22.210] 今天激活明天就能正常用了。
[05:25.480] 待会您手机会有实名认证通过的短信，
[05:29.210] 它会提示您这个车
[05:31.350] 完成实名制认证，明天就可以正常使用了。
[06:08.680] 咱这车
[06:09.700] 算是在下载吗？往不好您出去就毒品把您自己的手续原件都拿了。
[06:31.270] 指定的是这台车交C300灰车。
[06:36.170] 黑内饰，
[06:38.650] 对车牌号你自己再对一下。
[06:41.310] 549200。
[06:43.590] 对。
[06:44.470] 关键是之前都看过了是吧？
[06:46.670] 我现在最近
[06:49.610] 好了，这个车无钥匙启动是标配，首先
[06:53.330] 在外侧的话钥匙锁车这是所指认一下，
[06:56.800] 有声音转灯亮三下代表和好，中间是开锁。
[07:00.400] 第二把也给您试一下。
[07:03.760] 以后这要是不用装不用拿出来装在身上，包里带着
[07:07.340] 4个门都一小扫就是锁车，
[07:10.510] 派出所这要是离近了，手往中间一个人
[07:13.930] 自然就开了，4门都是一致的，然后您坐副驾咱们检查功能，
[07:37.240] 钥匙装在身上，包里带着。
[07:39.900] 进来以后
[07:41.950] 踩刹车按一下启动键
[07:44.000] 就可以了。
