[00:00.000] 致电百得利奔驰客户专员赵霜，很高兴为您服务，请问什么可以帮您？
[00:08.530] 42153有车您是想来看看吗？
[00:16.560] 72143。
[00:20.590] 五。
[00:24.870] 我们有gl153，咱们家153是在二层AMD展厅，它属于mg的车型先生。
[00:36.290] 我们
[00:40.320] 先生我对着库表给您查的，我们GRE53有车您要看，我可以带您看。
[00:48.160] 好的，大概
[00:52.380] 海淀西四环5路居
[00:55.060] 给您发过去。
[00:56.660] 对，您不是之前来过吗？
[01:00.750] 是百得利。
[01:05.140] 是要gl153对吧？988,800的那款对吗？
[01:13.430] 咱们这一款的话是gl153，它是一台月光石灰色的，
[01:19.230] 指导价格为1,026,800。
[01:24.090] 现出示这一款。
[01:27.840] 对，月光是灰色，
[01:31.720] 其他颜色后续有到店有计划过来的，您要看好了颜色咱们可以定。
[01:41.470] 后期要计划来电的有黑色的，其他颜色的没有，下周的话可能就是月中或月底我们会到一台黑色的。
[01:52.650] 对，因为这车比较少，对。
[01:57.640] 渠道正规厂家发货。
[02:02.520] 对，他本身就是进口的。
[02:07.640] 他肯定要经过天津港口的先生，要不然怎么过来，
[02:14.070] 会不会我们都是正规4S店，咱不是二级经销商，
[02:28.760] 先生咱平行进口车进不了咱展厅，咱们不销售平行进口车，只有天津港口销售平行进口车。
[02:37.560] 是这样的，咱们都是有合格证的，任何。
[02:42.130] 咱们是中规车，对不是。
[02:48.280] 是的。
[02:52.630] 不是咱们中规车。
[02:57.040] 好的，我安排smt专员联系您，来了您直接找他，让他给您介绍行吗？
[03:03.680] 您贵姓先生？
[03:06.520] 张先生是吧？您的联系方式18513145三个8是您的联系方式吗？
[03:13.080] 好的，一会AM记专员联系您注意接听电话好吧？
[03:17.570] 好一会儿见。
[03:29.310] 真是有意思了。
[04:03.920] 总之上班。
[04:19.200] 上班介绍客户。
[04:32.560] 您好，我这边是百得利奔驰4S店的，您是有关注过奔驰车吗？
[04:37.760] 觉得
[04:39.130] 暴露在寒冷的。
[04:42.010] 行好的介绍。
[05:21.770] 百度系奔驰下届
[05:23.720] 之前咱不有关注交易的车为您这儿抬，每天发生开车。
[05:31.950] 就过两
[05:33.000] 是吧？
[05:34.870] 行，这边打扰您了。
[07:52.830] 先生您好，百得利奔驰4S店的，您这边是有关注过奔驰车最近还在考虑吗？
[08:38.280] 先生您好，百得利奔驰4S店，之前咱们这边不是有关注奔驰，
[08:43.220] 您7月份有时间开车吗？
[08:48.150] 我说您之前不是有关注过奔驰车吗？我说一近期考虑怎么样方便过来开车。
[08:56.360] 海淀西四环四季新桥。
[08:59.990] 不考虑这边是吧？
[09:01.720] 行那好了。
[09:29.450] 您好。
[09:31.800] 您好，我是北京百得利奔驰4S店的，您这边是有关注奔驰处吗？
[09:39.990] 您好。
[09:43.120] 您好女士，我这边是百得利奔驰4S店的，之前没有关注奔驰还在考虑吗？
[09:51.440] 行，打扰了。
[10:04.060] 您好，我是北京百得利奔驰4S店的先生，这边是有咨询问题车是吗？
[10:11.290] 想看哪款车？
[10:16.200] C200，您这边是上京牌还是上外地牌在北京吗？
[10:26.120] 外地牌照可以。
[10:33.960] 好的，发你一个短信。
[10:35.340] 有需要您电话，您跟陈4S店您这边之前有关注过奔驰车还在考虑吗？
[10:45.650] 好的。
[10:46.800] 没问题。
