[00:00.000] 好像很高兴为您服务，有什么帮到您的？
[00:02.290] 家长送的。
[00:06.400] 没有，我看了一个视频说
[00:09.000] 把小姑娘的打过去，
[00:13.010] 好多年的想法，
[00:16.950] 您上哪个牌照购车？
[00:18.260] 行，然后你用的
[00:23.760] 的。
[00:25.750] 的。
[00:28.290] 主要最低配的话您见过现车吗？
[00:32.840] 您见过现车吗？只要一最低配。
[00:38.930] 你好。
[00:41.920] 您是不是在地铁里信号不太好，一段一段的，我说您有见过现车吗？看过现车长什么样吗？具体了解过配置吗？
[00:55.000] 同时买电一是豪华还是时尚？
[01:02.120] 挺好的。
[01:10.400] 这些肯定是有的先生，但是北京区的话，我们家店现在就剩一台车了，其他车都被订出去了，您大概购车时间想买这几月份？
[01:21.420] 的。
[01:35.160] 时间
[01:39.350] 行。
[01:40.840] 行。
[01:41.480] 是这样的，您说没事。
[01:47.350] 还是。
[01:49.680] 您大概的go。
[01:51.700] 对，您大概的购车预算是多少钱先生？
[01:56.460] 70左右是吧？这个车的话肯定是汽车得出去了，因为裸车他指导价格都是714,800，
[02:04.310] 低配的还是完了，之后主要是看您具体先贴的车型，低配有两款有动感时尚豪华，然后咱们家现在有的车事实上这块裸车的话是738,800，
[02:16.290] 然后这个车的话算优惠购置税保险都算下来肯定也是70出去了，你要说就70的话，
[02:22.830] 可能悬这个车其实出头75以内，我还能给您算算。
[02:28.420] 75左右75以内您得打着谱，您说70肯定是办不下来的车，
[02:33.620] 陈进口的车没有那么大优惠。
[02:35.790] 对纯进口的车没有那么大优惠先生。
[02:38.560] 数据还是比较好。
[02:40.740] 不大。
[02:41.370] 大飞配自己的。
[02:44.130] 这是最低配的，肯定不戴先生。
[02:48.700] 咱们家展厅这一台是展车是蓝色的，然后路上有绿色黑色月光蚀灰色。
[02:54.570] 您不是不着急吗？主要是您得听听瑟，因为这个车彩色的多，黑色的也多，
[03:00.240] 你得先看车身颜色。
[03:09.610] 很久没有白色了。
[03:13.070] 了。
[03:14.060] 没有搬家了，搬到旁边财务里。
[03:17.300] 显得有点像大面包，你要这么大的说您买个白的。
[03:21.320] 我看一下的。
[03:22.820] 不太有质感。
[03:24.160] 我们那就宽了点。
[03:27.300] 您买个月光是灰色的颜色好看。
[03:31.530] 对月光是灰色的，他看着特别有质感，毕竟是个大品牌的车，你买个黑白色的，我觉得虽然很保值，但是显得您没那么特殊，咱买个车个性化一点，买一个月光蚀灰色，或者说像树木绿就看着是黑色，
[03:44.610] 但是灯光一打，他犯这一点就是那种淡淡的墨绿色，颜色还挺好看的，都是今年新出的色。
[03:56.180] 对这肯定是有的。
[04:00.320] 您说的boss是柏林之声是吧？
[04:04.290] 这个不大，这是最低配的，像我刚才跟您说过了，您不是说只要一个换挡拨片，只要一个倒车影像就行了，您现在提出这么多了，您就别买低配的了，买高配。
[04:20.320] 他肯定是四驱的这么大的车。
[04:27.640] 您好。
[04:30.440] 没事是这样先生。
[04:33.610] 对，您这个车我觉得您就是电话里边咨询肯定达不到你想象那种效果，如果您要有时间先来赶紧看看您要的这几个省，我们这边给您出一个落实落地的价格。
[04:45.530] 您就大概对比一下，说是咱们现在考虑订车，还是说咱们现在先再观望一段时间？
[04:50.990] 您不要被因为我不太确定您买这个车的用途是什么，只是占指标，还是说我对车辆是有一定的性能的要求？
[04:58.730] 因为这个车如果你要纯占指标的话，没必要买奔驰，但是如果说确实是为了甭管是商务需求，或者说咱们成本面也好，我觉得咱们配置不光看上去要好，内部的这些内饰，包括它的所有的动力，
[05:12.810] 操控这些东西稍微有一点升华，对您来说在驾驶上面更提高您的舒适度。
[05:18.160] 因为这车毕竟是咱们自个开，他们不能说是一摆设，就光开奔驰E大牌子，您说呢？
[05:25.150] 主要是咱们自己开的人得开着舒服，然后这个车的话咱们家展车跟现车也都有，gl1450咱们要试驾车，外观是差不多的，只是发动机不一样，您可以来试试车。
[05:37.240] 因为您朋友也开过吗您详细的东西也不太好意思问他您可以随时到展厅我们先给您做个介绍，然后试乘试驾您先了解一下车的动力，因为甭管是开着也好，坐着也好，或者说后排座椅空间，但是家人方不方便，这些都是多方面考虑，毕竟车在谁也不是说开俩月就扔了，
[05:54.150] 所以说这个东西我觉得还是得亲自感受，你也当个参考，我们这边是西区最大的总店，我姓侯，您考虑一下，我先把我的联系方式发到您手机上，我叫侯阳，有什么车辆问题想咨询您，可以加我微信或者说打我手机，因为我这座机有时候会忙线好吗先生？
[06:10.610] 您贵姓？我先给您发送一条短信。
[06:14.850] 杨先生您好，我在华阳那联系方式，我发在您现在来电的手机13811369626手机上面了，您考虑一下，有问题的话咱们再直接跟我的私人电话联系就可以了，好吗？
[06:28.230] 如果想预约试一下，您记得提前告诉我一声，我这边帮您把车留着好吧？
[06:33.930] 行，杨先生您方便了解一下您是通过什么渠道打过来的，我给您做个备注好吗？
[06:43.570] 老客户推荐。
[06:45.200] 行，没问题，这边的短信给您发送过去了，有问题您随时联系我就行，好吧？
[06:51.940] 你期待您的光临，谢谢拜拜。
[07:01.710] 济南特别搞笑。
[07:02.870] 应我说。
[07:03.990] 对车没有什么要求，有个换档不。
