[00:00.000] 远远
[00:05.200] 点。
[00:10.990] 去年年底做的导演，
[00:14.850] 保养应该不用做了，我先给你看看车去，行行。
[00:19.400] 这个话团购多少？
[00:22.260] 至少得一天。
[00:24.410] 您这样您稍微等会我也给我上车。
[00:28.450] 行了，车在门口了是吧？
[00:38.070] 那边。
[00:38.860] 现在有收回拿了多少？
[00:41.160] 你们是个人。
[00:42.360] 你中间线你有没有过去了？
[00:45.030] 跟他也有关系，要不要挂完您再试试。
[00:51.040] 但是你要说这狗。
[00:53.290] 是怎么个走法，他说北京就是您开车走吗？
[00:57.600] 北京就是说我也少开开心心
[01:02.400] 了。
[01:04.220] 月结我拍以后，
[01:07.060] 后来不是
[01:09.210] 收拾你。
[01:13.930] 说。
[01:19.630] 我过来也就应该多到家一年，因为上次保养之前我过来了，做了灵感也
[01:26.050] 坏了，这快乐。
[01:27.920] 他感到这个地方
[01:31.880] 突然断了，
[01:33.630] 前两天他们聚了一趟在哪？它卖掉。
[01:37.040] 弄得有点
[01:39.270] 对着泡泡。
[01:41.440] 刚开始是稍微有点，后来不是
[01:44.780] 赶上保养了吗？买保险的时候在哪？
[01:48.650] 南三环您说一挂到感觉
[01:52.050] 我今天好点，我给我看，前两天老太太开始说有点
[01:56.720] 感觉有点那什么了，
[01:58.810] 反正你要是挂上挡不走说
[02:02.380] 是要倒踩着刹车不走，一带刹车的话好像就更严重。
[02:08.290] 是踩刹车抖是吧？踩着刹车他就
[02:12.170] 你说是倒车的时候也有点这种走，能感觉出来，明白你说吗？
[02:19.210] 不是这样。
[02:21.200] 你要是这种斗他应该是发动机机爪有问题。
[02:24.880] 有的时候就感觉好像代数还不是太太吻，像一般的应该正常是在
[02:32.870] 700 700 800，
[02:35.170] 可能带速目前看还可以，这话还行。
[02:39.090] 21613。
[02:41.210] 问题是您得告诉我是哪种走到是让技师怎么帮您查。
[02:46.790] 你要这种走挂档不走车这种走应该是鸡爪。
[02:50.940] 地板该换了。
[02:52.210] 是吧？对挂上，要不堵车的话，
[02:55.080] 对着原地等红灯那种，走车身明天感觉共振的那种，对，那时候也挺严重的。
[03:01.720] 您那刹车盘片得换了。
[03:04.140] 都快磨没了。
[03:05.350] 您可以摸一下刹车盘的边磨着太深了。
[03:11.920] 前后都必须得换了太深了。
[03:14.840] 12万了。
[03:16.490] 前后刹车盘天还没片是吧？您可以摸样那边。
[03:21.530] 底下那都快，魔托的太严重了。
[03:24.840] 刹车影响安全，你这刹车
[03:28.400] 要是踩刹车也走，
[03:30.360] 第一不也得先把这盘面换了。
[03:36.140] 那是跑工地了这车没有。
[03:38.920] 那天去拉点东西去检测。
[03:43.590] 那个地方可能下面现在并不像外观有点高。
[03:47.640] 您看
[03:49.270] 建议先把刹车盘片换了，现在因为看着磨损其实非常严重，然后传动轴是免费的召回，
[03:56.240] 然后您说那抖您在最好问一下是什么情况怎么走，然后再帮您具体检查。
[04:04.610] 踩着刹车，要说不要说踩刹车挂D档不动，然后感觉这个车共振那种抖方向盘有点抖，就刚才咱摸的那种
[04:13.810] 没几下动，应该那种应该是发动机的鸡爪可能有问题，到时候让技师的检查一下，对。
[04:20.650] 要是哭一下刹车拍照片前后都换个话，就是多少钱，我说你们看。
[04:25.980] 亚好好跟你说一下。
