[00:00.000] 好。
[00:01.450] 行驶本驾驶本您提供一下，然后您戴口罩了，因为我们这里边也开口了。
[00:08.110] 没事儿
[00:09.410] 喜欢
[00:14.990] 首保您
[00:24.490] 数据、
[00:29.750] 坏数据
[00:32.940] 的
[00:35.610] 数据。
[00:38.630] 三
[00:41.290] pt1
[00:46.750] 的
[00:48.100] 他们不知道。
[00:51.480] 3333213701377。
[00:55.500] 这不是。
[00:58.150] 神马131。
[01:01.390] 315，
[01:02.610] 这是一个的6月2。
[01:05.200] 后来133
[01:11.230] 说
[01:14.110] 号。
[01:16.640] 张女士电话您再帮我说一下。
[01:19.980] 公开。
[01:21.000] 21248585。
[01:31.730] 你当时买车时候送4次保养，
[01:36.360] 好好没事了。
[01:39.630] 证件给您，车里有什么贵重物品吗？我看一下您的车去。
[01:46.210] 在门口是吧？
[01:51.090] 没事这能出去，您从这儿过，我去拿座套。
[01:56.480] 您到。
[01:58.720] 行到前台让他登记一下。
[02:36.360] 要是你给我了，
[02:38.410] 然后你还看了，
[02:42.370] 手里没什么贵州风味，
[02:57.910] 对那手机你拿一下。
[02:59.980] 是这样。
[03:01.750] 对。
[03:19.460] 7215，
[03:22.380] 谁知。
[03:34.630] 没事，我简单看一下车的外观就行了。
[03:46.790] 行，就这么着，没事，您不用车间保养的时候就给您听。
[03:56.800] 行，您到屋里坐，我给您填一单子。
[04:18.360] 8.83。
[04:19.800] 683870。
[04:24.710] 您这是首保换一下机油机滤都是免费的，之前您有免费保养。
[04:35.500] 加上洗车大概两个小时左右。
[04:39.530] 在店里等会儿。
[04:41.160] 你说这正常吗？稍微把我跟你一块等一下，快点调解没问题，咱们下午5:30之前您来就行，转成就给他撤。
[04:54.120] 然后我来的时候找您，对，我待会给您留一单子稍等。
[04:59.480] 然后这个是咱们现在推的一个保险的服务，
[05:05.280] 叫代步车险，我看一下这个事，如果您投保的话是1498，
[05:10.990] 一年之内如果只要您来店里走保险修车，每次喊2500现金，
[05:17.190] 一年有效期。
[05:18.900] 保险是在咱们这上的。
[05:21.880] 我一会去上。
[05:23.270] 保险是在后头上，对你签文章，然后
[05:30.050] 建议您可以顺便买一个代车型
[05:34.730] 的
[05:41.050] 多少
[05:47.720] 的
[05:52.680] 的
[05:55.220] 正好
[05:56.790] 在刚才这就过来了，还有多少我也非常快。
[06:03.590] 我也觉得这不是老师，咱们的话咱们完了交流这个时候
[06:12.540] 或者是给
[06:14.720] 您确认，没事你给我是觉着呢
[06:17.940] 咱那边就齐了，到时候春好我会给您打个电话，然后你再安排时间来就行
[06:23.770] 了。
[06:24.730] 保险我是从这保险是这样，你得从那侧边的门出去，后边这楼
[06:30.490] 三
[06:32.360] 餐厅一楼。
[06:37.400] 你要提前回来，咱们楼上休息室好好。
[06:44.080] 没事了，到时给我电话就行。
[06:51.190] 到了
[06:56.000] 来
[07:00.580] 谁知
[07:03.440] 情况，
[07:04.960] 7点经过RNN，
[07:09.170] 说咱俩没啥，大不了像我们
[07:14.900] 多少人的
[07:18.720] 要的？然后
[07:23.390] 号。
[07:28.790] 他今天这边
[07:43.840] 写完之后，
[07:44.760] 领导也批完了，这首充了，
[07:47.310] 现在不是用卡车1.0的系统了，完了在那上面你应该申请什么，领导审批完应该自己就听进去。
[07:54.410] 用申请不是你还用的什么了等等不用老了应该都换了，还是一点的是吧？对OK？
[08:02.790] 都了。
[08:03.480] 谁知
[08:07.540] 的
[08:18.830] 然后老师为话题
[08:28.120] 今年7月份
[08:36.880] 来
[08:44.810] 谢谢。
[08:47.650] 手机没拿。
[08:57.560] 坏。
[09:02.380] 行，让他把车开过来，我就上班来回比划一下
[09:08.410] 了。
[09:14.990] 忘了。
[09:17.170] 8万
[09:21.780] 了三个小时
[09:27.230] 过来，
[09:33.770] 争取中午左右。
[09:35.710] 下午
[09:42.540] 好了没问题。
[09:45.200] 行了，拜拜。
[09:56.980] 也。
