[00:03.750] 王惠萍女士，
[00:09.810] 话咱们是186
[00:11.590] 009。
[00:13.010] 6
[00:14.390] 995. 
[00:17.370] 五
[00:30.630] 进不去，
[00:33.200] 你说早上气的有点慢，
[00:44.150] 今天有幸
[00:54.470] 我这边也没事，我这边也进不去。
[00:57.260] 你进去了是吗？
[01:00.410] 他那边
[01:02.570] 时间到了，您给想办法给扣上了。
[01:05.820] 我不帮你弄。
[01:08.090] 我说你得告诉他们不是行李。
[01:10.940] 我是我们这边我会帮您先让咱们的本地师傅给您去试着给您去安装一下，要真正安装不到位的话，只能到时候咱们更换了。
[01:19.510] 但是那一块的话，咱们这次不是碰到左后吗？
[01:22.300] 没碰到那个位置，所以我只能让师傅帮您去紧固一下看看再说。
[01:27.000] 这是清楚，你直接让你换院有点没什么意义，对机油滤。
[01:33.090] 然后A玛雅其实直接有刹车油。
[01:36.000] 因为刹车油是16年换的，上游就是两年一换保养了
[01:40.650] 一个5800 19 20，首先这么多假，我知道你这个价值最好的不了解你。
[01:47.210] 你不保养咱就很快的经济。
[01:50.010] 了，然后剩下我给你打打好标准就该做什么东西到期了您掉落。
[01:58.160] 时间比较长了，
[01:59.390] 就
[02:00.020] 你做好必须要饭店咱们告知一下，你看医生问题给在有没有说的他就放心了。
[02:10.030] 因为你的价格是三点，我觉得。
[02:13.370] 咱这边刚刚我也交钱，不着急停车的时候再交，取消首取车时候是给您送车。
[02:19.440] 行，到时候就拿取车单来，因为我们今天可能也打不太打不出来取车单了，您就拿着我那单子就可以白的是吧？对，我给您当蓝色的那张。
[02:28.170] 来拦着。
[02:31.080] 蓝色那张。
[02:32.260] 因为我这边到时候就给您走直赔了，就不用您交任何费用了，盖的话帮您去紧固一下，咱们来看看。
[02:38.710] 目前我估计我这边全下来的话，可能四五千块钱工资那边会理赔。
[02:44.120] 就进去，对没错，这您收好了就行。
[02:47.320] 您就到时候把出租车价把我们留好了行了。
[02:51.360] 能给您报销30了。
[02:53.160] 刚上的时候出来。
[02:54.240] 能给您报销30块钱。
[02:56.230] 那就可以了是吗？我一看多少钱这不可能就有点费劲。
[03:01.080] 车上没有贵重品了，要是我就收了，知道了。
[03:05.640] 共多少公里数是82,148油是基本上差半格都满了。
