[00:01.750] 接收
[00:08.410] 先生您说下您电话。
[00:10.740] 1362125629，稍等会，1362132112
[00:16.970] 629
[00:18.250] 二
[00:18.980] 二
[01:00.350] 走看一下您车子。
[01:02.040] 谁知
[01:03.300] 133
[01:11.360] 二
[01:12.890] 能做到
[01:28.580] 的地方他在哪这里边有存在里边，您开过来停着来，
[01:33.230] 辉光的看你进来，
[01:35.040] 在这边没网接不了，你只能开这边来。
[01:39.680] 这不是他们都干嘛去做不让，进来哪车拖这张在那开着，他不是这边是逆行，不让我拿走，得从那边传。
[01:49.710] 我赶紧走这里过来了，不是保安不让你走，
[01:53.750] 我只能开到前面去了。
[02:22.890] 是。
[02:25.450] 不要给我打
[02:41.510] 我在门口的3D版。
[02:43.110] 您坐车过去，别带着我带您去那边。
[02:56.470] 那边等。
[02:57.800] 别在那等着你那去，让他去前台放在前台那个地方。
[03:52.200] 前杠左边这边是吧？对。
[03:54.680] 看您这车您是无责是吧？对管子我挺在那的，对他那边差一个授权，好像您这边唱歌茧子是吧？
[04:03.910] 对，您想着把手续给补了，如果不补都取车取了，哥明白动知道了，当时刚才定下来跟我说了，
[04:13.450] 我已经跟他跟车主联系了，他今天就去弄车。
[04:18.100] 我不想
[04:39.480] 整天我要把我的
[04:40.890] 后面那个地方给我看大约多少钱，就我个人感觉到自己走自己的保险修一下是吗？对。
[04:48.690] 您没上过什么上次带保险。
[04:52.110] 刚才跟您说了，我这钱应该都有，是不是说险就是说
[05:01.110] 我们单位给推出来了一个代步险，刚才对保险那边给你讲了待不显？
[05:07.670] 没说什么这不行。
[05:08.950] 最近店里面推出来了一个
[05:11.670] 版权专项里，这就是一个代步险，就是修一次车，
[05:15.440] 保险修车给您返交1498，然后15天的等待期，然后返您2500块钱。
[05:23.910] 您说这个没跟您说吗？我跟你说的啥我没听懂啥意思，为着这意思我跟您说一下很好理解。
[05:30.450] 多少钱保险跟你的说跟你的保险没有关系，这是其一。
[05:35.610] 也不能说没有关系，他有一个关联就是什么？只要是您来百得利定损修车，
[05:41.490] 他就可以返您2500块钱，别管是您的责任还是对方的责任，只要是
[05:46.940] 走保险修车就陪您2500块钱。
[05:49.440] 这一您交个1490 8 15天的等待期，就是等待期这15天内，
[05:54.850] 这不算得过15天后，就是说您报案修车，
[05:58.270] 修完车就返你2500块钱，保险是一年两次有效，就是说您第一次修车等于白挣1000块钱，第二次
[06:06.850] 白挣2500，就是这意思。
[06:09.000] 这个好事你交1000变成人家给你2000块，这百得利最近推出了福利，不是说什么这跟
[06:15.710] 这跟您的什么跟别的没有关系，它就是店里边做的回馈活动吗？为什么这么搞？
[06:22.110] 这怎么说白了这是不是我要照一下公里数？
[06:30.160] 这就是他最近推出了一个活动，然后
[06:33.310] 这也就是说您来北大来修车，修车反正您
[06:38.520] 来这修车给您的福利。
[06:40.640] 最近刚退了没多长时间。
[06:42.430] 没听说还真不知道什么好多，你要是有修车的这种
[06:48.260] 想修车的好多人都上了，他确实是有什么确实有这活动挺好的。
[06:54.430] 到交1400 1450块钱是吧？
[06:56.910] 1498，
[06:58.200] 然后show交1490 85天的等待期，这15天过后就跟您说您想修那块，
[07:04.960] 就算你2500修完车，您过来提完车，修完车过来提车，提车之后，
[07:10.910] 然后办一下手续，第二天就把钱反过去。
[07:13.900] 把钱在还给我，对那还到账了等于。
[07:17.610] 他赚点了1900，您坐在那什么，他得相当于给您的一个
[07:22.930] 每年就是说走保险他不是会有一个差额吗？
[07:26.380] 保费的差额，他不是保费会上涨吗？然后他就等于是给你的一个
[07:32.200] 福利，这就算相当于一个什么
[07:37.030] 挺好的保险，你要是想有走保险这种想法，保险还倒贴，他怎么按照这么说，我交一交2000块钱，他回头返2000多，交1498，反正2500第一次修车3000 2500，第二次修车也三两天，我一年翻两次。
[07:51.940] 别车有划痕险吗？
[07:54.300] 我的应该险都有好多钱都有，您缺几年了？
[07:57.940] 两年多一点，哪家保险公司的？
[08:00.200] 能报的。
[08:01.260] 你适合上一个像那种
[08:04.090] 下回走那什么就走近点坏了，
[08:06.900] 这条路了是吧？听到不知道怎么弄，
[08:10.930] 把这帮人画的画多少钱？
[08:13.460] 话这条大约是。
[08:17.650] 对。
[08:19.040] 1000多块钱估计是1000多块钱，这记不住。
[08:22.580] 什么您车上有划痕，看着有上一块走一下，
