[00:00.800] 接到二次客户
[00:03.140] 出去
[01:33.170] 那么句话。
[01:34.930] 对吧？这个事
[01:37.760] 咱们是这行我没出去了，
[01:41.060] 你们得看一下合不合适这个单子。
[01:46.370] 然后。
[01:48.670] 的
[01:50.920] 晚上。
[01:51.710] 的。
[01:52.720] 谁知
[01:54.630] 谁知
[01:57.510] 中介的。
[03:09.620] 对。
[03:38.550] 公司。
[03:40.710] 不能
[04:12.170] 1,458,800，
[04:13.520] 这是129,097。
[04:15.800] 保险的话全险应该在三年左右，我们父母受伤了。
[04:18.950] 这等于就是193商场也提交，人家可以约上300就可以。
[04:23.500] 一直后面用。
[04:24.820] 围在一起一共是62万。
[04:26.800] 谁知
[04:28.050] 在这个基础上的话，如果你就是的话，我们周末之前明天。
[04:33.090] 才能构成一个什么？祖国。
[04:36.290] 还有谁知，
[04:38.940] 只能说是都送给了。
[04:42.660] 谁知。
[04:45.360] 谁知出现。
[04:49.080] 圆的。
[04:50.810] 优势。
[04:54.180] 优惠促销没有了。
[04:55.900] 没有。
[04:57.670] 保险都是这个房子负担是什么样子，你谁知
[05:06.280] 这两个元素
[05:08.970] 告诉你，
[05:12.770] 谁知。
[05:14.640] 你们怎么给你优惠买对不能决定优惠的。
[05:18.910] 我
[05:26.010] 也
[05:34.470] 行好了。
[05:38.310] 休息。
[05:40.400] 你不是车架咱们可能优惠，我还问了一下，我说要是有优惠我就过来。
[05:46.560] 你它没有优惠，
[05:48.710] 别地也有资源，说您
[05:51.790] 让我跑一趟没有任何意义。
[05:54.400] 咱们现在综合优惠是6万块钱，
[05:58.000] 从别的地方了驾
[06:00.990] 给我的价格有比较最低的地儿是一个情况，我一朋友的一汽贸3万，
[06:08.560] 原价应该就是车的价格是32,000左右，
[06:13.190] 优惠32,000，对3100，还有其他的一些可能挣2万块钱装饰着这一系列的什么东西。
[06:20.430] 知道我跟你这么讲，据我的了解咱们成不成都无所谓，我们了解4S店来讲的话，不可能有任何一个店给您优惠的。
[06:30.850] 我推荐我其实也对这行很了解，我朋友可能我心里也觉得
[06:39.000] 我对这行比较了解，我还特意打电话问我说你要是没有到36,000，
[06:45.490] 我没必要折腾单独折腾，那我不跟你说了吗？
[06:51.740] 这个东西如果精品咱不送的话，我保险全我都会全送你都行，39,000。
[06:57.640] 我这么跟你说，我买这个车
[07:01.530] 全款不想在这上保险你知道吗？
[07:05.150] 你在哪那就不行了，咱们现在因为优惠咱没法优惠车价，只能走保险的形式，行，没事不好意思让您白跑一趟。
[08:13.310] 好了吧？
[08:14.490] 没事。
[08:17.560] 说继续。
[08:21.680] 等到坐那一打电话咋说的？
[08:24.120] 买了多少人？
[08:25.240] 聊。
[08:27.070] 当你扳回来订了你说
[08:33.870] 一天心情不爽，是因为这事儿。
[08:36.360] 哪大东西？
[08:38.410] 他不是他不可能切我，但是也不太地道都是。
[08:42.980] 他弟弟。
[08:45.170] 不是他哥来了，他哥哥嫂子来了吗？他递给我了，
[08:49.520] 然后我给你灌个2700的贴膜，他15,000就给他了。
[08:53.090] 0去掉。
[08:55.340] 你王志强想什么车主的，你看地方和车架号就是的，
[09:03.840] 是吧？
[09:07.160] 为这就说不地道，你说这事干的不对的，
[09:12.070] 然后我给打电话，
[09:13.560] 我为什么有这样
[09:15.570] 茶？
[09:17.280] 其他原因谁去，其他原因我回来打电话，
[09:21.840] 他说其他人也说这车还有一层，
[09:24.700] 我说吃一个人买了，
[09:26.040] 伊万离开，
[09:27.490] 我跟导演睡。
[09:30.840] 是我跟你聊了一下午，我是我费那么多心，我费了好了那么长时间，最后让他得了。
[09:36.570] 为什么？
[09:37.910] 所以我跟李阳早上起来我就说了，为什么希望不卖？
[09:42.530] 着急用车，bc给他打电话，
[09:46.920] 打电话在群里面拍了一场活儿，联盟他们那么好，你27,000。
[09:51.350] 二。
[09:51.580] 慢慢卖了就给。
[09:53.070] 本身。
[09:53.500] 买。
[09:54.210] 而不是多少。
[09:55.150] 买我负得起时间精力，最后一个电话大概15,000 1000万，
[09:58.880] 谁给她权利放弃吗？
[10:01.630] 周永。
[10:02.850] 而且这个东西就明摆着这个事儿，要是你的话，你问问你会不会问客户注册码，你肯定会露出来，是谁接待过你呢？
[10:11.280] 所以说这车弄的又不漂亮。
[10:13.840] 然后我跟领导说这句话，后来别他说法律是给我说怎么办？
[10:17.930] 我说这事不是他一说，我就说这事儿。
[10:23.790] 你弄他说第一你赢房子转给他怎么着，我说那你办法。
[10:28.980] 我一天我的心情特别不好了，我不差这一车，
[10:33.260] 我就看你什么态度，我不相信你不知道这车是我谈判，
[10:36.720] 你不能了。
[10:38.660] 他跟我说了一句话，我知道什么人玩了，你知道吗？你知道他跟我说一句话，
[10:45.280] 张扬了，这个车要买着急吗？先急着卖车，
[12:20.700] 装？
[12:22.140] 有没有？
[12:23.730] 太多死。
[12:25.240] 黄金考虑一下，我说先给他这个钱给定下来，
[12:28.720] 把我
[12:30.490] 这边拿的
[12:32.750] 虽然这事让我特别的
[12:36.020] 特别气愤，从现在开始我也不是你在卖车，你在有什么你不能不择手段。
[12:42.640] 不知道。
[12:45.220] 生气真机他们不是他连抬头里都没体现，都一般，我们买的车他今儿特地跟我交的这种我还买车。
[12:54.200] 为什么要写太多？
[12:57.150] 上过电话我没
[13:00.070] 我们可以
[13:01.580] 赶快过去。
[13:04.350] 我
[13:05.890] 我们工作该做促进互联网账户，当时他拿一下给打扫了，
[13:10.120] 什么人？我说仓你咱给我当什么对吗？
[13:15.570] 刚才给我问三遍，我这说27,000两73万当时给了都买，
[13:21.610] 被批准那房子怎么了？
[13:27.430] 100
[13:34.180] 看看这个案例。
[13:35.360] 他了。
[13:36.440] 房子谁知这一年比较了怎样都送了。
