[00:01.770] 一三百一层是吧？
[00:04.510] 行好勒，您稍等。
[00:06.320] 看看。
[00:09.440] 别的接着我们不了解不负责任。
[00:11.900] 对，我不知道是什么。
[00:14.490] 接待首次章程，对有可能。
[00:24.230] 拿回来没给你。
[00:25.110] 我对。
[00:26.250] 可以没事。
[00:37.060] 你好张先生吗？你好。
[00:39.640] 高温大威好了，接着您这我名片。
[00:42.400] 去这名片印得有点说道没事，我把你微信它是个错。
[00:47.300] 笑着说我把它给收藏。
[00:51.160] 款是时尚运动的，不是这款是运动舒享型，是配置
[00:59.350] 300系列的顶配舒享型运动大标地这块，对，如果是他的轮毂是mg轮毂是so想的，如果是普通的
[01:08.270] 时尚的话，他是那种银色的普通的铝合金轮毂，第一次来咱们店是吧？
[01:13.910] 第一次来你们之前有个预约或熟识的销售吗？
[01:16.990] 没有水的话有咔嚓成真，咱做一下可以大概都了解完了，我这儿没关系，网上已经看了和网上都看了
[01:26.450] 了。
[01:28.450] 您从这过去那个里面往里走，右手第三个就是第四一个。
[01:33.980] 对，就直接不能拐关系。
[01:41.530] 看车之前奔驰有个服务公约，不耽误您时间，简单的给您宣讲一下，客户为先，以礼相待，诚信
[01:47.370] 运营合法得体，明码标价、公开透明推荐渠道进行公示，
[01:50.940] 绝不捆绑销售强制消费，绝不使用假借一次分行，下边咱监督电话40088188130监督，
[01:57.690] 对分值现在还是行业内第一个承诺不收取金融服务费的品牌。
[02:01.760] 您想看的是哪个是13版时尚型吗？还是对13版时尚型，然后大标立标上
[02:08.040] 立标招标价格是一样的吗？价格是一样的，但是它的优惠略有差别，然后大标的优惠的多一些，利标的又会少，
[02:15.290] 差个2000块钱超两公分来说，
[02:18.660] 我指导价是一样，看的是立交的时候，小标的对车是您用是吧？用颜色想看什么颜色的，我大概得先查一下库存。
[02:28.330] 就黑外棕内。
[02:29.790] 黑车。
[02:30.970] 黑色外观，棕色内饰。
[02:35.280] 一三百
[02:39.800] 时尚行立标是吧？
[02:41.480] 黑车棕内都有现车，然后你们
[02:46.920] 先问一下，然后我挂这个
[02:50.270] 北京周边的还可以吗？
[02:52.380] 如果您挂外地牌的话，我们就只能以公事加销售是没有额外优惠的，所以说这个得给您提前说清。
[02:58.770] 公司叫什么？对，我们在那边都有一个公示板，所有的车型都列了一个公式价格，如果您上的比如说我上河北牌，然后我们就只能以那个公式价销售，就没有金牌的优惠。
[03:12.410] 比如说是跨区域的队，因为国家的话是不允许有区域限制，所以说奔驰现在可以卖，但是它的优惠不一样。
[03:21.150] 因为这个东西其实咱一想也能明白，比如你河北可能也有经销商什么的，但是北京确实市场大，厂方给的对支持要多一些，所以他优惠力度越大。
[03:31.230] 我们的所有的优惠就只针对金牌，如果您上外地牌，我们就整理公示价销售。
[03:38.870] 车是在北京用，
[03:41.240] 车是在北京用，现在等于没有北京指标，如果有一个北京金牌我是租的，然后现在挂在我另外车上用。
[03:49.250] 然后您现在用的什么车？石头感受怎么样？捷报，那个是金牌可以继续用指标或者置换，或者说是腾出来那个指标继续用吗？还是？
[04:00.120] 我只要在台湾继续用，你就先忙完，因为
[04:04.320] 就一台车在北京用，然后另外一台车回老家理解，我简单的给您说一下，因为说白了作为我们销售肯定都愿意卖车，但是这中间有几个差别。
[04:15.550] 主要就是价格优惠，然后给您出几个方案，您看怎么合适。
[04:20.690] 就第一种方案，
[04:22.100] 说我这车可能实际在北京用，但是我确实没有金牌，然后您就只能考虑第一比如说我当地比如我挂保定的牌子，你问一下保定大概优惠多少钱？
[04:34.590] 然后跟金牌比有没有更划算，如果有更划算，说白了你就在。
[04:40.050] 对，保定当地直接买了之后在北京用，另外一种刚才我为什么用
[04:45.930] 问您现在那个指标问题，如果中间的差价大，比如像现在北京的京牌的话，基本上都是优惠7万多。
[04:53.610] 对，你像300系列的基本上各款不同，71,000 72,000一职高的300豪华动感的。
[05:00.290] 300豪华大标都优惠到75,000对吧？如果比如说你保定我就又汇2万优惠3万，这中间差个四五万块钱去，
[05:09.470] 你在北京说白了你租个指标一年才对，是这个道理，因为我不想再租是吧？因为我不想再租了，你完全可以在金牌先上了牌，然后过一段时间在过出去，对，因为反正车你自己用，你又无所谓说再过一首。
[05:26.190] 但是从价格优惠上来讲，这样肯定相对是划算，我在租客基本上用一年，然后再给他进去不一样的，过半年一年的。
[05:33.160] 比如说你现在都用了，我再用3月就完了还。
[05:36.700] 是这个道理吧你？
[05:38.540] 在这个是优惠7万，按照京津冀要算的话是吧？对金牌算，然后
