[00:00.000] 哥开始结束。
[00:07.550] 花。
[00:11.160] 花。
[00:19.420] 手
[00:21.680] 花
[00:27.620] 10
[00:34.360] 的
[00:39.190] 花
[00:40.360] 坏
[00:43.650] 的。
[00:46.810] 数据、
[00:50.170] 用
[00:52.840] 花
[01:01.550] 场
[01:03.490] 数据化
[01:10.870] 咱们去看看。
[02:43.770] 用一下。
[02:45.180] 驾驶证等一下。
[03:14.280] 你要给你
[03:15.610] 不用。
[03:40.360] 大概下午几点？
[03:42.510] 5:00左右差不多。
[03:44.290] 看一下我晚一点过来。
[03:46.390] 5:30之前那没问题，我大概3点，我孩子中午有，
[03:51.670] 我下课就得2点多。
[04:02.250] 对手保我没有
[04:05.380] 没过来什么过。
[04:07.340] 所以说现在剑南春，
[04:10.600] 因为我那什么
[04:12.580] 车也很少开，
[04:14.670] 我看你开的不少，正常1万公里保修就三年了。
[04:19.290] 三年保养一次。
[04:22.500] 一直没过来。
[04:24.080] 你
[04:36.440] 136。
[04:42.470] 136112你要找哪个的？
[04:50.500] 6。
[04:51.580] 可以11251800。
[05:00.990] 136。
[05:02.440] 13611251800。
[05:19.830] 这我拿走好。
[05:23.880] 我就现在可以走了，我跟您说费用行。
[05:28.800] 然后我需要
[05:30.920] 在车看一下油表。
[05:33.120] 了没事了。
[05:48.960] 咱们这车是一年保养一次。
[05:50.980] 少。
[05:55.550] 一年或者是1万公里是吗？
[05:57.500] 对。
[06:15.210] 您之前了解过我们大夫车险是吧？
[06:18.270] 代步车。
[06:20.220] 什么叫代谢特点？就是我们客户跟您说过吗？就是修车补偿的服务，
[06:25.780] 看您这车外观搞了好多，
[06:33.050] 罚2500交1498，修车反正2500，
[06:37.100] 等阶教1500两。
[06:40.520] 等于是3000块钱，对他有两次机会，像您这种都可以修。
[06:47.870] 对，他打电话跟我说来了，可是它不得同时今天才能
[06:51.680] 看你15天之后才能就是说对
[06:56.460] 需要我给你发一个
[06:58.780] 就是这么一个，其他没有，还有其他的。
[07:02.160] 一共两个活动，一个是保养卡的服务，
[07:04.910] 还有一个咱们店里现在做了两个服务，一个是保养卡是保养这一块，一个是修外观这块的
[07:12.150] 服务。
[07:12.750] 然后他跟您说的是修外观这块的服务。
[07:15.920] 刚才屋里给您详细说一下，好的。
[07:18.460] 咱们继续。
[07:19.760] 就先把说给你说。
[07:23.090] 好，里边讲。
[07:45.360] 完了。
[07:46.200] 打断你就问谁知
[07:49.780] 行好吧。
[08:01.780] 我第一次就被
[08:08.600] 他的数据
[08:11.530] 的
[08:12.260] 场
[08:14.470] 花、
[08:16.490] 数据、场、场、
[08:23.330] 数据
[08:25.270] 场
[08:30.420] 花
[08:37.940] 远。
[08:41.020] 数据、
[08:44.190] 数据
[08:45.560] 远场
[08:54.250] 保养卡是
[08:58.600] 谁知
[09:03.210] 比较便宜的，他是在原价的基础之上做了打折。
[09:08.430] 绿茶多少钱？
[09:12.670] 5721块钱，你可以做4次保养，2C2次D技术
[09:20.750] 机油机滤、两次机油机滤、空滤两次，
[09:25.440] 两臂膀
[09:28.820] 算一下。
[09:36.250] 场
[09:45.730] 快。
[09:49.180] 6070。
[10:00.500] 85折。
[10:06.120] 然后我们现在买网卡送礼品。
[10:09.060] 100块钱，对那样礼品可以随便选一个。
[10:13.880] 主要您跑的比较少，这里面都是金属箔。
[10:17.160] 这里面都是基础包养，我不清楚上海这里面都是基础保养，往那边
[10:23.990] 你跑的比较少，比较适合那种跑的少的客户。
[10:27.720] 明白意思。
[10:31.120] 我这次保养算吗？
[10:33.380] 这次您既买即用，
[10:35.170] 买完之后立马就能用，这次保养要花多少钱，正常做A保1274。
[10:41.470] 基础A保养
[10:43.200] 了。
[10:46.190] 接下来会有包括机油、滤芯、
[10:51.550] 机油和机滤费用，
[10:54.300] 机油机滤空滤，然后清积水相等记到外部，
[10:58.440] 谁知
[11:00.390] 这个需要多少年前我原来没弄过，永远都是一年内家里这些都是一样，
[11:06.040] 有别人做，
[11:08.150] 到现在一年做一次就过来了，一直耗耗耗。
[11:13.710] 谁知
[11:17.100] 对一年做一次，您想问的往往做又做一次对吧？一年做一次一次A
[11:25.550] 一次B一年做一次一次，这样只要往上一一一粘，
[11:30.760] 第一年A第二年B是这个意思吗？行来其他比如说您买的话，现在就是4年的保养，6
[11:39.140] 小广场，
[11:41.270] 没有别的，其他就是额外见你，如果你需要换刹车油，就幻想下车流，
[11:48.020] 刹车油建议你是两年换一次，
[11:50.850] 那是单独付费的400多块钱。
[11:58.030] 轮胎。
[11:59.680] 行，然后你说送东西了，没事你稍等，我现在已经一个月说完。
[12:06.030] 我明天我就说了，
[12:07.600] 场
[12:13.230] 数据
[12:17.770] 数据
[12:22.990] 快
[12:28.750] 坏。
[12:31.610] 花
[12:34.060] 了
[12:40.280] 咱们
[12:41.880] 我给您做一个假设，你买了一个保养卡之外不用付费的。
[12:47.710] 正常，因为您这车不了，
[12:51.780] 您需要换一刹车油，
[12:57.370] 在那等着过来说喂
[13:02.430] 刚才大厅你过来到来找我，他们在这
[13:12.970] 场、
[13:15.580] 车
[13:18.050] 出门往右边
[13:28.410] 的
[13:32.240] 但是
[13:33.960] 不好意思没事，如果您需要的话，就两年换一下刹车油，您加一个409的费用。
[13:39.710] 行宫角有位吗？您用？
[13:42.590] 没办法没法旧滤芯不给您画的，那就是
[13:46.190] 交一个5721再加一下车有409的费用，然后就近做一个保养A是吗？对，然后您这里面还剩余
[13:55.720] 两次B保养，还有一次A保养，
[13:58.920] 以前你可以后续继续使用就行，然后这个然后您说送东西，因为你买的这两2B完卡我们东西随便选一个，
[14:10.270] 随便选一个，然后
[14:12.750] 我先把保险给您安排上，因为营养不营养期时间，然后咱们接着聊。
[14:21.170] 给
[14:43.230] 因为
[14:46.170] 的
[14:56.380] 的
[15:03.530] 场
[15:07.410] 场
[15:10.490] 坏
[15:11.380] 数据。
[15:19.050] 场
[15:39.880] 坏
[15:44.440] 号
[16:30.480] 许多
[16:32.680] 数据
[16:35.210] 你把他
[16:46.610] 把价格给您写着。
[16:48.530] 行，一共是这么6130。
[16:51.720] 您的钥匙电池报警了，您可以到外面去买，外面比较便宜一些，那边吃报警了吗？暴雪报警。
[16:58.470] 我刚换的电池没多长时间又发作了，行好我知道了，一次比较便宜，
[17:03.990] 这样。
[17:04.810] 然后我跟您说一下咱们车辆外观您管得非常多，
[17:10.660] 你每年能上保险了，
[17:12.510] 保险可别忘上。
[17:14.120] 然后那个车有还演吗？
[17:18.120] 没有，谢谢。
[17:20.800] 你得上一个划痕险，什么时候着急时。
[17:25.240] 不着急，然后您先买我们这一个服务，我们服务1498块钱，
[17:30.760] 时间问题上还一点，稍微缓一点就把车修一下就行了，至少最好剩2万块钱额度的。
[17:38.720] 当时住的。
[17:40.540] 你说什么上海10月份上的划痕险，对您确定没有是吧？
[17:45.890] 没有，我今年肯定
[17:49.950] 今年肯定对我一年没有一年上一个
[17:56.540] 我帮你看一下。
[17:59.250] 的。
[18:01.520] 这不是这是我的手里面都是电子的手机。
[18:12.350] 的。
[18:13.830] 应该是刚刚没关系，反正还能
[18:19.890] 只要是5年之内都可以，你上完去。
[18:23.430] 半年之内是什么意思？接不了了，就是5年春玲之内都可以上还原。
[18:30.910] 你超了50小胜也上不了了。
[18:33.050] 比如说你在你尽快把黄山险上了，
[18:36.670] 然后修车修完之后，我们赔付你2500块钱现金，
[18:40.110] 然后一年可以赔付两次，他是论自然年以今天为准，就是今年交一千三百十万到明年今天
[18:47.800] 两这一年之内你可以修两次车，
[18:51.170] 一次赔你2500，
[18:55.400] 您如果办的话，您办一个照到餐厅吃饭，
[18:59.930] 因为确实该修了，对这块管得太多了，特别讨厌，你说车放在
[19:06.090] 一点都不影响，
[19:07.950] 就给你管管了。
[19:11.140] 您见人划着看你内向。
[19:13.460] 任华的您太快了。
[19:18.370] 正好您去吃午餐带孩子。
[19:22.320] 40万。
[19:23.980] 上课自助餐我问问
[19:26.760] 号。
[19:29.800] 坏数据。
[19:34.660] 场
[19:39.070] 花。
[19:42.470] 的
[19:47.140] 第二
[19:51.700] 用
[19:55.100] 手臂
[20:01.050] 送走了
[20:03.280] 了
[20:07.640] 了
[20:09.430] 了，
[20:13.990] 天天乐，
[20:18.630] 你是不是完成了就不用再上班了等等这边联系了。
