[00:00.000] 左右位置有点偏向于约，因为
[00:04.230] 家装的话他是走电视走到
[00:08.000] 那叫什么牌照灯的电，所以你装的位置
[00:13.420] 就不是正中间，
[00:15.230] 它是靠近牌照灯某一边的位置，不是左边就是右边。
[00:19.400] 他弄
[00:21.920] 明天传过来看看那个影像习惯了。
[00:26.290] 壮我只能说让精品部门帮您看看。
[00:32.980] 对。
[00:33.960] 一般我们运这情况应该是什么？因为他跟妆的位置有关。
[00:38.190] 标准。
[00:39.000] 而且什么导航那玩意有商品的，
[00:47.250] 行，那款应该是插卡的。
[00:49.350] 对。
[00:50.870] 又你是不是一个SD卡的那种。
[00:53.440] 做那个的
[00:55.500] 装饰吊的后视镜，对。
[00:59.520] 小盒的。
[01:02.660] 后视镜不是原车的也加装的，您是在销售那边给装上吗？
[01:08.260] 对。
[01:09.630] 中间反环境。
[01:11.530] 快。
[01:14.310] 我估计他们也是换卡。
[01:17.860] 用一下您的驾驶本或者身份证作为登记。
[01:23.470] 好，这就行。
[01:28.580] 到时候这么着都弄完了，我带您到装饰部，
[01:33.020] 专门给您装家装这些的，让他们给你看看
[01:36.740] 怎么弄。
[01:38.360] 因为我这不负责这方面不了解，
[01:42.660] 我们只管远场
[01:47.160] 的
[01:51.190] 场。
[02:01.250] 场
[02:06.180] 数据
[02:10.560] 的
[02:15.690] 场
[02:21.840] 电话是138114216921691是吧？
[02:31.500] 在保定那边
[02:38.100] 召回一般咱再进还用的多。
[02:46.030] 当地有
[02:53.350] 拿到没有？
[02:55.280] 对来这才三四十分钟，你要不动车，
[03:00.710] 稍微您看咱们这车有一个套餐自己办的应该
[03:09.740] 还有机油三滤可以用这一次。
[03:17.620] 五
[03:19.300] 数据。
[03:24.350] 还有
[03:29.120] 五。
[03:29.760] 1700
[03:31.360] 2650。
[03:34.840] 先跑了4万公里，400公里有几个79年的
[03:40.000] 刚玉简师傅检查是后边的刹车片薄，
[03:44.740] 考虑换一下吗？关键点的我没听明白，你说把这个项目
[03:52.670] 把这俩项目
[03:53.880] 都是自己的都选上也行，无所谓，就是说因为王石我的意思你看
[03:59.460] 哪来的踩刹车磨您这4万公里没换过算省的了，
[04:04.570] 正常很多都3万公里左右，
[04:08.120] 费的2万多公里就不行了。
[04:10.320] 对咱这个事情算吵得比较好的情况了，然后
[04:15.480] 说这话有用，你小型的有一个孩子吗？
[04:20.470] 主要是一个部门的。
[04:23.880] 这个就交给田娇娇，今天可怜了。
[04:26.990] 反正13
[04:30.930] 在这里也能用上零零售零售，然后
[04:35.230] 感觉总共甭管多少年，不一可能你一年跑多少，比如说一年就跑1万公里，
[04:41.690] 总共也跑了4万公里，它也会达到4万公里磨损，就跟人一年跑4万公里磨损一样
[04:49.370] 远。
[04:53.340] 了
[04:54.400] 数据
[04:58.920] 数据
[05:01.420] 远场
[05:08.010] 数据
[05:11.240] 场、
[05:14.760] 花花、
[05:20.130] 远
[05:23.260] 场
[05:26.300] 远
[05:32.150] 拍
[05:34.240] 过来。
[05:39.480] 远
[05:42.240] 数据
[05:43.620] 远场、
[05:44.840] 数据
[05:47.750] 的
[05:55.010] 场。
[06:19.580] 手机
[06:22.500] 的。
[06:28.010] 接着
[06:31.660] 数据
[06:35.630] 场、
[06:38.680] 场、场、场、
[06:44.570] 场、
[06:47.180] 场
[06:48.560] 场
[06:49.780] 了
[06:53.220] 场
[06:54.180] 场
[07:03.600] 二
[07:04.400] 远。
[07:08.880] 交往
[07:14.100] 话
[07:23.000] 坏。
[07:26.080] 别的。
[07:28.420] 比如说咱们有一个大车不着险，
[07:35.960] 没报案的情况下先上，然后报案修车，
[07:40.560] 每修一回车给你2500块钱，应该两回，
[07:44.500] 修两回就给5000。
[07:46.390] 意思就是数之后先报。
[07:49.700] 你得先交这个钱，就没帮之前先交这钱千万元，然后你先稍微等会。
[07:57.570] 我给你讲一下舒服。
[07:59.980] 先
[08:01.940] 稍等一下。
[08:04.370] 对，正常是今年可以先交，要是走
[08:08.840] 光伏有最好晚点，然后你走保险修车。
[08:12.500] 这个就是攒钱。
[08:29.230] 首先说一下市场
[08:30.480] 保养，
[08:33.730] 丢三列，咱们承诺就不用花钱了。
[08:36.950] 咱车是17年的车，4公里，咱们是2年以上换一次刹车油，
[08:42.840] 4万公里换火花塞，然后检查
[08:48.000] 然后
[08:51.920] 清洗空调风道。
[08:59.000] 句。
[09:04.530] 刘
[09:13.560] 应该
[09:17.600] 的
[09:18.830] 一
[09:21.200] 中午跟他吃个饭，好买了。
[09:24.870] 您微信用公众号我给你领一下三块。
[09:32.860] 叫百得利集团。
[09:37.290] 新款
[09:46.430] 快。
[09:51.450] 百得利集团5个字的对右下角有1个我的
[09:58.310] 再关注一下右下角我的。
[10:01.950] 对。
[10:07.990] 对，差不多1:00。
[10:13.680] 咱们注册过吗？上最上。
[10:17.740] 最后看有头像吗？
[10:20.210] 没有眉头，要点头像注册一样。
[10:23.310] Nothing I现在他可能更新了，要不方便一家了，现在要把停车券跟饭圈都搁到一块了，就更新了。
[10:35.200] 不是，我跟你说一下您手机号是吧？
[10:41.580] 合同。
[10:43.120] 133你好，在什么，然后你稍等我一会儿，考虑三就有点多。
[10:49.990] 3664，等会64发一下，这边有啥问题随时咨询就行。
[10:56.750] 维修保养这边给您预约。
[10:59.960] 过去了的好了。
[11:04.540] 138的手机号。
[11:11.290] 一个人是吧？刷一下就有了，发现
[11:19.920] 往下滑一下一发新就晚上
