[00:00.230] 王先生您好，车好了可以取了这次做的A保之前买的套餐，所以没有任何费用。
[00:11.160] 下次保养再过一年1万公里了，过两天有电话回访告诉您帮忙打个满分好吧？
[00:22.450] B
[00:23.850] 数据
[00:28.320] 数据
[00:37.040] 6050。
[00:40.520] 1050。
[00:45.980] 你好。
[00:47.240] 前一。
[00:49.540] 的。
[00:50.340] 给您打电话了，您是有车在咱们这修吗？
[00:54.300] 是王女士吧？
[00:56.000] 对，可以通知您取车了。
[01:01.060] 没什么问题。
[01:03.490] 会等。
[01:04.780] 行。
[01:05.740] 您好。
[01:07.110] 等会我正好电话，然后你一直在通话中，然后是这种情况，车子已经检测完了，然后
[01:13.590] 有两个问题您说一下。
[01:16.670] 第一个是右后轮胎有伤，然后建议换标，对，第二个问题就是墙后头的斗志的刹车片
[01:24.510] 偏薄，
[01:25.610] 反正对这个东西建议你换一下，还有前后杠什么？
[01:30.250] 就潜到右侧，那边就是外挂，这倒不是问题有点剐蹭，这倒没问题，对。
[01:36.130] 现在知道问题严重点，就是一个U湖轮胎和一个思路上面别的名字
[01:40.720] 数据
[01:42.140] 场
[01:44.550] 数据
[01:45.710] 数据、
[01:52.200] 数据、
[01:53.080] 数据
[01:57.240] 品牌精神，
[02:02.200] 我不是发群里了吗？
[02:04.080] 咱们群里。
[02:07.320] 2002这都开心不了，这他一点一点抗02004155。
[02:14.290] 不用你就直接搜那什么，so4不就出来了。
[02:17.760] 10071000。
[02:22.160] 感谢两
[02:23.640] 明天。
[02:30.670] 答案发给你。
[02:32.250] 要吗？
[02:33.350] 等我开始考试的时候，
[02:35.670] 来了自己点。
[02:39.560] 自己弄杀别删发到微信里边，第一道题的话稍微找找，你好。
[02:48.910] 先这么着，先甭管他
[02:50.920] 薄了不对，他现在反正啥变化了，三门上面全画的画，现在2.3.3节，
[03:01.150] 3000万左右看看。
[03:09.980] 对，你现在确实是保了，而且右后轮胎人家你反正知道你上吗？
[03:14.940] 好的时候注意点，别把太快就去过工作吗？
[03:18.540] 我看到
[03:22.700] 带到你在外面花就行，咱们上班说话也行，只要确保安全就行。
[03:29.160] 没事了，我没看就是没事。
[03:32.830] 我师傅告诉我的东西带在身上。
[03:36.520] 您今天来吗？今天要换的话，我还记得看到前面
[03:42.210] 乱吃药非常走差不多。
[03:45.270] 因为你现在就是6万公里，要是明天估计可能我得看你车型号，
[03:51.390] 看看三电话。
[03:55.930] 行。
[03:57.280] 可以点评是吧？车基本洗不了了，你刚刚刷完之后就是哪款车型？
[04:04.620] 车已经停在停车场了，
[04:07.460] 消费300应该是2000，我给你打电话不用看不见，那时候一个是2400多，一个1300，得看您什么，你看你肯定有危机，
[04:19.120] 我给你打电话，然后一直在通话中，后来一直忙完，忙完了我又给你在街上还在网店
[04:25.810] 演出的时候看着头给我打电话，
[04:29.220] 你打你看有没接？
[04:31.860] 在店里过来找我去了，您车牌号多少？
[04:35.850] 您的车牌号多少？
[04:37.720] 行，你不可能有俩0121V
[04:44.850] 唯一行，您过来您大概多长时间能到？
[04:50.420] 多年。
[04:51.810] 化妆了多少？三最少的一个是吧？
[04:56.090] 行，您稍等，我看一下您这车有没有召回，因为最近交费有汽车有召回，
[05:02.820] 没有轮胎的话，我还不确定有没有货仲裁，明天回来再去查一下，确认一下。
[05:08.230] 你先把车换了。
[05:10.430] 我们再看看他是
[05:13.260] 快，因为这东西构建空间可能慢点，等我帮您看一下，花120这样的120能保持能保，但是不说话你要找到了旱冰，您这还没有暂时还没开始。
[05:25.570] 好办法。
[05:26.900] 哪个还有轮胎，不是商店还是还没到，那不是，他是分两个问题，车暂时没有，现在是气囊还没有现在。
[05:40.520] 行。
[05:42.590] 行。
[05:44.820] 了。
[05:46.270] 没问题，您来待会儿。
[05:51.600] 对我在外边下班之前差不多2:30左右到
[05:59.380] 4:30 4:30~5:00。
[06:02.910] 好勒。
[06:06.310] 号
[06:07.720] 马上上场。
[06:12.920] 数据、
[06:16.110] 数据。
[06:22.590] 你好坏数据。
[06:30.890] 数据、
[06:33.590] 数据。
[06:37.110] 坏数据，
[06:38.840] 我记得大量的当然片面的都是。
[06:45.230] 因为它属于经常保养维修。
[06:49.040] 为什么？
[06:51.560] 了以后S
[06:59.450] 场
[07:01.270] 数据
[07:05.700] 场。
[07:12.130] 号。
[07:15.040] 第4个人。
[07:22.100] Ob. 
[07:23.630] 好谢谢。
[07:27.270] 好
[07:35.130] 干嘛？
[07:39.350] 谁知
[07:41.920] 花
[07:46.770] 怎么处理？
[07:51.600] 谁知
[07:54.970] 还
[07:55.920] 之前，
[07:58.150] 包括主要扮演，而且上面这样
[08:03.040] 坏
[08:05.400] 场。
[08:08.400] 场
[08:10.370] 场。
[08:11.670] 五。
[08:14.620] 五。
[08:16.820] 五
[08:17.970] 坏。
[08:18.950] 数据、
[08:20.050] 数据、
[08:25.690] 五。
[08:27.150] 五
[08:31.490] 数据
[08:35.050] 谁知几十分钟
[08:41.190] 的话你谁知
[08:44.760] 但是现在是什么词性？
[08:47.230] 因为你正常的没啥，谢谢。
[08:52.770] 到底
[08:56.310] 名字上了。
[09:01.090] 号。
[09:01.960] 谁知。
