[00:00.000] 这边好像很高兴为您服务，有什么能帮到你了？
[00:02.910] 感谢我现在招商，咱们谁知您看您这边电话先生
[00:09.000] 说话了，你指标晚上完了您过来对吧？很多时间。
[00:14.700] 您上北京牌照过车吗？这样。
[00:16.510] 方便你好还行。
[00:18.130] 300动感，想买豪华。
[00:19.840] 到来看一下现在好吧？
[00:23.200] 好的，好谢谢拜拜。
[00:25.680] 行没问题，因为是这样先生，因为我们这边打过来是前期咨询，不是展厅的销售，电话里边我能给您报的只有现金优惠，可能跟您到手的价格出入比较多，因为我们这边权限跌，您也没有什么参考的价值，您今天有空可以来展厅先试乘试驾一下，我们正好也帮您查了库存有没有您要的颜色，正好两款车型都在做对比，我们也给您做一个配置差异的参数对比，您大概考虑一下看哪个车的性价比更高一点，可以直接选择购车。
[00:55.640] 因为这个车的话，咱们展厅里边也有提供试驾车，您如果要是家庭用车的话，也可以带着家人朋友过来试乘试驾一下，正好后排空间的话，包括舒适度，家里人也能给您一个意见，您看可以吗？
[01:09.400] 然后这个是假的话，您看我需要帮您提前把车留出来，因为咱们今天的客户比较多，您要预约试驾，我就先给您做上登记了，看您大概几点到。
[01:21.780] 你没事。
[01:23.670] 明天是吧？您贵姓先生？
[01:27.450] 吕先生您好，北京牌照要做置换。
[01:30.410] 在里面没有优惠，没错。
[01:33.090] 新购没问题，您看您明天大概几点到我这边提前给您做好登记安排，咱们销售主管接待价格可能更合适一点儿。
[01:40.520] 您谁知。
[01:46.170] 我不确定您什么，对，我不确定您什么时候来。
[01:49.750] 您想什么没关系，您先说。
[01:51.800] 说的话应该是没有用。
[01:56.530] 配置参数的话。
[01:58.910] 对配置参数可以让他给您回，但是电话里他肯定也给您报不了成交的价格，因为它的权限也比较低，到展厅给您开通，比如说这个东西可能优惠10万，
[02:08.350] 你打个比方来说，我们这边可能只能给您报3~4万，为什么？因为我没有权限给您开通到最高最高的额度，因为你没到展厅，展厅经理是不给我们这边的，又做最底价的，
[02:19.330] 所以说电话里能给您报的东西也只是个参考价，有可能咱们这边优惠到10万，我们电话也给您报了3万，也有可能别的地方给您报5万，他到展厅他就是5万。
[02:27.790] 这个东西为什么让您面谈？不是说我们刻意的大疫情的折腾您过来，主要是得看您具体有没有近期的购车需求，店里有没有您要的这台车，如果有的情况下，肯定是促进您在最优惠的情况下购车的。
[02:41.960] 您到展厅把您的需求，比如说我想要一个现金类的服务，还是说我想要一个售后类的服务保养，保险多送我一些，这些需要您来自己提出来的，您只要说出您的要求来，我们才能给您做申请，把能给您申请的东西都给您申请了，
[02:57.360] 但是您说您人都没到，我只是对比一个报价，
[03:00.080] 我就给您报15万，您今儿也提不了车对吧？所以展厅经理是绝对不会放假了，就算销售给您回了配置参数能给您做对比，这是没问题的，但是对比报价肯定不准。
[03:11.170] 您觉得可能我电话里给您报了一个您觉得还不错的价格，其实到展厅没有可谈空间了，但我们这边给您报的可能就相对来说很收敛一点很低一点，但到展厅可谈空间非常的大，
[03:22.430] 这边都会导致您在购车的过程中遇到一些坑，是因为有的店就是这样砸价格吗？电话里报得很准，然后到店之后一点谈的余地都没有，我们这边是不允许这样的。
[03:33.850] 所以您考虑一下是不是有没有必要来咱们这边开个车，因为咱们家也是西区最大的总店，如果我们的价格不占优势，然后我就不会特意的把您叫过来来看车，就折腾您确实没有必要。
[03:46.710] 我们也是为了成交，也是为了给您最大的优惠，所以说看您时间价格上来的话，您不用担心，肯定能给您申请的都给您。
[03:59.990] 可以没问题，一会您接听电话，稍后就给您回好吗？
[04:08.710] 好谢谢。
[04:09.330] 二个小时是吧？
[04:10.680] 行，我这边就提前给您安排销售顾问，然后电话我这边给您预留来电的手机号码，18501098645这个手机可以吗？
[04:19.820] 我把咱们展厅的位置以短信的形式发到您手机上了，我姓侯，然后两个小时大概3点左右到是吧？
[04:28.160] 可以，吕先生，我现在就给您做预约了，一会您到了展厅给我打电话，然后我这边及时给您安排销售接待您好吗？
[04:36.480] 咱这台车的话有试驾车，如果您下午有试驾需求，记得随身携带好驾照可以安排您去试乘试驾，是自己过来，还是跟家人朋友一起来先生？
[04:46.140] 没问题，但是家人一起来吧，咱们这边按摩是个儿童乐园也都有，然后方便问一下您是通过什么渠道打过来的吗？是汽车之家吗？
[04:59.630] 高德地图是吧？没问题，您就直接过来，然后两个小时之后您到了给我打电话好吗？
[05:05.690] 好的，一会儿见吕先生，也感谢您来电，再见，拜拜。
[05:12.210] 现在客户都这么好。
