[00:00.000] 直接说开始接车，
[00:04.610] 要
[00:39.480] 车牌号1869
[03:10.500] 你来说，
[03:15.290] 如果他可能打算想休息，
[03:19.860] 你可以上来了，你在上升你了。
[03:22.620] 不用了，到时你过来休息。
[03:26.720] 他愿意出来是吧？比如他本来就打算后面修修拍下去的话，
[03:34.790] 对吧？你给他开过来，完了上你了，你说
[03:43.520] 想不想修，有什么他找想修就行。
[03:47.900] 他就说不管什么他都不休，那你没辙。
[03:53.470] 兄弟两次每次55
[04:00.320] 的
[04:03.200] 场。
[04:09.160] 坏数据。
[04:13.750] 刘佳希。
[04:24.130] 的
[04:29.610] 远场
[04:34.290] 场
[04:37.330] 场
[04:43.560] 场
[04:45.330] 场。
[04:46.360] 你好。
[04:48.460] 京N1899
[04:54.990] 场
[04:59.080] 场
[05:00.440] 的
[05:05.680] 访问净碰一下知道吧？
[05:09.690] 了。
[05:13.740] 好的东西吗？
[05:16.570] 佐色的。
[05:17.960] 不知道吗？
[05:20.730] 一会我直接给我开源，大名你
[05:37.030] 外边转向那边。
[05:40.940] 左边右边左边，然后我们现在有一个服务，就是关于车辆外观维修，你车左边的反光镜外边碰了一下，
[05:52.300] 这是咱控制在手中吗？
[06:01.630] 越怎么着您说然后我们有一个活动，就是关于车辆外观维修的，您这属于这个范围之内。
[06:07.730] 这个是一个
[06:10.400] 他叫代步车补偿险，
[06:12.890] 它的售价是1498块钱，然后它有效期是一年，
[06:19.030] 然后他对于您的福利是每次维修还你2500的现金，
[06:23.460] 每次维修玩玩V玩返2500现金，
[06:28.120] 然后一年两次，
[06:33.030] 你这仿佛用就可以。
[06:36.280] 明白我意思吗？因为你不有保险吗？
[06:39.090] 保险不都有车损险吗？修车钱肯定不够您花对吧？
[06:44.500] 您修完车之后，我们返2500的现金，
[06:49.280] 我得交1900 1498跟您说，咱们就多了一个险种，
[06:55.730] 这叫代步车补偿。
[06:58.520] 然后服务它是我们在7月份刚刚开始服务，
[07:02.990] 它有效期是一年，
[07:04.900] 一年您可以维修两次，
[07:07.260] 两次都便宜2500元现金，
[07:09.870] 第一次你肯定纯挣1000块钱，
[07:12.360] 是吧？
[07:13.580] 第二次就存2500，当然第二次这东西是不可预知的，你车如果碰不碰，
[07:19.820] 对吧？或者别人碰您我们也赔付的，只要您来我们这修车我们都赔付，我第二天上保险会不会涨回来呢？
[07:27.990] 我给你举个例子，假如你收你这车灯差不多，
[07:33.040] 修车灯的话，您大概一次多少？应该是2000块左右，
[07:37.740] 但是你把车灯给修了，
[07:39.830] 修这一次2500，
[07:45.650] 稍等一下，您刚才问我你涨保费是吧？您出一次保险呢
[07:51.180] 大概待涨保费大概再涨2000块钱左右，两个左右，
[07:56.040] 当然您交了1498，
[07:58.720] 赔一两千5的现金，也就是说你得了1000块钱，
[08:03.810] 一天
[08:05.000] 2000。
[08:06.900] 意思
[08:08.820] 了。
[08:16.130] 然后您保养是免费的。
[08:19.600] 场。
[08:29.860] 微信二维码，谁知
[08:38.330] 句
[08:45.600] 花
[08:51.090] 三
[08:56.850] 重点
[09:00.520] 三
[09:09.170] 快
[09:14.520] 号
[09:21.640] 可以。
[09:22.640] 数据
[09:23.740] 的
[09:26.850] 场。
[09:28.580] 场
[09:30.000] 的。
[09:32.400] 场。
[09:34.910] 数据流、
[09:40.810] 数据
[09:47.090] 远。
[09:50.480] 车。
[09:53.620] 场
[10:00.140] 一会让您休息休息一会两小时汽车。
[10:04.290] 谁知
[10:07.840] 慢点
[10:09.200] 数据
[10:11.160] 走。
[10:14.660] 没关系。
[10:26.500] 了
[10:33.590] 月
[10:37.720] 什么时候？
[10:44.730] 场
[10:46.320] 场
[10:53.650] 二
[11:01.210] 的
[11:04.150] 的
[11:09.320] 的。
