[00:00.870] 京fd叉320开始接车，
[00:25.240] 跟我一块
[00:27.380] 稍微歇会，呢一会我们再转过来再过来。
[00:30.240] 大概需要多久？啊5分钟。
[00:32.480] 嗯
[00:33.280] 后来上屋里喝口水，呢
[00:36.240] 位置还真有点不太对路。
[00:42.810] 哎呀
[00:43.940] 爱惜。
[00:45.090] 没错是吧？
[00:47.960] 18510102525。
[00:52.010] 对。
[00:53.320] 爱惜爱心折磨的话。
[00:57.730] 这个这不用了，我就搁这
[01:00.000] 这方面。
[01:01.800] 那你老公呢？
[01:04.160] 啊对。
[01:05.240] 也是。
[01:06.060] 啊他不是
[01:07.970] 不合规矩，啊
[01:14.970] 不是不是找一个那什么一样的，
[01:17.980] 嗯
[01:20.260] 没错那还是那个
[01:22.340] 嗯
[01:23.560]  China
[01:27.910] 唉
[01:29.230] 生意太好了，实在是没劲。
[01:31.720] 嗯
[02:13.780] 第二个问题，
[02:15.320] 噢我是那什么，咱一会还得再
[02:18.900] 这车不就放在这这这这我们一会挪就行了。
[02:22.480] 主要是现在我把这个咱们这个交接手续给你办过去，实在是没地儿停车。
[02:27.200] 我照了两张照片，然后公里数是21,133游3/4。
[02:32.130] 咱们大概大致的这个维修时间应该在周四或者周五，我不着急，我呃周五拿
[02:39.130] 对，唉我拍两张照片，我看看他外头
[02:47.250] 没有什么区别。
[02:49.670] 这个左旋叶子板还有左后门这块给您点点漆。
[02:53.470] 您这就趁这会功夫您漏了，车里边有没有什么贵重的手头需要用的？没有。
[02:59.430] 噢这有点。吧
[03:02.430] 这个这个噢
[03:04.780] 这个人掉了这个我没报。
[03:07.120] 聊着聊着。
[03:08.660] 因为
[03:09.700] 行。
[03:14.280] 嗯这这部车险这那什么
[03:17.300] 用第几次了？
[03:19.280] 那你还有一次是吧？那你就说你说第二次做也行，嗯我说那你要卖了，就那不就属于
[03:25.790] 我以为你马上就卖了，我这说好呀那不是那我就那意思说你这不是第二，
[03:31.830] 第二次你给谁给对方留这了？
[03:34.930] 说的是我就说我分两次干脆就把它修了算了。
[03:39.210] 我这那天的销售是这么的说我分两次交锋，
[03:43.170] 嗯
[04:18.210] 只是置换才是单独卖车。呀
[04:20.640] 他算给我做的，我这车才一年。
[04:23.540] 去年买的。
[04:24.680] 就是不想跟我做的有点低，
[04:27.440] 我到时候看。
[04:28.390] 呗
[04:31.480] 换一什么牌？
[04:33.070] 想换一大点的，
[04:34.360] 具体的什么也没写，但是肯定得给他打。
[04:37.850] 哈哈哈
[04:38.980] 唉当时买那个超市，因为家里小区小好停，
[04:44.440] 就买一小的，结果发现太矮，我老公特别好。
[04:47.600] 说脑袋说的对你老公那么大个
[05:00.710] 噢多了我
[05:04.490] 人员要
[05:05.720] 稍微等我一下，啊我我停了这车停到我们那个奔驰那边去。
[05:11.510] How are you？
[05:13.480] 嗯
[06:10.360] 安西。
[06:12.040] 啊雨溪是多少米？
[06:14.370] 嗯那个你说有房子很远吗？
[06:17.240] 没上划痕。
[06:18.450] 噢
[06:20.060]  Hello my sister。
[06:33.390] 没事不不用害怕，我们不给我
[06:36.420] 打上了，嗯哼你看看。
[06:54.890] 到了这儿来了，
[06:56.910] 就是超过这个距离。
[06:58.370] 就是
[08:07.600]  I see。
[08:10.340] 在这个路上这签两个字，那基本上就按咱们刚才说，那个因为左前叶子板针尖点那么大的，我就给你点点切，
[08:18.160] 然后那个后门那块，
[08:19.660] 因为这个点漆啊说实在的跟喷漆它俩不一样，没什么没什么。
[08:24.730] 为什么？
[08:26.160] 这个给您？
[08:27.460] 我叫胡永华，左下角是我的手机号18010210193
[08:32.280] 了，我都不写嗯好勒。
[08:35.560] 没问题，嗯我这边就没事了，对了，他没他接你，他开车了是吗？
[08:41.160] 那个他们他们这个桌子上面有一个三小时免费，就是有一个免费码你给他扫。
[08:46.730] 对，扫一个，然后就输入他那个车的车牌号。
[08:49.740] 就出去就免费了。
[08:52.170] 那到时候电话联系。
[08:54.080] Bye bye。
