[00:00.570] 好丁，我开卡这边有一块迈巴赫电话。
[00:04.290] 136015115261
[00:08.380] 2619。
[00:09.780] 二。
[00:10.520] 怎么称呼您？陈云先生。
[00:13.290] 对。
[00:15.380] 上海。
[00:18.310] 徐先生你好，我是咱们店的迈巴赫的销售主管乘上我的名片。
[00:23.990] 您二位今天肯定不是第一次来了是吧？之前也在我们店买过车，也属于老客户了，
[00:29.360] 是吧？
[00:30.840] 是这样的，您现在今天来是专门看这车的吗？还是说是我们的朋友来看车？
[00:37.200] 如果这样我有印象那个开完了，
[00:41.030] 我名下有好几辆车，这样子不是说外地人到12月份就一个人名下只能一辆车，
[00:49.330] 所以你要说你车报废了以后车牌就留下。
[00:53.490] 了，所以就想再买一点。
[00:55.470] 再开个几年。
[00:57.430] 您那个车是哪年在我们这买的？
[01:00.190] 我大概既然了是15。
[01:02.440] 念。
[01:03.480] 15 15年是在我们店买的是吧？你们销售是谁？
[01:07.410] 忘了，今天来有没有提前预约过？
[01:12.160] 没有约过就直接过来的是吧？是近期是就想了解一个价格，它这个车最低的折扣能到多少？这个车现在您上北京牌，北京牌的话能按照1,458,800最低给您
[01:26.670] 一百四十五万八千八十五万五千八。
[01:31.440] 3万我要做分期可以做分期分期非常简单，我们一般的像这个车的话，您做分期的话，
[01:39.590] 首付458,800，因为没法再少了，再少的低于30%的比例了，
[01:45.510] 所以说您贷款不超过100万。
[01:47.400] 那么一般的客户会选择通常是1~5年的分期。
[01:51.630] 打个比方，如果您待两年期100万的话，连本带息每个月的月供是44,000。
[01:59.060] 如果说您是
[02:00.450] 三年期还的话，每个月的月供的话就是30,700，他的年利率是4个点，
[02:07.370] 就4%，
[02:08.550] 4个点的年利率，如果您做5年的话，分期会利率会低一点，因为我那一点奔驰就听到门口那种奔驰，当时也在有没有做过分期，我这里在做的东西，而且现在您坐飞机比较合适，针对咱们奔驰没有任何服务费的一个收据，
[02:25.250] 你只需要交利息就可以了，而且利息比较低。
[02:30.080] 可以电话挺好。
[02:32.910] 它这种模式选装这样，我先给您宣读一下奔驰的服务公约，腾讯推出来一个服务公约，内容是客户为尊，以礼相待，诚信经营合法得体，
[02:42.860] 明码标价、公开透明，配件渠道清晰公式，绝不捆绑销售，强制消费就不属于矫健一次称号，46081818是我们监督服务电话，
[02:50.830] 另外分支整个汽车行业里面第一个承诺不收取分期服务费的平台，就刚才给您介绍的，
