[00:00.000] 开始驾车开始教车开始倒车，还得签协议。
[00:10.640] 没有，我给您查信息这里面余小利是吧？
[00:14.430] 然后给我您驾驶证我给你变更一下。
[00:34.750] 留过您电话。
[00:39.250] 1351358193319335656。
[00:48.620] 您说好吗？
[00:56.200] 数据
[00:57.600] 这样
[01:02.520] 的
[01:03.880] 的
[01:06.970] 没有送的保养。
[01:08.560] 朋友送的保养。
[01:11.380] 对。
[01:14.880] 咱们
[01:18.590] 大家看一下，一会我给你推荐一个优惠的模仿Top，
[01:23.950] 非常便宜，
[01:27.810] 可以购买一下，然后每次做保养就不用花钱了。
[01:32.210] 是吧？
[01:33.510] 还有次数。
[01:41.200] 反正都用的多吗？
[01:43.390] 我说您车用的多吗？一年能跑多少？
[01:48.640] 要。
[01:51.030] 多少钱一年跑到1万公里差不多。
[01:54.040] 要
[01:56.720] 钥匙给我。
[02:29.340] 这是什么东西？
[02:33.380] 还有
[02:42.160] 有点白天没事。
[02:49.890] 1.5P的是吧？
[02:51.570] 启动正常安全驾驶
[02:58.640] 4675公里，
[03:28.350] 这个有点问题。
[03:30.340] 这个问题没事。
[03:33.320] 说你给盖上，反正还没正常，能弹起来的就两个盖上。
[03:42.080] 前两年还能谈成。
[03:44.310] 你检查一下。
[03:46.320] 这样就车子放在这。
[03:51.970] 这没怎么动过是吧？我发现问题了，我跟你说一声，
[03:56.080] 就这点意思。
[03:57.710] 前两天我看看还是挺好的，
[04:04.910] 没答应。
[04:20.480] 您车
[04:21.300] 明今天放在这不着一曲不着急娶了，
[04:25.680] 然后去我就把这给您看一下，媒人的换配件，到时候给你走show。
[04:31.550] 保修。
[04:32.940] 保修就是免费做维修。
[04:35.360] 对。
[04:37.440] 行吗？行。
[04:40.480] 别着急就行，因为这东西没人得订配件，
[04:44.080] 定个新的过来给你安上。
[04:46.140] 还是一个整体副首相整体，
[05:36.160] 你能给我这就去。
[05:38.050] 没有划痕险吗？
[05:39.740] 就是说有华业险，所以我保的是前些
[05:43.790] 保单要往一看一眼，你查一查，
[05:46.640] 我这查不了我这奔驰的系统，奔驰跟保险公司互联网，
[05:50.430] 这首银行有电子保单，
[05:52.910] 路，
[05:56.150] 我觉得我们这边也划了，
[05:58.500] 如果是
[06:04.390] 您要是您查一查，到时我这有活动，到时候你们也划算。
[06:09.610] 到我这。
[06:14.840] 在这里吗保单？
[06:16.680] 我觉得感觉好像这个没有。
[06:20.440] 没有在后备箱里。
[06:23.010] 照片没错。
[06:26.160] 长的。
[06:33.150] 这是什么时候划的？
[06:45.640] 对。
[06:47.960] 你别故意划的。
[06:49.600] 可能没有。
[06:50.530] 电子保单特方便，有邮箱一查查。
[06:54.010] 鞭炮的。
[06:55.760] 电脑这才放心，报价没看过。
[07:00.870] 我把这1万多块钱的
[07:04.840] 所有的剪好了都好了。
[07:24.750] 咱们结婚。
[07:25.790] 来吧。
[07:27.210] 我一会我清楚了把
[07:40.710] 我跟您说，假如你有划痕险的话，
[07:43.900] 因为黄河贤纳士
[07:46.020] 可以休多个7面的，您这也不属于破损，就属于寡页对吧？
[07:51.290] 然后
[07:52.590] 假如你有划痕险，
[07:54.750] 您可以购买我们一个大夫车险的服务，再不车险的价格是1498块钱，
[08:01.790] 您走保险修完您这车期之后，我们还给你2500的现金，
[08:07.230] 明白我意思吗？
[08:08.730] 能给我2000，反正我还要挣钱，对没动。
[08:12.950] 正在门口完了。
[08:22.530] 照顾、
[08:26.060] 免费的。
[08:27.360] 一下。
[08:29.230] 明白我意思吗？就是这个。
[08:33.040] 前提你得有黄金，
[08:34.960] 你要有花时间你就合适，你就没有还价，你不合适。
