[00:00.610] 好
[00:04.280] 荆州哥1999是吧？还1799。
[00:09.560] 好勒。
[00:23.220] 袁先生。
[00:35.120] 用
[00:44.400] 号。
[00:49.860] 给您核对电话，139尾号是6599。
[00:53.970] 是您电话吧？
[00:55.590] 好勒。
[00:56.470] A
[01:03.890] 这次保养
[01:06.630] 还是
[01:11.510] 行
[01:12.450] 检测。
[01:14.620] 出访前检查。
[01:16.330] 是这东西吗？
[01:17.630] 三年的。
[01:19.460] 出保前的检查，因为咱们质保期不是三年吗？
[01:24.750] 236
[01:28.480] 170
[01:35.410] 场
[01:37.240] 数据
[01:43.880] 五
[01:45.080] 要
[01:50.610] 对您的车是17年8月11年9月17号，
[01:56.660] 等于到E等于到20年的9月16号就出质保了，所以这次给您一个检查。
[02:03.600] 对。
[02:05.080] 我去看一眼车。
[02:07.190] 你在哪里？
[02:08.120] 在门口是吧？好勒。
[02:12.300] 稍等会。
[03:59.270] 咱们这公里数是50,634公里，
[04:07.410] 然后您这个车的
[04:09.610] gun的左前侧有些划伤，然后那个门什么的有些给别人开门给您磕的。
[04:24.480] 坏数据。
[04:31.780] 然后这次出访前的检查是免费的，不用您付费。
[04:35.510] 如果您。
[04:36.770] 车想继续在使用。
[04:38.340] 厂家现在是提供免费的，不是厂家现在提供原厂的
[04:42.620] 整车的延保，
[04:44.790] 您可以延长一年或者两年都可以，您可以考虑
[04:52.720] 把
[05:01.400] 的
[05:10.270] 还有一个是您的外观，如果想show
[05:13.340] 前杠那块想show，
[05:15.110] 你可以考虑这个东西，这是一个
[05:17.700] 我们叫代步车险的一个服务，
[05:19.850] 它是在您的原有的
[05:22.340] 您本来车商业险的基础上，
[05:25.500] 再加一个保险，这个保险是您修一次，比如您休息的前，
[05:29.830] 他给您返还2500块钱现金，直接打进卡里，
[05:33.920] 然后修一年有两次可以休两次，最多反正5000，
[05:37.760] 就这么一个东西，如果想修的话上不休的话不用上。
[06:01.400] 谁知
[06:03.260] 要。
[06:06.080] 对刚才工作。
[06:09.130] 还有什么东西？
[06:12.970] 没有照片你就看看有没有故障码什么之类的。
[06:16.310] 的。
[06:17.430] 都正常，反正你看一下我的意思你有什么故障码或者什么问题。
[06:34.870] 行可以。
[06:43.120] 这给您上面有我电话和姓名，
[06:49.130] 稍微等一会，大概在两个半小时左右。
[06:56.090] 行了，电话等我电话就行了，然后那边有水，然后这楼上按摩也可以休息一会，
[07:04.520] 就在等我一餐就要吃午饭。
[07:07.610] 行。
[07:08.890] 好，您把您的微信打开，公众号里边搜一下百得利集团。
[07:29.490] 152
[07:43.530] 在公众号里搜百得利集团。
[07:45.910] 集团对。
[07:56.570] 新东方、
[08:02.040] 百得利集团不要把自己之星。
[08:09.680] 谁知。
[08:14.980] 百丽集团的
[08:22.980] 准备返回。
[08:30.320] 您这之前已经
[08:32.880] 北京百得利集团
[08:39.480] 句
[08:42.390] 二
[08:55.980] 句
[09:01.850] 数据、
[09:04.090] 场
[09:07.680] 场。
[09:13.160] 的。
[09:18.560] 数据
[09:20.340] 数据
[09:22.750] 数据、
[09:44.680] 三
[09:45.620] 发没人接。
[09:56.400] 去。
[09:58.180] 您手机号告诉我一下，139。
[10:02.470] 1
[10:04.960] 69599. 
[10:07.840] 您一位来的是吧？
[10:13.180] 行，发给您参见点一下。
[10:15.550] 然后返回一下再记一下好吧？你这个是吧？对截个图11:30开饭，行就在哪是吧？我知道在后面是吧？
[10:30.130] 然后闭上
[10:33.710] 开始
[10:42.670] 要搜索，
[10:53.380] 也就是现在他说的是什么车道保持。
[10:56.940] 你现在是忙得有故障点。
[11:01.530] 行没问题，就是对不对？皇帝服务的话到时候就是有防备，他不是的。
[11:09.290] 还有不管
[11:11.980] 有出保险检测车友在老林平台的也有，昨天也是吧？
[11:18.190] 行M800装修免费。
[11:22.240] 耶。
[11:23.560] 你出来OK，
[11:28.040] 要知道你的生命，
[11:31.050] 不要标准
[11:33.440] 穿的。
[11:35.640] 能收了吗？
[11:40.520] 数据
[11:47.910] 数据
[11:49.920] 五
[11:52.070] 数据
[12:04.000] 坏
[12:11.650] 号。
[12:21.670] 的。
[12:26.690] 的
[12:27.960] 的
[12:38.030] 的
[12:46.360] 的。
[12:50.560] 的
[12:55.990] 你好，这里
[13:01.700] 对，有可能是为你的什么
[13:05.360] 店里面变化，然后一起
[13:07.960] 在路上好了，一会过来。
[13:12.540] 对号。
[13:23.120] 为。
