[00:00.000] 然后电话1390112380。
[00:05.030] 您有事您先别耽误了。
[00:15.920] 了。
[00:17.940] 数据
[00:30.970] 的。
[00:35.760] 律师也挺好，
[00:39.800] 特别谁知
[00:48.410] 他老哪都去老出差。
[00:54.080] 15,000。
[00:57.920] 那时候算一个女孩，然后家里边刚生小孩，
[01:06.440] 算了，我把这一年了
[01:08.800] 单位那时候我有一客户正好要找律师，我说我把同学借给你介绍给你。
[01:15.310] 行，然后我同学说他标的钱太少，让我助理给他弄了，我一听说010我说还挺混的还不错，助手，还有
[01:27.990] 那就是
[01:29.680] 6
[01:36.780] 原来咱们这车上次我看看
[01:43.380] 上一次是A保养，
[01:45.420] 对是去年的3月份，上次也快首保了。
[01:49.550] 您要是按正常您这车肯定是没什么事，我知道，因为上回您保养是6000，
[01:56.440] 现在是15,000，但是上回是3月份的。
[02:00.520] 这车按正常来说一年左右
[02:03.650] 交过了，现在都7月份了。
[02:07.120] 对，但是3月份不正好赶上运行吗？
[02:10.690] 所以说我不是赶上义行，二一个上回不是就是说中间不是来过一次，说亏机油灯亮，然后人家就说多跑，
[02:21.690] 然后就上了，那时候
[02:25.160] 这下回您就11,000一年一回就行，二
[02:29.900] 这两年以后
[02:33.010] 坏数据，
[02:35.800] 花
[02:39.570] 的
[02:42.200] 场
[02:44.770] 游客
[02:48.330] 优惠，咱们正常都用套餐，如果要是还想再优惠的话，就得
[02:55.620] 办卡。
[02:57.790] 马队他办卡最少就是2A2B4次
[03:02.280] 了。
[03:03.960] B对这回是be吧，大概多少钱？
[03:11.100] 我给您看一下。
[03:14.850] 一年工钱，要不
[03:19.270] 系统有点慢。
[03:24.890] 数据
[03:29.390] 小。
[03:36.770] 数据
[03:38.280] 要
[03:38.980] 坏
[03:40.540] 花
[03:43.210] 下。
[03:48.960] 2500每次就是划痕险也往下走，他不管你走什么写什么钱都行。
[03:57.550] 不是你找了一个所有的，然后如果要是说您这车，比如说
[04:05.070] 单次维修出示过单次维修
[04:08.120] 超过10万了，
[04:09.890] 就10万。
[04:11.380] 什么10万，就是维修费超过10万，保险的维修费超过10万，他就给你1万块钱，
[04:17.030] 然后这2500就没有了
[04:19.940] 了就直接给1万。
[04:25.040] 的
[04:33.630] 了。
[04:37.630] 等于别人的产品对。
[04:43.670] 谁知
[04:48.440] 的
[04:51.410] 远远的
[04:58.030] 的
[04:59.430] 的。
[05:02.150] 没事。
[05:07.850] 拿。
[05:10.690] 谁知
[05:19.610] 知道。
[05:23.610] 我刚才打了就等于我正常不是保险到3月份，等于我明年3月份的时候，在上新保险的时候这也能用，
[05:33.290] 能用得到就到7月7月。
[05:40.040] 他的日期跟您上保险的日期没空。
[05:47.440] 用
[05:52.160] 号。
[05:58.690] 数据。
[05:59.870] 月
[06:04.800] 大。
[06:15.840] 上个月的客户都已经有拿到钱了，
[06:21.690] 拿的钱是等于提供一个。
[06:25.330] 对，做完了车你去那边取车的时候给他拿个卡，
[06:29.240] 银行卡把钱转到你卡了。
[06:34.800] 原来您看看保养的项目是这样，我跟您说明白。
[06:42.430] 正常的保养就是一个B薄，
[06:45.690] D保养就叫基础贸易，基础保养跟A跟
[06:50.800] 一个A宝上次在欧洲这是第
[06:54.820] 2230，包括机油滤芯，还有发动机有两个空气，
[07:03.070] 然后您这是
[07:06.220] 15,000，然后是18年的车，建议您登上一个空调，下边是建议能送到1000，然后做一个空调休息，
[07:16.190] 然后换机油的时候有资金流到的形状绕出来，剩下来还有一个两年您的手册，
[07:22.490] 还有两年换一回这车一公里没开到那停了两天，
[07:27.690] 按照手册要求的公里，谁知
[07:33.120] 剩下的这3项，第4项是我们建议的，然后剩下这个是发现一个问题，
[07:40.710] 您先别看着看着。
[07:44.200] 这个是欣喜，主要设计，包括机舱现场他是收费的，然后确实也看到
[07:52.030] 现在有什么活动店里边办2A两地的套餐，就跟您说的可以保留的地方一共是6050厘米，
[08:02.690] 可以送一个
[08:05.300] 不正常，你看你一个地方，
[08:09.360] 你A宝应该有一次，
[08:12.140] A宝两杯保健两地加起来的金额肯定
[08:18.030] 优秀你就放在
[08:20.120] 这块，本身基础保养都是送水就是优惠。
[08:25.680] 然后这个是您的建议下，建议这边是基础。
[08:32.430] 好明白怎么了，这俩必须得画吗？还是？
[08:37.820] 你要按北京这天你空调其实你也玩一般换三滤，这的话里面因为错了是
[08:46.270] 常患的就是几率跟控制空调滤先是每年提醒一下那个不是壁画，那不是计划，有的人说我有鼻炎，我三个月我就得换一次，
[08:57.610] 他跟保养没关系，
[08:59.400] 他有时候我开了我不痛快的答应玻璃强制，因为不影响车的功能，
[09:05.770] 发动机的运转它不影响，但是营养人很多，你比如领导人，你比如说咱们北京天气，
[09:13.870] 路标有漂流区有WiFi通报的，你这车是118年的时候，
[09:18.770] 20年18年的车开到现在20年7月份了，你两年了空调滤芯，
[09:24.490] 我觉得他应该是不会超三秒，
[09:26.870] 就跟你水箱是的，水箱前面那么多有细毛的空调，旅游车里边肯定也有。
[09:32.170] 他就是为了过滤水，
[09:34.760] 然后。
[09:38.220] 对清洗空调它里边有一个蒸发箱，这其实等于是一套对一相当于这两个。
[09:45.180] 这个是换机油的时候机油换机油的时候一个机油的清洁
[09:51.110] 自由流动的机制，
[09:53.140] 把它做好。
[09:59.290] 这是不是办法，还是就单词的咱车做单独做，我这里
[10:06.310] 他水箱
[10:07.930] 数据
[10:15.070] 的
[10:19.960] 的
[10:22.400] 数据。
[10:28.900] 我就按照这边行。
[10:33.990] 一共是12345个项目，我给您打一单子。
[10:41.490] 数据。
[10:53.060] 因为这个车它自身就带
[10:56.270] 空气跟新风系统是咱们这样，所以说空调滤芯真清一下要换一下，因为这个车有很多功能，它是基于一些基础的。
[11:07.550] 你比如说我这车功能多，
[11:09.860] 然后有换气功能，有自然自动空调，有自动换气，
[11:14.700] 但是它的根本是基于一个好的过滤系统，对，你要是这个东西
[11:20.200] 对你说的再天花乱坠的，基本上那个东西没有保障，它那些功能就相当于没用，没有用。
[11:27.500] 也不能得到。
[11:32.350] 觉得等于基本东西你不坏，那些东西就等于白用人家的伤疤就跟那什么是我家里买了一滤水机，我滤水机我不换新，你滤出来水
[11:43.910] 有啥用？
[11:53.970] 10
[11:59.550] 号。
[12:03.150] 七
[12:06.210] 333对吧？8~二十六8778。
[12:12.730] 谁知不行了，
[12:16.680] 一共是4838
[12:22.000] 年，
[12:34.160] 的
[12:38.350] 的
[12:39.600] 数据
[12:41.670] 数据
[12:49.770] 的
[12:52.200] 坏数据。
[12:54.960] 句
[13:02.130] 的
[13:03.880] 吗？
[13:05.960] 你要是
[13:11.540] 远场
[13:22.480] 的
[13:54.920] 的
[13:55.740] 的
[14:01.440] 看看。
[14:10.750] 导演、
[14:16.380] 的
[14:23.720] 时间
[14:30.070] 主要是项目。
[14:32.560] 对我
[14:50.460] 现在10点
[14:53.630] 差不多 2:00 11:30中午供人吃饭。
[15:00.410] 现在咱们这有特色
[15:05.620] 对游客开放。
[15:06.700] 还以为这一瓶没了，一开始停了一段时间，
[15:11.600] 然后现在又有了
[15:14.150] 希望。
[15:16.720] 快乐。
[15:17.720] 然后保险我带您去，我先把您车上过去，对您交到等于对咱们俩没事我再过去，
[15:26.590] 要不然我晚去5分钟，可能进去好几个车。
[15:37.280] 的
[15:40.150] 的
[15:43.450] 场、场、
[15:48.670] 场、
[15:58.210] 场
[16:03.310] 场
[16:15.320] 了
[16:19.170] 坏
[16:22.480] 数据
[16:23.370] 数据、
[16:24.720] 数据
[16:27.920] 场、
[16:35.250] 数据
[16:37.730] 数据
[16:39.400] 远。
[16:42.470] 场。
[16:51.240] 了。
[16:54.040] 谁拿走了？
[16:57.320] 我去拿一下。
[16:59.960] 三天了，等了约了8月13号保养，
[17:05.180] 但是
[17:06.280] 现在不是天天提醒，
[17:09.640] 一开车就年限超过几天，
