[00:00.130] 我就是他们忙。
[00:29.070] 来了。
[00:31.440] 应该来了。
[00:33.680] 对。
[00:38.710] 您好先生，
[00:45.060] 您的。
[00:46.620] 驾驶本或者身份证，我用一下给您做个东西。
[00:49.970] 不用了。
[00:51.420] 我这边店里边得登记，因为我这边信息不全，一块您到您那不用您告诉我一下就行了，您的姓名告诉我。
[00:59.100] 丁伟我。
[01:00.720] 我30类是吧？
[01:03.100] 是30是丁磊是吧？就盯到北边的。
[01:08.040] 丁伟。
[01:09.560] 我这边伟大的人，
[01:15.250] 电话就刚才我给您打的0738这个是吧？
[01:17.570] 811020
[01:33.710] 功夫的车是吧？您这是
[01:38.480] 到时候需要您补一下公章的手续，他是给您让您回去盖章去了是吧？行。
[01:43.730] 就拿过来行。
[01:52.010] 人保。
[02:13.200] 的。
[02:19.660] 经历、
[02:22.370] 有，当然现在应该还是泡饭那种，对还没有自助还没开。
[02:29.410] 对，反正有个简单的办法，估计自助还得有一阵。
[02:58.790] 赶紧看看车去。
[03:00.370] 车里的各种物品，您看我拿的
[03:11.200] 反正那一点都给我盯上了。
[03:12.980] 挂钩改成明天拿过来。
[03:29.440] 如果。
[03:30.270] 施超办的话可能还需要您拿4证。
[03:33.570] 什么思政就是法人身份证复印件，还有组织机构代码证那些东西。
[03:39.230] 您说什么情况下超万的话，如果损失就是维修金额超万的话，不会就这点。
[03:44.730] 你们那边给我说说他
[03:46.510] 自己碰到了，但是他那个车
[03:50.170] 他要。
[03:50.830] 他那车。
[03:51.440] 休对他那个比我这个也就稍微显得
[03:55.530] 没办法全咱全责的卖点。
[04:20.910] 公户车到时候您要是有其他
[04:23.860] 有伤羞羞的话，可以上来逮捕车险，
[04:26.720] 那是可以给您返现金的。
[04:30.530] 那得半个月以后了是吧？
[04:32.960] 这次我要晚报半个
[04:36.290] 越合适了。
[04:38.770] 但是您这双车他等不了，真是事儿。
[04:42.580] 我说说啥事都想不。
[04:47.120] 如果您车接着都要消的话，我觉得可以办一他。
[04:50.500] 这倒没有，因为它是
[04:53.350] 钱是直接打给您的。
[04:55.100] 不打给公司对。
[04:59.970] 您说的
[05:03.230] 那是比如说
[05:04.660] 它是一次管多长时间？
[05:07.080] 您说保险是吧？一年。
[05:10.300] 一次一年就是交个1490算一年。
[05:16.810] 从只要心一次，对，从上险开始那天算一天，
[05:21.460] 然后一年最多给您返两次。
[05:24.940] 一共5000块钱。
[05:27.300] 只要是出险，或者说是比如说您被别人给藏了，对方选择
[05:32.120] 只要车您再把它例休，
[05:34.440] 他银行或者是我的全责也对，他只要甭管谁的责任，对往往谁的责任，只要是出险先于
[05:41.380] 外观是吧？
[05:42.480] 派对就是走保险的这种。
[05:44.940] 平静只限于怪怪唐僧对刮蹭玻璃什么都可以，
[05:49.180] 只要是出险就行。
[05:50.620] 甭管险大小，对完全大学。
[05:56.730] 但是那样交纳
[05:58.550] 1000块钱，
[06:00.310] 是开什么票了？
[06:03.760] 保险单。
[06:05.070] 对，应该是那边要上保险的时候，这家一个好。
[06:12.550] 说
[07:37.390] 估计就行。
[07:38.290] 休几天。
[07:41.900] 就医后档喷漆咱们对话我们记得话大概三天
[07:46.760] 三天两对，我礼拜三天礼拜二再去，礼拜一正好下课。
[07:51.240] 都今天中午天周四。
[07:54.090] 没问题是吧？对，我估计差不多周末就能通知您的，没错行行。
[07:59.850] 今天周四周五周六估计周日。
[08:04.110] 估计我都会通知您，行。
[08:07.060] 然后您看时间。
[08:08.190] 方便过来取一下。
[08:11.550] 对，我这一天都没带。
[08:36.500] 行，回去给您开个单子完事儿。
[08:38.620] 行了，后备箱您还有东西要拿的吗？
[08:41.420] 关于尴尬。
[08:42.780] 对，就后杠把整个后盖拆来分期再往高点。
[08:46.940] 对，可能再大点。
